species_label,lat,lng,province,city,district,address,year,count
大鳄龟,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2018,1
大鳄龟,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2024,1
大鳄龟,39.953521170225514,116.51534338013552,北京市,北京市,朝阳区,北京市 朝阳区,2025,1
大鳄龟,22.37267792146093,114.13739429964244,香港特别行政区,,,香港特别行政区,2026,1
福寿螺,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2001,1
福寿螺,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2004,16
福寿螺,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2005,27
福寿螺,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2006,35
福寿螺,22.37267792146093,114.13739429964244,香港特别行政区,,,香港特别行政区,2006,2
福寿螺,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2007,2
福寿螺,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2008,20
福寿螺,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2009,3
福寿螺,24.35963952615164,106.64245472940162,广西壮族自治区,百色市,凌云县,广西壮族自治区 百色市 凌云县,2010,1
福寿螺,24.94251004584769,110.90247281152868,广西壮族自治区,桂林市,恭城瑶族自治县,广西壮族自治区 桂林市 恭城瑶族自治县,2012,1
福寿螺,22.37267792146093,114.13739429964244,香港特别行政区,,,香港特别行政区,2012,1
福寿螺,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2015,9
福寿螺,22.745674175645085,113.5378788175765,广东省,广州市,南沙区,广东省 广州市 南沙区,2016,1
福寿螺,28.12505282298817,112.35302172306602,湖南省,长沙市,宁乡市,湖南省 长沙市 宁乡市,2016,1
福寿螺,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2018,3
福寿螺,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2019,7
福寿螺,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2020,4
福寿螺,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2021,18
福寿螺,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2022,4
福寿螺,29.490387157219143,113.5139525024067,湖南省,岳阳市,临湘市,湖南省 岳阳市 临湘市,2022,1
福寿螺,27.88659008433667,112.99760073363879,湖南省,湘潭市,岳塘区,湖南省 湘潭市 岳塘区,2022,1
福寿螺,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2023,24
福寿螺,23.143083366852967,106.31429559722852,广西壮族自治区,百色市,靖西市,广西壮族自治区 百色市 靖西市,2023,1
福寿螺,27.61246337953896,112.77076844165013,湖南省,湘潭市,湘潭县,湖南省 湘潭市 湘潭县,2023,1
福寿螺,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2024,2
福寿螺,22.593632942589913,114.27510042512219,广东省,深圳市,盐田区,广东省 深圳市 盐田区,2024,1
福寿螺,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2026,1
红耳彩龟,29.346492777148775,110.50111265887548,湖南省,张家界市,武陵源区,湖南省 张家界市 武陵源区,2007,1
红耳彩龟,31.358082438058513,121.24438535086614,上海市,上海市,嘉定区,上海市 嘉定区,2008,1
红耳彩龟,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2009,2
红耳彩龟,22.37267792146093,114.13739429964244,香港特别行政区,,,香港特别行政区,2009,5
红耳彩龟,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2010,1
红耳彩龟,22.15993981190928,113.56722957508072,澳门特别行政区,,,澳门特别行政区,2010,1
红耳彩龟,24.91719173334794,118.62700691750129,福建省,泉州市,丰泽区,福建省 泉州市 丰泽区,2010,1
红耳彩龟,22.37267792146093,114.13739429964244,香港特别行政区,,,香港特别行政区,2010,2
红耳彩龟,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2011,1
红耳彩龟,22.37267792146093,114.13739429964244,香港特别行政区,,,香港特别行政区,2011,1
红耳彩龟,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2012,7
红耳彩龟,30.200961806830172,120.08341957657353,浙江省,杭州市,西湖区,浙江省 杭州市 西湖区,2012,1
红耳彩龟,22.37267792146093,114.13739429964244,香港特别行政区,,,香港特别行政区,2012,2
红耳彩龟,23.738660167192396,120.96479657390617,台湾省,,,台湾省,2013,7
