species_label,year,property,lat,lng
大鳄龟,2025,year=2025;status=目击,39.947183,116.513616
大鳄龟,2026,year=2026;status=目击,22.283969,113.950588
大鳄龟,2024,year=2024;status=目击,23.7169,120.5143
大鳄龟,2018,year=2018;status=目击,22.704263,120.799664
福寿螺,2024,year=2024;status=目击,22.55,114.23
福寿螺,2023,year=2023;status=目击,23.13,106.43
福寿螺,2023,year=2023;status=目击,27.79,112.887
福寿螺,2022,year=2022;status=目击,27.83,112.93
福寿螺,2022,year=2022;status=目击,29.43,113.54
福寿螺,2016,year=2016;status=目击,22.87,113.48
福寿螺,2016,year=2016;status=目击,28.32,112.55
福寿螺,2012,year=2012;status=目击,25.090574,110.752075
福寿螺,2010,year=2010;status=目击,24.40013,106.84862
福寿螺,,year=null;status=目击,38.073254,104.69114
福寿螺,,year=null;status=目击,24.372778,111.654851
福寿螺,,year=null;status=目击,19.870076,110.582725
福寿螺,,year=null;status=目击,30.036247,121.199191
福寿螺,,year=null;status=目击,29.71,120.1
福寿螺,,year=null;status=目击,29.488655,106.444716
福寿螺,,year=null;status=目击,28.278485,113.668387
福寿螺,,year=null;status=目击,25.007839,102.750711
福寿螺,,year=null;status=目击,22.928698,112.043763
福寿螺,,year=null;status=目击,21.271905,110.359475
福寿螺,,year=null;status=目击,29.432741,121.004568
福寿螺,,year=null;status=目击,23.745434,114.704451
福寿螺,,year=null;status=目击,31.229914,121.472592
福寿螺,,year=null;status=目击,22.51811,113.390135
福寿螺,,year=null;status=目击,30.58,114.32
福寿螺,,year=null;status=目击,24.35,102.54
福寿螺,,year=null;status=目击,23.285,113.6313
福寿螺,,year=null;status=目击,22.845958,108.280267
福寿螺,,year=null;status=目击,19.52,109.58
福寿螺,,year=null;status=目击,23.554663,116.393267
福寿螺,,year=null;status=目击,35.445346,116.832307
福寿螺,,year=null;status=目击,32.39,119.42
福寿螺,,year=null;status=目击,28.68,115.89
福寿螺,,year=null;status=目击,22.583312,113.081695
福寿螺,,year=null;status=目击,30.587268,104.136748
福寿螺,,year=null;status=目击,23.4105,114.0747
福寿螺,,year=null;status=目击,23.15273,113.34189
福寿螺,,year=null;status=目击,26.05079,119.329546
福寿螺,,year=null;status=目击,24.721457,118.158708
福寿螺,,year=null;status=目击,22.553152,114.059004
福寿螺,,year=null;status=目击,26.566419,106.704805
福寿螺,,year=null;status=目击,23.23333,113.63333
福寿螺,,year=null;status=目击,39.912924,116.420658
福寿螺,,year=null;status=目击,30.504951,105.597827
福寿螺,,year=null;status=目击,22.470278,114.006389
福寿螺,,year=null;status=目击,30.246394,120.141845
福寿螺,,year=null;status=目击,24.810008,110.430081
福寿螺,,year=null;status=目击,28.441054,117.952053
福寿螺,,year=null;status=目击,22.513611,114.066389
福寿螺,,year=null;status=目击,25.809844,100.218839
福寿螺,,year=null;status=目击,25.394991,114.963676
福寿螺,,year=null;status=目击,24.31585,116.1376
福寿螺,,year=null;status=目击,21.664354,110.92509
福寿螺,,year=null;status=目击,22.76597,113.273855
福寿螺,,year=null;status=目击,24.880095,102.832892
福寿螺,,year=null;status=目击,23.466664,111.297673
福寿螺,,year=null;status=目击,20.044886,110.329531
福寿螺,,year=null;status=目击,30.26993,120.19432
福寿螺,,year=null;status=目击,27.72,109.19
福寿螺,,year=null;status=目击,22.529495,103.939537
福寿螺,,year=null;status=目击,27.518172,120.425398
福寿螺,,year=null;status=目击,22.276014,113.580152
福寿螺,,year=null;status=目击,29.71,120.24
福寿螺,,year=null;status=目击,30.010484,122.254174
福寿螺,,year=null;status=目击,22.509167,114.111389
福寿螺,,year=null;status=目击,31.158202,120.737994
福寿螺,,year=null;status=目击,28.407661,112.943595
福寿螺,,year=null;status=目击,29.97213,120.939155
福寿螺,,year=null;status=目击,24.789953,110.507818
福寿螺,,year=null;status=目击,25.096431,113.499229
福寿螺,,year=null;status=目击,28.056626,120.563253
福寿螺,,year=null;status=目击,29.976626,106.295027
福寿螺,,year=null;status=目击,23.459794,115.821855
福寿螺,,year=null;status=目击,32.51,120.19
福寿螺,,year=null;status=目击,31.18625,120.57604
福寿螺,,year=null;status=目击,23.15,113.0167
福寿螺,,year=null;status=目击,23.050687,112.464362
福寿螺,2012,year=2012;status=目击,22.505,114.114
福寿螺,2006,year=2006;status=目击,22.272091,114.149216
福寿螺,2006,year=2006;status=目击,22.422052,114.361244
福寿螺,,year=null;status=目击,22.448056,114.134167
福寿螺,,year=null;status=目击,22.415,114.070278
福寿螺,,year=null;status=目击,22.438611,114.061389
福寿螺,2026,year=2026;status=目击,24.903553,121.84505
福寿螺,2024,year=2024;status=目击,23.531729,120.476123
福寿螺,2024,year=2024;status=目击,22.495874,120.408459
福寿螺,2023,year=2023;status=目击,22.903898,120.568176
福寿螺,2023,year=2023;status=目击,23.680983,120.487617
福寿螺,2023,year=2023;status=目击,23.630165,120.467371
福寿螺,2023,year=2023;status=目击,23.562851,120.301261
福寿螺,2023,year=2023;status=目击,23.630274,120.467695
福寿螺,2023,year=2023;status=目击,23.630184,120.467573
福寿螺,2023,year=2023;status=目击,23.605692,120.366511
福寿螺,2023,year=2023;status=目击,23.731461,120.522881
福寿螺,2023,year=2023;status=目击,23.680849,120.487918
福寿螺,2023,year=2023;status=目击,23.731462,120.522882
福寿螺,2023,year=2023;status=目击,23.680966,120.418832
福寿螺,2023,year=2023;status=目击,23.731463,120.522883
福寿螺,2023,year=2023;status=目击,23.699486,120.458808
福寿螺,2023,year=2023;status=目击,24.779828,121.759044
福寿螺,2023,year=2023;status=目击,24.699822,121.767212
福寿螺,2023,year=2023;status=目击,23.467089,120.447921
福寿螺,2023,year=2023;status=目击,23.467163,120.447904
福寿螺,2023,year=2023;status=目击,22.534759,120.340864
福寿螺,2023,year=2023;status=目击,22.537263,120.338303
福寿螺,2023,year=2023;status=目击,23.531667,120.476007
福寿螺,2023,year=2023;status=目击,22.539567,120.387197
福寿螺,2023,year=2023;status=目击,22.702712,120.308312
福寿螺,2023,year=2023;status=目击,22.7027,120.308326
福寿螺,2023,year=2023;status=目击,23.53154,120.476281
福寿螺,2022,year=2022;status=目击,23.832966,120.257658
福寿螺,2022,year=2022;status=目击,23.785268,120.778792
福寿螺,2022,year=2022;status=目击,23.18742,120.35323
福寿螺,2022,year=2022;status=目击,23.630243,120.467623
福寿螺,2021,year=2021;status=目击,24.00033,120.91659
福寿螺,2021,year=2021;status=目击,23.98135,120.91831
福寿螺,2021,year=2021;status=目击,24.06317,120.95486
福寿螺,2021,year=2021;status=目击,24.19869,120.49596
福寿螺,2021,year=2021;status=目击,23.93656,120.68072
福寿螺,2021,year=2021;status=目击,24.02704,120.82695
福寿螺,2021,year=2021;status=目击,24.11387,120.55732
福寿螺,2021,year=2021;status=目击,24.02271,120.63682
福寿螺,2021,year=2021;status=目击,24.07657,120.72541
福寿螺,2021,year=2021;status=目击,24.16927,120.70553
福寿螺,2021,year=2021;status=目击,24.13849,120.6197
福寿螺,2021,year=2021;status=目击,24.1784,120.7378
福寿螺,2021,year=2021;status=目击,24.19867,120.63522
福寿螺,2021,year=2021;status=目击,24.13414,120.73938
福寿螺,2021,year=2021;status=目击,24.08147,120.70878
福寿螺,2021,year=2021;status=目击,24.0978,120.62405
福寿螺,2021,year=2021;status=目击,24.23647,120.73536
福寿螺,2021,year=2021;status=目击,24.15905,120.74417
福寿螺,2020,year=2020;status=目击,23.95404,120.95858
福寿螺,2020,year=2020;status=目击,24.00035,120.91671
福寿螺,2020,year=2020;status=目击,23.93657,120.68072
福寿螺,2020,year=2020;status=目击,24.02271,120.63683
福寿螺,2019,year=2019;status=目击,23.76301,121.45642
福寿螺,2019,year=2019;status=目击,23.78668,121.46196
福寿螺,2019,year=2019;status=目击,23.76234,121.47218
福寿螺,2019,year=2019;status=目击,22.91185,120.49284
福寿螺,2019,year=2019;status=目击,22.89501,120.54881
福寿螺,2019,year=2019;status=目击,24.5,121.8
福寿螺,2019,year=2019;status=目击,22.91786,120.5718
福寿螺,2018,year=2018;status=目击,23.87966,121.54204
福寿螺,2018,year=2018;status=目击,25.0,121.9
福寿螺,2018,year=2018;status=目击,23.73182,121.48957
福寿螺,2015,year=2015;status=目击,23.09,120.14
福寿螺,2015,year=2015;status=目击,23.17,120.26
福寿螺,2015,year=2015;status=目击,23.19,120.48
福寿螺,2015,year=2015;status=目击,23.08,120.48
福寿螺,2015,year=2015;status=目击,23.12,120.38
福寿螺,2015,year=2015;status=目击,23.11,120.2
福寿螺,2015,year=2015;status=目击,23.11,120.48
福寿螺,2015,year=2015;status=目击,23.09,120.51
福寿螺,2015,year=2015;status=目击,23.08,120.5
福寿螺,2009,year=2009;status=目击,23.21658,119.44265
福寿螺,2009,year=2009;status=目击,23.21305,119.43679
福寿螺,2009,year=2009;status=目击,23.55271,119.60657
福寿螺,2008,year=2008;status=目击,24.79469,120.9162
福寿螺,2008,year=2008;status=目击,24.44072,120.62576
福寿螺,2008,year=2008;status=目击,24.67819,121.10023
福寿螺,2008,year=2008;status=目击,24.69725,121.09652
福寿螺,2008,year=2008;status=目击,24.90573,121.26672
福寿螺,2008,year=2008;status=目击,24.96534,121.00729
福寿螺,2008,year=2008;status=目击,24.69996,120.85869
福寿螺,2008,year=2008;status=目击,24.66699,120.84369
福寿螺,2008,year=2008;status=目击,24.6218,120.78686
福寿螺,2008,year=2008;status=目击,24.52239,120.73364
福寿螺,2008,year=2008;status=目击,24.48856,120.66789
福寿螺,2008,year=2008;status=目击,24.76524,120.90401
福寿螺,2008,year=2008;status=目击,24.34278,120.76286
福寿螺,2008,year=2008;status=目击,24.76518,120.90404
福寿螺,2008,year=2008;status=目击,24.83451,121.18739
福寿螺,2008,year=2008;status=目击,24.94563,121.31056
福寿螺,2008,year=2008;status=目击,24.84932,121.19763
福寿螺,2008,year=2008;status=目击,24.87698,121.19464
福寿螺,2008,year=2008;status=目击,24.9611,121.26928
福寿螺,2008,year=2008;status=目击,24.97982,121.20929
福寿螺,2007,year=2007;status=目击,25.02389,121.81955
福寿螺,2007,year=2007;status=目击,23.189435,120.269039
福寿螺,2006,year=2006;status=目击,24.73811,121.74526
福寿螺,2006,year=2006;status=目击,24.792604,121.73984
福寿螺,2006,year=2006;status=目击,24.741575,121.689031
福寿螺,2006,year=2006;status=目击,24.756134,121.697614
福寿螺,2006,year=2006;status=目击,24.682887,121.77328
福寿螺,2006,year=2006;status=目击,24.741298,121.688456
福寿螺,2006,year=2006;status=目击,24.756026,121.697505
福寿螺,2006,year=2006;status=目击,24.738218,121.74534
福寿螺,2006,year=2006;status=目击,24.715273,121.681701
福寿螺,2006,year=2006;status=目击,24.644416,121.728503
福寿螺,2006,year=2006;status=目击,24.660832,121.815813
福寿螺,2006,year=2006;status=目击,24.796272,121.742947
福寿螺,2006,year=2006;status=目击,24.656639,121.821614
福寿螺,2006,year=2006;status=目击,24.754829,121.696836
福寿螺,2006,year=2006;status=目击,24.758193,121.71654
福寿螺,2006,year=2006;status=目击,24.744244,121.689837
福寿螺,2006,year=2006;status=目击,24.654134,121.822289
福寿螺,2006,year=2006;status=目击,24.753748,121.635373
福寿螺,2006,year=2006;status=目击,24.756333,121.697645
福寿螺,2006,year=2006;status=目击,24.737362,121.745118
福寿螺,2006,year=2006;status=目击,24.758248,121.716392
福寿螺,2006,year=2006;status=目击,24.793633,121.741705
福寿螺,2006,year=2006;status=目击,24.65991,121.816064
福寿螺,2006,year=2006;status=目击,24.758276,121.716372
福寿螺,2006,year=2006;status=目击,24.668468,121.80948
福寿螺,2006,year=2006;status=目击,24.753775,121.635393
福寿螺,2006,year=2006;status=目击,24.756917,121.694287
福寿螺,2006,year=2006;status=目击,24.756135,121.697476
福寿螺,2006,year=2006;status=目击,24.758276,121.716342
福寿螺,2006,year=2006;status=目击,24.796632,121.741397
福寿螺,2006,year=2006;status=目击,24.656078,121.821788
福寿螺,2006,year=2006;status=目击,24.668555,121.808532
福寿螺,2006,year=2006;status=目击,24.714686,121.681727
福寿螺,2006,year=2006;status=目击,24.774275,121.698892
福寿螺,2006,year=2006;status=目击,24.75608,121.697594
福寿螺,2005,year=2005;status=目击,24.644,121.751
