species_label,gbif_scientific_name,lat,lng,province,region_code,date,dataset,year
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",22.55,114.23,Guangdong,CN,2024-11-21T10:30,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",23.13,106.43,Guangxi,CN,2023-06-28T14:00,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",27.79,112.887,Hunan,CN,2023-10-03T10:30,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",27.83,112.93,Hunan,CN,2022-07-17T00:00,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",29.43,113.54,Hubei,CN,2022-07-13T00:00,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",22.87,113.48,,CN,2016-07-13,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",28.32,112.55,,CN,2016-08-15,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",25.090574,110.752075,,CN,2012-10-27T00:00,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",24.40013,106.84862,Guizhou,CN,2010-04-08,,
福寿螺,BOLD:AAA3844,38.073254,104.69114,,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",24.372778,111.654851,Guangxi,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",19.870076,110.582725,Hainan,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",30.036247,121.199191,Zhejiang,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",29.71,120.1,Zhejiang,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",29.488655,106.444716,Chongqing,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",28.278485,113.668387,Hunan,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",25.007839,102.750711,Yunnan,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",22.928698,112.043763,Canton,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",21.271905,110.359475,Guangdong,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",29.432741,121.004568,Zhejiang,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",23.745434,114.704451,Guangdong,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",31.229914,121.472592,Shanghai,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",22.51811,113.390135,Canton,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",30.58,114.32,Hubei,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",24.35,102.54,Yunnan,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",23.285,113.6313,Guangdong,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",22.845958,108.280267,Guangxi,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",19.52,109.58,Hainan,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",23.554663,116.393267,Guangdong,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",35.445346,116.832307,Shandong,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",32.39,119.42,Jiangsu,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",28.68,115.89,Jiangxi,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",22.583312,113.081695,Canton,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",30.587268,104.136748,Sichuan,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",23.4105,114.0747,Guangdong,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",23.15273,113.34189,Guangdong,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",26.05079,119.329546,Fujian,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",24.721457,118.158708,Fujian,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",22.553152,114.059004,Canton,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",26.566419,106.704805,Guizhou,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",23.23333,113.63333,Guangdong,CN,,,
福寿螺,"Pomacea canaliculata (Lamarck, 1822)",39.912924,116.420658,Beijing,CN,,,
