species_label,gbif_scientific_name,lat,lng,province,region_code,date,dataset
红耳彩龟,"Trachemys scripta (Thunberg In Schoepff, 1792)",23.74626,112.986155,Guangdong,CN,2026-01-01T12:55:11,iNaturalist research-grade observations
红耳彩龟,"Trachemys scripta (Thunberg In Schoepff, 1792)",31.344771,121.48032,Shanghai,CN,2026-01-04T17:12:04,iNaturalist research-grade observations
红耳彩龟,"Trachemys scripta (Thunberg In Schoepff, 1792)",30.677775,104.069358,Sichuan,CN,2026-01-25T09:28:30,iNaturalist research-grade observations
红耳彩龟,"Trachemys scripta (Thunberg In Schoepff, 1792)",23.075488,113.315078,Guangdong,CN,2026-01-10T15:49,iNaturalist research-grade observations
红耳彩龟,"Trachemys scripta (Thunberg In Schoepff, 1792)",22.671919,113.851557,Guangdong,CN,2026-01-16T11:52,iNaturalist research-grade observations
红耳彩龟,"Trachemys scripta (Thunberg In Schoepff, 1792)",20.071573,110.32988,Hainan,CN,2026-01-08T13:30:44,iNaturalist research-grade observations
红耳彩龟,"Trachemys scripta (Thunberg In Schoepff, 1792)",30.677683,104.069092,Sichuan,CN,2026-01-25T09:30:03,iNaturalist research-grade observations
红耳彩龟,"Trachemys scripta elegans (Wied, 1838)",26.093395,119.341605,Fujian,CN,2026-01-11T10:54,iNaturalist research-grade observations
红耳彩龟,"Trachemys scripta (Thunberg In Schoepff, 1792)",30.643897,104.081153,Sichuan,CN,2026-01-31T22:06:52,iNaturalist research-grade observations
红耳彩龟,"Trachemys scripta elegans (Wied, 1838)",23.169377,113.202674,Guangdong,CN,2026-01-24T13:48,iNaturalist research-grade observations
红耳彩龟,"Trachemys scripta (Thunberg In Schoepff, 1792)",23.122597,113.333778,Guangdong,CN,2026-02-07T11:51:47,iNaturalist research-grade observations
红耳彩龟,"Trachemys scripta elegans (Wied, 1838)",22.554318,114.050761,Guangdong,CN,2026-02-04T15:05:26,iNaturalist research-grade observations
红耳彩龟,"Trachemys scripta (Thunberg In Schoepff, 1792)",21.93189,101.250298,Yunnan,CN,2026-02-10T10:52:16,iNaturalist research-grade observations
红耳彩龟,"Trachemys scripta elegans (Wied, 1838)",24.64585,118.39227,Fujian,CN,2026-02-10T12:29,iNaturalist research-grade observations
红耳彩龟,"Trachemys scripta (Thunberg In Schoepff, 1792)",23.982755,111.843924,Guangdong,CN,2026-02-14T17:09:38,iNaturalist research-grade observations
红耳彩龟,"Trachemys scripta (Thunberg In Schoepff, 1792)",23.076943,113.339426,Guangdong,CN,2026-02-11T15:39:19,iNaturalist research-grade observations
红耳彩龟,"Trachemys scripta (Thunberg In Schoepff, 1792)",21.509247,101.575596,Yunnan,CN,2026-02-19T13:25,iNaturalist research-grade observations
红耳彩龟,"Trachemys scripta elegans (Wied, 1838)",29.545753,103.769593,Sichuan,CN,2026-02-16T23:22,iNaturalist research-grade observations
