species_label,gbif_scientific_name,lat,lng,province,region_code,date,dataset
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",22.521097,113.955192,Guangdong,CN,2026-01-31T16:14,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",31.472117,104.751854,Sichuan,CN,2026-02-13T13:07,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",25.258326,103.101405,Yunnan,CN,2025-01-20T13:47,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",32.068859,118.720342,Jiangsu,CN,2025-03-22T21:05:02,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",31.603437,119.015258,Jiangsu,CN,2025-03-28T21:54:52,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",22.515561,114.068395,Guangdong,CN,2025-04-11T16:46:51,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",30.663825,104.029895,Sichuan,CN,2025-04-04T13:11:32,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",22.511855,114.035575,Guangdong,CN,2025-04-20T16:19:18,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",22.547279,113.918394,Guangdong,CN,2025-04-26T17:22:25,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",31.99412,118.832504,Jiangsu,CN,2025-04-30T13:01:21,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",30.473879,114.360983,Hubei,CN,2025-04-19T22:49:08,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",30.562648,114.316187,Hubei,CN,2025-05-03T17:14,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",30.893357,103.593422,Sichuan,CN,2025-05-03T16:11:30,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",30.896114,103.589172,Sichuan,CN,2025-05-01T13:29:34,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",22.682297,114.200376,Guangdong,CN,2025-05-18T14:44:58,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",31.146531,121.422767,Shanghai,CN,2025-05-15T19:57:39,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",31.939803,114.27687,Henan,CN,2025-05-15T20:15:59,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",39.863914,116.430081,Beijing,CN,2025-05-25T16:41:07,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",31.220946,121.420322,Shanghai,CN,2025-05-07T08:21,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",37.299782,121.741732,Shandong,CN,2025-05-25T17:33,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",37.361766,121.206834,Shandong,CN,2025-06-06T11:27:59,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",30.01292,122.328679,Zhejiang,CN,2025-06-16T22:10:54,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",25.143221,101.477346,Yunnan,CN,2025-06-15T23:05:33,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",25.1429,101.477165,Yunnan,CN,2025-06-15T23:04:19,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",25.14328,101.477278,Yunnan,CN,2025-06-15T23:05:50,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",30.027387,122.324054,Zhejiang,CN,2025-06-22T21:43:05,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",30.738872,104.13983,Sichuan,CN,2025-06-12,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",30.475098,114.356324,Hubei,CN,2025-06-11T22:52:42,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",30.343116,112.688742,Hubei,CN,2025-06-30T01:48:47,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",25.096449,102.655684,Yunnan,CN,2025-06-12T23:06,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",20.094467,110.774438,Hainan,CN,2025-06-28T01:58,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",30.622214,104.002507,Sichuan,CN,2025-06-19T18:27:07,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",26.080847,100.373758,Yunnan,CN,2025-07-22T22:24:06,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",30.107869,122.208755,Zhejiang,CN,2025-07-14T21:17,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",39.946202,116.377031,Beijing,CN,2025-07-24T00:18:02,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",28.831267,121.128249,Zhejiang,CN,2025-07-19T17:57:55,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",37.302019,121.757323,Shandong,CN,2025-08-06T13:12:19,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",29.670534,91.109263,Xizang,CN,2025-08-16T10:31,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",30.671617,104.13092,Sichuan,CN,2025-09-06T07:58,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",30.245749,120.124042,Zhejiang,CN,2025-09-13T19:51:21,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",25.02278,102.67655,Yunnan,CN,2025-09-07T17:50,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",32.17245,118.81897,Jiangsu,CN,2025-09-27T21:38:54,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",27.968993,120.706592,Zhejiang,CN,2025-10-04T16:46,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",22.946573,112.911666,Guangdong,CN,2025-10-18T22:15:09,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",26.040606,119.302514,Fujian,CN,2025-10-25T15:59:46,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",39.833701,116.420449,Beijing,CN,2025-10-26T20:25:40,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",39.834504,116.422751,Beijing,CN,2025-10-30T19:54,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",20.070242,110.330002,Hainan,CN,2025-10-07T16:56:25,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",39.83373,116.42089,Beijing,CN,2025-11-16T22:04:04,iNaturalist research-grade observations
美洲牛蛙,"Lithobates catesbeianus (Shaw, 1802)",29.323357,95.332429,Xizang,CN,2025-12-08T21:15:10,iNaturalist research-grade observations
