species_label,gbif_scientific_name,lat,lng,province,region_code,date,dataset
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",25.041157,121.591465,,TW,2025-05-08,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.21797,121.26988,,TW,2023-01-16,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.48611,121.40401,,TW,2023-01-17,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.15649,121.23744,,TW,2023-01-16,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",24.74005,121.80334,,TW,2023-02-03,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",24.70474,121.75287,,TW,2023-02-01,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",24.97938,121.55791,,TW,2023-02-15,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",24.97945,121.55799,,TW,2023-02-15,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",24.97927,121.55781,,TW,2023-02-15,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",25.03597,121.46279,,TW,2023-02-10,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.07426,120.32596,,TW,2023-02-26,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.07469,120.32636,,TW,2023-02-26,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.05858,120.27669,,TW,2023-02-25,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.97544,120.3548,,TW,2023-02-25,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",24.85206,121.00262,,TW,2023-03-16,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",24.08074,120.66506,,TW,2023-04-16,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.328806,120.253083,,TW,2023-06-02,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.430639,120.4295,,TW,2023-06-03,
