species_label,gbif_scientific_name,lat,lng,province,region_code,date,dataset
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",22.644902,114.372836,Guangdong,CN,2026-01-12T12:51:04,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",23.337203,113.5391,Guangdong,CN,2026-01-18T13:31,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",19.775624,110.16008,Hainan,CN,2026-02-07T10:29:11,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",19.831869,110.424175,Hainan,CN,2026-02-15T16:41:04,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",22.037989,113.430392,Ilhas,CN,2025-04-27T15:16:54,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",22.6804,114.19998,Guangdong,CN,2025-04-10T12:24:07,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",24.489822,118.177689,Fujian,CN,2025-04-30T16:22:48,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",18.234601,109.646412,Hainan,CN,2025-05-03T18:05:30,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",22.886667,113.693031,Guangdong,CN,2025-07-04T17:19:53,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",27.969022,120.701242,Zhejiang,CN,2025-07-07T18:29:02,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",24.305075,113.317295,Guangdong,CN,2025-07-20T03:01:57,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",23.15099,113.28387,Guangdong,CN,2025-07-26T15:07,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",26.087115,119.230661,Fujian,CN,2025-08-03T17:30:46,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",27.767527,118.009502,Fujian,CN,2025-08-20T08:45:52,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",28.378273,119.817513,Zhejiang,CN,2025-08-20T10:18:33,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",23.981688,106.605218,Guangxi,CN,2025-08-22T10:39:43,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",23.139772,113.246006,Guangdong,CN,2025-08-23T17:50,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",18.253179,109.632501,Hainan,CN,2025-08-01T09:55,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",22.582337,114.17793,Guangdong,CN,2025-08-03T08:26,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",24.658519,116.168106,Guangdong,CN,2025-09-05T18:07:48,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",19.88377,110.345834,Hainan,CN,2025-09-24T20:27,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",24.87961,117.391621,Fujian,CN,2025-09-17T17:24:41,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",23.164021,113.248578,Guangdong,CN,2025-10-02T17:06:58,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",23.167358,113.197397,Guangdong,CN,2025-10-03T08:49:40,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",26.394168,117.785037,Fujian,CN,2025-10-04T21:05,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",23.171192,113.196997,Guangdong,CN,2025-10-03T08:47:32,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",22.811516,108.350344,Guangxi,CN,2025-10-05T11:18,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",26.390446,117.789293,Fujian,CN,2025-10-08T23:09,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",26.394188,117.7849,Fujian,CN,2025-10-08T23:06,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",22.6601,114.287978,Guangdong,CN,2025-11-12T14:52:52,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",22.580269,114.164874,Guangdong,CN,2025-11-12T15:32:53,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",22.472162,113.395171,Guangdong,CN,2025-11-24T00:43:57,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",23.10396,113.352202,Guangdong,CN,2025-11-22T11:57,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",23.192381,113.308149,Guangdong,CN,2025-11-22T13:41:36,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",23.105882,113.384516,Guangdong,CN,2025-11-21T06:00,iNaturalist research-grade observations
齐氏罗非鱼,"Coptodon zillii (Gervais, 1848)",26.08823,119.231509,Fujian,CN,2025-11-06T11:12:22,iNaturalist research-grade observations
