species,title,url,query,chars,path
非洲大蜗牛,严防非洲大蜗牛扩散 多措并举筑牢防控防线,https://mp.weixin.qq.com/s?__biz=MzU5NjA4NjI3MA==&mid=2247532421&idx=5&sn=b8752b9ece803dbf95a61b64964721d1&chksm=ffed3ca165e53e873fa5598d9064d1c95371a2f28c73566f29a48cb89372e639a2c879a1726f&scene=27,非洲大蜗牛 入侵 OR 泛滥 农业农村局,646,data\news_texts\非洲大蜗牛\018_严防非洲大蜗牛扩散_多措并举筑牢防控防线.txt
非洲大蜗牛,福鼎市农业农村局 福鼎市住房和城乡建设局 福鼎市城市管理和综合...,http://www.fuding.gov.cn/ztzl/nyxxzl/fdny/202506/t20250609_2042535.htm,非洲大蜗牛 入侵 OR 泛滥 农业农村局,4006,data\news_texts\非洲大蜗牛\019_福鼎市农业农村局_福鼎市住房和城乡建设局_福鼎市城市管理和综合.txt
非洲大蜗牛,遏制非洲大蜗牛泛滥趋势 泉州市开展夏季集中灭螺行动,https://baijiahao.baidu.com/s?id=1837398476476707848&wfr=spider&for=pc,非洲大蜗牛 入侵 OR 泛滥 农业农村局,973,data\news_texts\非洲大蜗牛\020_遏制非洲大蜗牛泛滥趋势_泉州市开展夏季集中灭螺行动.txt
非洲大蜗牛,农业农村部农业生态与资源保护总站,http://www.reea.agri.cn/stzybh/202507/t20250724_8752419.htm,非洲大蜗牛 入侵 OR 泛滥 农业农村局,1675,data\news_texts\非洲大蜗牛\021_农业农村部农业生态与资源保护总站.txt
非洲大蜗牛,广东暴雨后巨型蜗牛泛滥!专家紧急提醒:千万别摸别吃,https://baijiahao.baidu.com/s?id=1861825258277001594&wfr=spider&for=pc,非洲大蜗牛 现身 OR 抓获 新闻,1165,data\news_texts\非洲大蜗牛\022_广东暴雨后巨型蜗牛泛滥!专家紧急提醒_千万别摸别吃.txt
非洲大蜗牛,"广东暴雨后巨型蜗牛泛滥 专家:千万别碰,携带有细菌寄生虫",https://baijiahao.baidu.com/s?id=1861815431502276663&wfr=spider&for=pc,非洲大蜗牛 现身 OR 抓获 新闻,1163,"data\news_texts\非洲大蜗牛\023_广东暴雨后巨型蜗牛泛滥_专家_千万别碰,携带有细菌寄生虫.txt"
非洲大蜗牛,"广东暴雨后巨型蜗牛泛滥!专家紧急提醒:千万别摸别吃,一只携带上百...",https://baijiahao.baidu.com/s?id=1861856878836090086&wfr=spider&for=pc,非洲大蜗牛 现身 OR 抓获 新闻,1169,"data\news_texts\非洲大蜗牛\024_广东暴雨后巨型蜗牛泛滥!专家紧急提醒_千万别摸别吃,一只携带上百.txt"
非洲大蜗牛,"暴雨后“巨型蜗牛”现身广东:非洲大蜗牛真身曝光,千万别碰!",https://baijiahao.baidu.com/s?id=1861939335720168739&wfr=spider&for=pc,非洲大蜗牛 现身 OR 抓获 新闻,1242,"data\news_texts\非洲大蜗牛\025_暴雨后“巨型蜗牛”现身广东_非洲大蜗牛真身曝光,千万别碰!.txt"
非洲大蜗牛,[第一时间]海南海口:“非洲大蜗牛”雨后频繁出没 系入侵物种,https://tv.cctv.cn/2024/06/08/VIDETW2z4hpqejFHZQFgwFkh240608.shtml,非洲大蜗牛 现身 OR 抓获 新闻,2480,data\news_texts\非洲大蜗牛\026_[第一时间]海南海口_“非洲大蜗牛”雨后频繁出没_系入侵物种.txt
非洲大蜗牛,"一只可藏上百条寄生虫!雨后广东街头频现非洲大蜗牛,专家:不能吃...",https://mbd.baidu.com/newspage/data/videolanding?nid=sv_3947873156738223512&sourceFrom=qmj,非洲大蜗牛 现身 OR 抓获 新闻,202,"data\news_texts\非洲大蜗牛\027_一只可藏上百条寄生虫!雨后广东街头频现非洲大蜗牛,专家_不能吃.txt"
