species,year,property,lat,lon,province,city,district,address,ext_path
大鳄龟,2025,year=2025;status=目击,39.947183,116.513616,北京市,北京市,朝阳区,北京市 朝阳区,北京市 北京市 朝阳区
大鳄龟,2026,year=2026;status=目击,22.283969,113.950588,香港特别行政区,,,香港特别行政区,香港特别行政区 香港特别行政区 香港特别行政区
大鳄龟,2024,year=2024;status=目击,23.7169,120.5143,台湾省,,,台湾省,台湾省
大鳄龟,2018,year=2018;status=目击,22.704263,120.799664,台湾省,,,台湾省,台湾省
福寿螺,2024,year=2024;status=目击,22.55,114.23,广东省,深圳市,盐田区,广东省 深圳市 盐田区,广东省 深圳市 盐田区
福寿螺,2023,year=2023;status=目击,23.13,106.43,广西壮族自治区,百色市,靖西市,广西壮族自治区 百色市 靖西市,广西壮族自治区 百色市 靖西市
福寿螺,2023,year=2023;status=目击,27.79,112.887,湖南省,湘潭市,湘潭县,湖南省 湘潭市 湘潭县,湖南省 湘潭市 湘潭县
福寿螺,2022,year=2022;status=目击,27.83,112.93,湖南省,湘潭市,岳塘区,湖南省 湘潭市 岳塘区,湖南省 湘潭市 岳塘区
福寿螺,2022,year=2022;status=目击,29.43,113.54,湖南省,岳阳市,临湘市,湖南省 岳阳市 临湘市,湖南省 岳阳市 临湘市
福寿螺,2016,year=2016;status=目击,22.87,113.48,广东省,广州市,南沙区,广东省 广州市 南沙区,广东省 广州市 南沙区
福寿螺,2016,year=2016;status=目击,28.32,112.55,湖南省,长沙市,宁乡市,湖南省 长沙市 宁乡市,湖南省 长沙市 宁乡市
福寿螺,2012,year=2012;status=目击,25.090574,110.752075,广西壮族自治区,桂林市,恭城瑶族自治县,广西壮族自治区 桂林市 恭城瑶族自治县,广西壮族自治区 桂林市 恭城瑶族自治县
福寿螺,2010,year=2010;status=目击,24.40013,106.84862,广西壮族自治区,百色市,凌云县,广西壮族自治区 百色市 凌云县,广西壮族自治区 百色市 凌云县
福寿螺,,year=null;status=目击,38.073254,104.69114,内蒙古自治区,阿拉善盟,阿拉善左旗,内蒙古自治区 阿拉善盟 阿拉善左旗,内蒙古自治区 阿拉善盟 阿拉善左旗
福寿螺,,year=null;status=目击,24.372778,111.654851,广西壮族自治区,贺州市,八步区,广西壮族自治区 贺州市 八步区,广西壮族自治区 贺州市 八步区
福寿螺,,year=null;status=目击,19.870076,110.582725,海南省,海口市,美兰区,海南省 海口市 美兰区,海南省 海口市 美兰区
福寿螺,,year=null;status=目击,30.036247,121.199191,浙江省,宁波市,余姚市,浙江省 宁波市 余姚市,浙江省 宁波市 余姚市
福寿螺,,year=null;status=目击,29.71,120.1,浙江省,绍兴市,诸暨市,浙江省 绍兴市 诸暨市,浙江省 绍兴市 诸暨市
福寿螺,,year=null;status=目击,29.488655,106.444716,重庆市,重庆城区,九龙坡区,重庆市 重庆城区 九龙坡区,重庆市 重庆城区 九龙坡区
福寿螺,,year=null;status=目击,28.278485,113.668387,湖南省,长沙市,浏阳市,湖南省 长沙市 浏阳市,湖南省 长沙市 浏阳市
福寿螺,,year=null;status=目击,25.007839,102.750711,云南省,昆明市,官渡区,云南省 昆明市 官渡区,云南省 昆明市 官渡区
福寿螺,,year=null;status=目击,22.928698,112.043763,广东省,云浮市,云城区,广东省 云浮市 云城区,广东省 云浮市 云城区
福寿螺,,year=null;status=目击,21.271905,110.359475,广东省,湛江市,赤坎区,广东省 湛江市 赤坎区,广东省 湛江市 赤坎区
福寿螺,,year=null;status=目击,29.432741,121.004568,浙江省,绍兴市,新昌县,浙江省 绍兴市 新昌县,浙江省 绍兴市 新昌县
福寿螺,,year=null;status=目击,23.745434,114.704451,广东省,河源市,源城区,广东省 河源市 源城区,广东省 河源市 源城区
福寿螺,,year=null;status=目击,31.229914,121.472592,上海市,上海市,黄浦区,上海市 黄浦区,上海市 上海市 黄浦区
福寿螺,,year=null;status=目击,22.51811,113.390135,广东省,中山市,中山市,广东省 中山市 中山市,广东省 中山市 中山市
福寿螺,,year=null;status=目击,30.58,114.32,湖北省,武汉市,武昌区,湖北省 武汉市 武昌区,湖北省 武汉市 武昌区
福寿螺,,year=null;status=目击,24.35,102.54,云南省,玉溪市,红塔区,云南省 玉溪市 红塔区,云南省 玉溪市 红塔区
福寿螺,,year=null;status=目击,23.285,113.6313,广东省,广州市,增城区,广东省 广州市 增城区,广东省 广州市 增城区
福寿螺,,year=null;status=目击,22.845958,108.280267,广西壮族自治区,南宁市,西乡塘区,广西壮族自治区 南宁市 西乡塘区,广西壮族自治区 南宁市 西乡塘区
福寿螺,,year=null;status=目击,19.52,109.58,海南省,儋州市,儋州市,海南省 儋州市 儋州市,海南省 儋州市 儋州市
福寿螺,,year=null;status=目击,23.554663,116.393267,广东省,揭阳市,榕城区,广东省 揭阳市 榕城区,广东省 揭阳市 榕城区
福寿螺,,year=null;status=目击,35.445346,116.832307,山东省,济宁市,兖州区,山东省 济宁市 兖州区,山东省 济宁市 兖州区
福寿螺,,year=null;status=目击,32.39,119.42,江苏省,扬州市,邗江区,江苏省 扬州市 邗江区,江苏省 扬州市 邗江区
福寿螺,,year=null;status=目击,28.68,115.89,江西省,南昌市,东湖区,江西省 南昌市 东湖区,江西省 南昌市 东湖区
福寿螺,,year=null;status=目击,22.583312,113.081695,广东省,江门市,蓬江区,广东省 江门市 蓬江区,广东省 江门市 蓬江区
福寿螺,,year=null;status=目击,30.587268,104.136748,四川省,成都市,锦江区,四川省 成都市 锦江区,四川省 成都市 锦江区
福寿螺,,year=null;status=目击,23.4105,114.0747,广东省,惠州市,博罗县,广东省 惠州市 博罗县,广东省 惠州市 博罗县
福寿螺,,year=null;status=目击,23.15273,113.34189,广东省,广州市,天河区,广东省 广州市 天河区,广东省 广州市 天河区
