Entity1,Relationship,Entity2,Property,species_source
福寿螺,BELONGS_TO,中腹足目,rank=目,福寿螺
福寿螺,BELONGS_TO,瓶螺属,rank=属,福寿螺
福寿螺,BELONGS_TO,瓶螺科,rank=科,福寿螺
福寿螺,CAUSES,人类感染嗜酸性粒细胞增多性脑膜炎,type=间接,福寿螺
福寿螺,CAUSES,人类感染广州管圆线虫病,type=间接,福寿螺
福寿螺,CAUSES,人类感染脑膜炎,type=间接,福寿螺
福寿螺,CAUSES,人类皮肤过敏,type=间接,福寿螺
福寿螺,CAUSES,农民手脚划伤,type=直接,福寿螺
福寿螺,CAUSES,水体污染,type=直接,福寿螺
福寿螺,CAUSES,水稻减产,type=直接,福寿螺
福寿螺,CAUSES,生态系统破坏,type=直接,福寿螺
福寿螺,CAUSES,生物多样性降低,type=直接,福寿螺
福寿螺,COMPETES_WITH,Pila ampullacea,severity=高,福寿螺
福寿螺,COMPETES_WITH,Pila pesmei,severity=高,福寿螺
福寿螺,COMPETES_WITH,中华圆田螺,severity=高,福寿螺
福寿螺,COMPETES_WITH,中国圆田螺,severity=高,福寿螺
福寿螺,COMPETES_WITH,本地淡水生物,severity=高,福寿螺
福寿螺,HAS_ALIAS,Pomacea canaliculata,type=学名,福寿螺
福寿螺,HAS_ALIAS,大瓶螺,type=俗名,福寿螺
福寿螺,HAS_ALIAS,夭寿螺,type=俗名,福寿螺
福寿螺,HAS_ALIAS,苹果螺,type=俗名,福寿螺
福寿螺,HAS_ALIAS,金宝螺,type=俗名,福寿螺
福寿螺,HAS_HABIT,休眠,无,福寿螺
福寿螺,HAS_HABIT,夜间活动,无,福寿螺
福寿螺,HAS_HABIT,避光性,无,福寿螺
福寿螺,HAS_HABIT,集群,无,福寿螺
福寿螺,HAS_MORPHOLOGY,体螺层膨大,无,福寿螺
福寿螺,HAS_MORPHOLOGY,螺体右旋贝壳近似圆盘形,无,福寿螺
福寿螺,HAS_MORPHOLOGY,贝壳黄褐色表面光滑,无,福寿螺
福寿螺,INTRODUCED_VIA,人为引种食用,无,福寿螺
福寿螺,INTRODUCED_VIA,攀附船只,无,福寿螺
福寿螺,INTRODUCED_VIA,水族馆释放,无,福寿螺
福寿螺,INTRODUCED_VIA,水渠灌溉,无,福寿螺
福寿螺,MITIGATES,人工捡拾成螺,method=物理;type=主要,福寿螺
福寿螺,MITIGATES,人工摘除卵块,method=物理;type=主要,福寿螺
福寿螺,MITIGATES,使用夹竹桃提取液,method=生物;type=辅助,福寿螺
福寿螺,MITIGATES,使用夹竹桃皂苷,method=生物;type=辅助,福寿螺
福寿螺,MITIGATES,使用环肽提取物,method=生物;type=辅助,福寿螺
福寿螺,MITIGATES,使用茶皂素,method=生物;type=辅助,福寿螺
福寿螺,MITIGATES,使用诱捕剂,method=物理;type=辅助,福寿螺
福寿螺,MITIGATES,使用金属dehyde,method=化学;type=主要,福寿螺
福寿螺,MITIGATES,冬修水利整治沟渠,method=农业;type=主要,福寿螺
福寿螺,MITIGATES,喷洒杀螺胺,method=化学;type=主要,福寿螺
福寿螺,MITIGATES,喷洒氯硝柳胺,method=化学;type=主要,福寿螺
福寿螺,MITIGATES,喷洒环保杀螺剂,method=化学;type=主要,福寿螺
福寿螺,MITIGATES,插竹片引诱产卵,method=物理;type=辅助,福寿螺
福寿螺,MITIGATES,放养青鱼,method=生物;type=辅助,福寿螺
福寿螺,MITIGATES,放养鲤鱼,method=生物;type=辅助,福寿螺
福寿螺,MITIGATES,放养鳖,method=生物;type=辅助,福寿螺
福寿螺,MITIGATES,放养鸭子,method=生物;type=辅助,福寿螺
