Entity1,Relationship,Entity2,Property,species_source
《中华人民共和国刑法》第三百四十四条之一,MITIGATES,红耳彩龟,method=检疫;type=主要,红耳彩龟
《中华人民共和国生物安全法》,MITIGATES,红耳彩龟,method=检疫;type=主要,红耳彩龟
《中国外来入侵物种名单（第三批）》,MITIGATES,红耳彩龟,method=检疫;type=主要,红耳彩龟
《口岸重点管控外来物种名录》,MITIGATES,红耳彩龟,method=检疫;type=主要,红耳彩龟
《重点管理外来入侵物种名录》,MITIGATES,红耳彩龟,method=检疫;type=主要,红耳彩龟
严厉打击走私,MITIGATES,红耳彩龟,method=检疫;type=主要,红耳彩龟
中国入侵事件,CAUSES,红耳彩龟在中国野外广泛分布,type=直接,红耳彩龟
中国入侵事件,DURING,1980年代,,红耳彩龟
人工捕捉,MITIGATES,红耳彩龟,method=物理;type=主要,红耳彩龟
人工捕捉,MITIGATES,红耳彩龟,method=物理;type=辅助,红耳彩龟
佛罗里达州防治事件,DURING,未指定时间,,红耳彩龟
佛罗里达州防治事件,MITIGATES,红耳彩龟,method=检疫;type=主要,红耳彩龟
俄罗斯防治事件,DURING,未指定时间,,红耳彩龟
俄罗斯防治事件,MITIGATES,红耳彩龟,method=检疫;type=主要,红耳彩龟
俄罗斯防治事件,MITIGATES,红耳彩龟,method=物理;type=辅助,红耳彩龟
修订外来生物法,MITIGATES,红耳彩龟,method=检疫;type=主要,红耳彩龟
全国预防和根除策略,MITIGATES,红耳彩龟,method=农业;type=主要,红耳彩龟
全异巨首蚁,PREYS_ON,红耳彩龟,severity=高,红耳彩龟
加强宣传教育,MITIGATES,红耳彩龟,method=农业;type=辅助,红耳彩龟
印度防治事件,DURING,未指定时间,,红耳彩龟
印度防治事件,MITIGATES,红耳彩龟,method=物理;type=主要,红耳彩龟
广东省珠海市非法引进红耳彩龟事件,AFTER,广东省珠海市非法引进红耳彩龟案判决,,红耳彩龟
广东省珠海市非法引进红耳彩龟事件,CAUSES,生物安全威胁,type=直接,红耳彩龟
广东省珠海市非法引进红耳彩龟事件,DURING,2022年,,红耳彩龟
广东省珠海市非法引进红耳彩龟案判决,CAUSES,公众防控意识提升,type=间接,红耳彩龟
