Entity1,Relationship,Entity2,Property,species_source
严格检疫,MITIGATES,非洲大蜗牛,method=检疫;type=主要,非洲大蜗牛
中国福州入侵事件,CAUSES,危害500多种作物,type=直接,非洲大蜗牛
中国福州入侵事件,DURING,2014年,,非洲大蜗牛
云南省思茅区入侵事件,CAUSES,传播危害,type=直接,非洲大蜗牛
云南省思茅区入侵事件,DURING,调查年份未明确,",",非洲大蜗牛
云南省文山州入侵事件,CAUSES,农作物减产或绝收,type=直接,非洲大蜗牛
云南省文山州入侵事件,DURING,调查年份未明确,",",非洲大蜗牛
人工捕捉,MITIGATES,非洲大蜗牛,method=物理;type=主要,非洲大蜗牛
人工捕杀,MITIGATES,非洲大蜗牛,method=物理;type=主要,非洲大蜗牛
使用化学引诱剂,MITIGATES,非洲大蜗牛,method=化学;type=辅助,非洲大蜗牛
使用密达,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
使用巴丹,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
使用拟除虫菊酯类杀虫剂,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
使用有机磷,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
使用梅塔,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
使用溴甲烷熏蒸,MITIGATES,非洲大蜗牛,method=检疫;type=主要,非洲大蜗牛
使用硫酸铜溶液,MITIGATES,非洲大蜗牛,method=化学;type=辅助,非洲大蜗牛
使用贝螺杀,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
保护利用蟾蜍青蛙蚂蚁鸟类,MITIGATES,非洲大蜗牛,method=生物;type=主要,非洲大蜗牛
保护和利用蟾蜍,MITIGATES,非洲大蜗牛,method=生物;type=辅助,非洲大蜗牛
保护和利用褐翅鸦鹃,MITIGATES,非洲大蜗牛,method=生物;type=辅助,非洲大蜗牛
保护和利用鸦科鸟类,MITIGATES,非洲大蜗牛,method=生物;type=辅助,非洲大蜗牛
保护和利用黄鹂鸟,MITIGATES,非洲大蜗牛,method=生物;type=辅助,非洲大蜗牛
保护和释放步甲科昆虫,MITIGATES,非洲大蜗牛,method=生物;type=辅助,非洲大蜗牛
保护和释放萤火虫,MITIGATES,非洲大蜗牛,method=生物;type=辅助,非洲大蜗牛
光滑铜板形成机械隔离围墙,MITIGATES,非洲大蜗牛,method=物理;type=辅助,非洲大蜗牛
加强口岸检疫,MITIGATES,非洲大蜗牛,method=检疫;type=主要,非洲大蜗牛
加强调运检疫监管,MITIGATES,非洲大蜗牛,method=检疫;type=主要,非洲大蜗牛
厦门市2025年夏季集中清除行动,DURING,2025年夏季,,非洲大蜗牛
厦门市2025年夏季集中清除行动,MITIGATES,非洲大蜗牛,method=综合;type=主要,非洲大蜗牛
口岸检疫,MITIGATES,非洲大蜗牛,method=检疫;type=主要,非洲大蜗牛
台湾省东沙岛入侵事件,CAUSES,作为养殖食用后传入中国大陆,type=直接,非洲大蜗牛
台湾省东沙岛入侵事件,DURING,1918-1919年,,非洲大蜗牛
喷洒15%四聚乙醛颗粒,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
喷洒6%四聚乙醛颗粒,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
喷洒70%杀螺胺,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
喷洒乐果,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
喷洒四聚乙醛,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
喷洒杀贝剂,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
喷洒氨基甲酸酯,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
喷洒氨溶液,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
喷洒甲胺磷,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
喷洒硫酸铁,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
喷洒硫酸铜,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
干石灰拌土形成保护带,MITIGATES,非洲大蜗牛,method=物理;type=辅助,非洲大蜗牛
平潭综合实验区2025年夏季集中灭螺行动,DURING,2025年5月-9月,,非洲大蜗牛
平潭综合实验区2025年夏季集中灭螺行动,MITIGATES,非洲大蜗牛,method=综合;type=主要,非洲大蜗牛
平潭综合实验区农业农村局,EVENT,平潭综合实验区整治事件,year=2025,非洲大蜗牛
平潭综合实验区整治事件,CAUSES,遏制扩散,type=直接,非洲大蜗牛
平潭综合实验区整治事件,DURING,2025年,无,非洲大蜗牛
平潭综合实验区整治事件,MITIGATES,非洲大蜗牛,method=物理;type=主要,非洲大蜗牛
广东深圳感染事件,CAUSES,一名1岁女童确诊广州管圆线虫病引发的严重脑炎,type=直接,非洲大蜗牛
广东深圳感染事件,DURING,2026年5月,,非洲大蜗牛
广东省茂名市入侵事件,CAUSES,传播广州管圆线虫,type=直接,非洲大蜗牛
广东省茂名市入侵事件,DURING,调查年份未明确,",",非洲大蜗牛
广西南宁入侵事件,CAUSES,对蔬菜等农作物危害极大,type=直接,非洲大蜗牛
广西南宁入侵事件,DURING,2013年,,非洲大蜗牛
延平区2025年夏季防治工作,DURING,2025年夏季,,非洲大蜗牛
延平区2025年夏季防治工作,MITIGATES,非洲大蜗牛,method=物理;type=主要,非洲大蜗牛
投放嫩菜叶诱集,MITIGATES,非洲大蜗牛,method=物理;type=辅助,非洲大蜗牛
投食诱集,MITIGATES,非洲大蜗牛,method=物理;type=辅助,非洲大蜗牛
撒施生石灰,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
撒施食盐,MITIGATES,非洲大蜗牛,method=物理;type=主要,非洲大蜗牛
撒施食盐,MITIGATES,非洲大蜗牛,method=化学;type=辅助,非洲大蜗牛
放养家禽取食,MITIGATES,非洲大蜗牛,method=生物;type=辅助,非洲大蜗牛
检疫防治,MITIGATES,非洲大蜗牛,method=检疫;type=主要,非洲大蜗牛
毒饵诱杀,MITIGATES,非洲大蜗牛,method=化学;type=辅助,非洲大蜗牛
水旱轮作,MITIGATES,非洲大蜗牛,method=农业;type=主要,非洲大蜗牛
泉州市农业农村局,EVENT,泉州市夏季集中灭螺事件,year=2025,非洲大蜗牛
泉州市夏季集中灭螺事件,CAUSES,降低种群密度,type=直接,非洲大蜗牛
泉州市夏季集中灭螺事件,DURING,2025年7月,无,非洲大蜗牛
泉州市夏季集中灭螺事件,MITIGATES,非洲大蜗牛,method=综合;type=主要,非洲大蜗牛
清除杂草垃圾堆乱石堆,MITIGATES,非洲大蜗牛,method=农业;type=主要,非洲大蜗牛
漳平市2025年夏季集中灭螺行动,DURING,2025年5月-9月,,非洲大蜗牛
漳平市2025年夏季集中灭螺行动,MITIGATES,非洲大蜗牛,method=综合;type=主要,非洲大蜗牛
石灰处理后挖坑填埋,MITIGATES,非洲大蜗牛,method=物理;type=主要,非洲大蜗牛
福州市儿童公园消杀事件,CAUSES,防治效果良好,type=直接,非洲大蜗牛
福州市儿童公园消杀事件,DURING,2024年,无,非洲大蜗牛
福州市儿童公园消杀事件,MITIGATES,非洲大蜗牛,method=化学;type=主要,非洲大蜗牛
福州市园林中心,EVENT,福州市儿童公园消杀事件,year=2024,非洲大蜗牛
福建省2025年夏季集中灭螺行动,DURING,2025年5月-9月,,非洲大蜗牛
福建省2025年夏季集中灭螺行动,MITIGATES,非洲大蜗牛,method=综合;type=主要,非洲大蜗牛
福建省农业农村厅,EVENT,福建省夏季集中灭螺行动,year=2025,非洲大蜗牛
福建省夏季集中灭螺行动,CAUSES,降低种群密度,type=直接,非洲大蜗牛
福建省夏季集中灭螺行动,DURING,2025年,无,非洲大蜗牛
福建省夏季集中灭螺行动,MITIGATES,非洲大蜗牛,method=综合;type=主要,非洲大蜗牛
福建省福州市2024年冬季集中清除行动,DURING,2024年冬季,,非洲大蜗牛
福建省福州市2024年冬季集中清除行动,MITIGATES,非洲大蜗牛,method=物理;type=主要,非洲大蜗牛
福建省福州市儿童公园管理处,CONTAINS,福州市儿童公园,无,非洲大蜗牛
福建省防治事件,CAUSES,养殖户将它们抛到野外,type=直接,非洲大蜗牛
福建省防治事件,DURING,20世纪80年代,,非洲大蜗牛
福建省龙海市入侵事件,CAUSES,传播广州管圆线虫,type=直接,非洲大蜗牛
福建省龙海市入侵事件,DURING,调查年份未明确,",",非洲大蜗牛
福鼎市农业农村局,EVENT,福鼎市夏季集中灭螺事件,year=2025,非洲大蜗牛
福鼎市夏季集中灭螺事件,CAUSES,消除危害,type=直接,非洲大蜗牛
福鼎市夏季集中灭螺事件,DURING,2025年5月至9月,无,非洲大蜗牛
福鼎市夏季集中灭螺事件,MITIGATES,非洲大蜗牛,method=综合;type=主要,非洲大蜗牛
种植辛辣刺激性植物隔离,MITIGATES,非洲大蜗牛,method=农业;type=辅助,非洲大蜗牛
美国佛罗里达州入侵事件,CAUSES,每年损失1100万美元,type=直接,非洲大蜗牛
美国佛罗里达州入侵事件,DURING,1969年,,非洲大蜗牛
美国佛罗里达州再次发现事件,AFTER,美国佛罗里达州根除事件,,非洲大蜗牛
美国佛罗里达州再次发现事件,DURING,2022年6月,,非洲大蜗牛
美国佛罗里达州根除事件,CAUSES,宣布根除成功,type=直接,非洲大蜗牛
美国佛罗里达州根除事件,DURING,2011-2021年,,非洲大蜗牛
翠江镇2024年专项整治行动,DURING,2024年,,非洲大蜗牛
翠江镇2024年专项整治行动,MITIGATES,非洲大蜗牛,method=综合;type=主要,非洲大蜗牛
苗木运输检疫,MITIGATES,非洲大蜗牛,method=检疫;type=主要,非洲大蜗牛
苛性碳酸钠拌土形成保护带,MITIGATES,非洲大蜗牛,method=物理;type=辅助,非洲大蜗牛
越冬前整治,MITIGATES,非洲大蜗牛,method=农业;type=主要,非洲大蜗牛
钾盐镁矾拌土形成保护带,MITIGATES,非洲大蜗牛,method=物理;type=辅助,非洲大蜗牛
铲除花圃菜地周围杂草,MITIGATES,非洲大蜗牛,method=农业;type=辅助,非洲大蜗牛
锌板形成机械隔离围墙,MITIGATES,非洲大蜗牛,method=物理;type=辅助,非洲大蜗牛
非洲大蜗牛,AFFECTS,500多种植物,,非洲大蜗牛
非洲大蜗牛,AFFECTS,本土植物,,非洲大蜗牛
