Entity1,Relationship,Entity2,Property,species_source
河南省汝州市城市中央公园抽干湖水围捕事件,CAUSES,鳄雀鳝被捕获,type=直接,鳄雀鳝
河南省汝州市城市中央公园抽干湖水围捕事件,DURING,2022年8月,,鳄雀鳝
鳄雀鳝,AFFECTS,养殖水域,,鳄雀鳝
鳄雀鳝,AFFECTS,本土种,,鳄雀鳝
鳄雀鳝,AFFECTS,水生态系统,,鳄雀鳝
鳄雀鳝,AFFECTS,游客安全,,鳄雀鳝
鳄雀鳝,AFFECTS,生物多样性,,鳄雀鳝
鳄雀鳝,AFFECTS,自然水域,,鳄雀鳝
鳄雀鳝,BELONGS_TO,大雀鳝属,rank=属,鳄雀鳝
鳄雀鳝,BELONGS_TO,雀鳝属,rank=属,鳄雀鳝
鳄雀鳝,BELONGS_TO,雀鳝目,rank=目,鳄雀鳝
鳄雀鳝,BELONGS_TO,雀鳝科,rank=科,鳄雀鳝
鳄雀鳝,CAUSES,人类中毒,type=间接,鳄雀鳝
鳄雀鳝,CAUSES,人类受伤事件,type=直接,鳄雀鳝
鳄雀鳝,CAUSES,人类恐慌,type=间接,鳄雀鳝
鳄雀鳝,CAUSES,人类物理伤害,type=直接,鳄雀鳝
鳄雀鳝,CAUSES,养殖场经济损失,type=直接,鳄雀鳝
鳄雀鳝,CAUSES,影响水生态系统稳定,type=直接,鳄雀鳝
鳄雀鳝,CAUSES,影响渔业生产,type=直接,鳄雀鳝
鳄雀鳝,CAUSES,影响生物多样性,type=直接,鳄雀鳝
鳄雀鳝,CAUSES,影响粮食安全,type=直接,鳄雀鳝
鳄雀鳝,CAUSES,攻击人,type=直接,鳄雀鳝
鳄雀鳝,CAUSES,本土鱼类减少,type=直接,鳄雀鳝
鳄雀鳝,CAUSES,水域内鱼虾消失,type=直接,鳄雀鳝
鳄雀鳝,CAUSES,渔业损失,type=直接,鳄雀鳝
鳄雀鳝,CAUSES,渔业经济损失,type=直接,鳄雀鳝
鳄雀鳝,CAUSES,生态破坏,type=直接,鳄雀鳝
鳄雀鳝,CAUSES,生态系统失衡,type=间接,鳄雀鳝
鳄雀鳝,CAUSES,生态系统食物链影响,type=直接,鳄雀鳝
鳄雀鳝,CAUSES,生物多样性丧失,type=直接,鳄雀鳝
鳄雀鳝,CAUSES,鳄雀鳝卵中毒事件,type=直接,鳄雀鳝
鳄雀鳝,COMPETES_WITH,本土水生生物,severity=高,鳄雀鳝
