species,Entity1,Relationship,Entity2,Property
红耳彩龟,Angitola湖,LOCATED_IN,卡拉布里亚大区,
红耳彩龟,Cres岛,LOCATED_IN,克罗地亚,
红耳彩龟,三亚市,LOCATED_IN,海南省,
红耳彩龟,上海市,LOCATED_IN,中国,
红耳彩龟,不丹,LOCATED_IN,亚洲,
红耳彩龟,东帝汶,LOCATED_IN,亚洲,
红耳彩龟,中美洲,LOCATED_IN,美洲,
红耳彩龟,丹麦,LOCATED_IN,欧洲,
红耳彩龟,乌克兰,LOCATED_IN,欧洲,
红耳彩龟,乌兹别克斯坦,LOCATED_IN,亚洲,
红耳彩龟,乌干达,LOCATED_IN,非洲,
红耳彩龟,乌拉圭,LOCATED_IN,南美洲,
红耳彩龟,乍得,LOCATED_IN,非洲,
红耳彩龟,乔治五世地,LOCATED_IN,南极洲,
红耳彩龟,也门,LOCATED_IN,亚洲,
红耳彩龟,云南省,LOCATED_IN,中国,
红耳彩龟,亚洲,LOCATED_IN,世界,
红耳彩龟,亚美尼亚,LOCATED_IN,亚洲,
红耳彩龟,以色列,LOCATED_IN,亚洲,
红耳彩龟,伊利诺伊州,LOCATED_IN,美国,
红耳彩龟,伊拉克,LOCATED_IN,亚洲,
红耳彩龟,伊朗,LOCATED_IN,亚洲,
红耳彩龟,伯利兹,LOCATED_IN,中美洲,
红耳彩龟,佛得角,LOCATED_IN,非洲,
红耳彩龟,俄罗斯,LOCATED_IN,欧洲,
红耳彩龟,保加利亚,LOCATED_IN,欧洲,
红耳彩龟,克罗地亚,LOCATED_IN,欧洲,
红耳彩龟,全国,LOCATED_IN,中国,
红耳彩龟,全国水域,LOCATED_IN,中国,
红耳彩龟,冈比亚,LOCATED_IN,非洲,
红耳彩龟,冰岛,LOCATED_IN,欧洲,
红耳彩龟,几内亚,LOCATED_IN,非洲,
红耳彩龟,几内亚比绍,LOCATED_IN,非洲,
红耳彩龟,列支敦士登,LOCATED_IN,欧洲,
红耳彩龟,刚果共和国,LOCATED_IN,非洲,
红耳彩龟,刚果民主共和国,LOCATED_IN,非洲,
红耳彩龟,利比亚,LOCATED_IN,非洲,
红耳彩龟,利比里亚,LOCATED_IN,非洲,
红耳彩龟,加勒比地区,LOCATED_IN,美洲,
红耳彩龟,加拿大,LOCATED_IN,北美洲,
红耳彩龟,加纳,LOCATED_IN,非洲,
红耳彩龟,加蓬,LOCATED_IN,非洲,
红耳彩龟,匈牙利,LOCATED_IN,欧洲,
红耳彩龟,北京市,LOCATED_IN,中国,
红耳彩龟,北美洲,LOCATED_IN,美洲,
红耳彩龟,北马其顿,LOCATED_IN,欧洲,
红耳彩龟,华南地区,LOCATED_IN,中国,
红耳彩龟,南乔治亚和南桑威奇群岛,LOCATED_IN,南极洲,
红耳彩龟,南宁市,LOCATED_IN,广西壮族自治区,
红耳彩龟,南方地区,LOCATED_IN,中国,
红耳彩龟,南方水域,LOCATED_IN,中国,
红耳彩龟,南极洲,LOCATED_IN,世界,
红耳彩龟,南美洲,LOCATED_IN,美洲,
红耳彩龟,南苏丹,LOCATED_IN,非洲,
红耳彩龟,南非,LOCATED_IN,非洲,
红耳彩龟,博茨瓦纳,LOCATED_IN,非洲,
红耳彩龟,卡塔尔,LOCATED_IN,亚洲,
红耳彩龟,卡拉布里亚大区,LOCATED_IN,意大利,
红耳彩龟,卢旺达,LOCATED_IN,非洲,
红耳彩龟,卢森堡,LOCATED_IN,欧洲,
红耳彩龟,印度,LOCATED_IN,亚洲,
红耳彩龟,印度尼西亚,LOCATED_IN,亚洲,
红耳彩龟,危地马拉,LOCATED_IN,中美洲,
红耳彩龟,厄瓜多尔,LOCATED_IN,南美洲,
红耳彩龟,厄立特里亚,LOCATED_IN,非洲,
红耳彩龟,叙利亚,LOCATED_IN,亚洲,
红耳彩龟,台湾省,LOCATED_IN,中国,
红耳彩龟,吉尔吉斯斯坦,LOCATED_IN,亚洲,
红耳彩龟,吉布提,LOCATED_IN,非洲,
红耳彩龟,吉林省,LOCATED_IN,中国,
红耳彩龟,哈萨克斯坦,LOCATED_IN,亚洲,
红耳彩龟,哥伦比亚,LOCATED_IN,南美洲,
红耳彩龟,哥斯达黎加,LOCATED_IN,中美洲,
红耳彩龟,喀麦隆,LOCATED_IN,非洲,
红耳彩龟,图瓦卢,LOCATED_IN,大洋洲,
红耳彩龟,土库曼斯坦,LOCATED_IN,亚洲,
红耳彩龟,土耳其,LOCATED_IN,亚洲,
红耳彩龟,圣多美和普林西比,LOCATED_IN,非洲,
红耳彩龟,圣赫勒拿,LOCATED_IN,非洲,
红耳彩龟,圣马力诺,LOCATED_IN,欧洲,
红耳彩龟,圭亚那,LOCATED_IN,南美洲,
红耳彩龟,坦桑尼亚,LOCATED_IN,非洲,
红耳彩龟,埃及,LOCATED_IN,非洲,
红耳彩龟,埃塞俄比亚,LOCATED_IN,非洲,
红耳彩龟,埃尔斯沃思地,LOCATED_IN,南极洲,
红耳彩龟,基里巴斯,LOCATED_IN,大洋洲,
红耳彩龟,塔吉克斯坦,LOCATED_IN,亚洲,
红耳彩龟,塞内加尔,LOCATED_IN,非洲,
红耳彩龟,塞尔维亚,LOCATED_IN,欧洲,
红耳彩龟,塞拉利昂,LOCATED_IN,非洲,
红耳彩龟,塞浦路斯,LOCATED_IN,欧洲,
红耳彩龟,塞舌尔,LOCATED_IN,非洲,
红耳彩龟,墨西哥,LOCATED_IN,北美洲,
红耳彩龟,墨西哥东北部,LOCATED_IN,墨西哥,
红耳彩龟,多哥,LOCATED_IN,非洲,
红耳彩龟,大洋洲,LOCATED_IN,世界,
红耳彩龟,奥地利,LOCATED_IN,欧洲,
红耳彩龟,奥茨地,LOCATED_IN,南极洲,
红耳彩龟,如皋市,LOCATED_IN,江苏省,
红耳彩龟,委内瑞拉,LOCATED_IN,南美洲,
红耳彩龟,威尔克斯地,LOCATED_IN,南极洲,
红耳彩龟,孟加拉国,LOCATED_IN,亚洲,
红耳彩龟,安哥拉,LOCATED_IN,非洲,
红耳彩龟,安道尔,LOCATED_IN,欧洲,
红耳彩龟,密克罗尼西亚联邦,LOCATED_IN,大洋洲,
红耳彩龟,密西西比河及格兰德河流域,LOCATED_IN,墨西哥,
红耳彩龟,密西西比河及格兰德河流域,LOCATED_IN,美国,
红耳彩龟,密西西比流域,LOCATED_IN,美国,
红耳彩龟,小坑水库,LOCATED_IN,广州市,
红耳彩龟,尼加拉瓜,LOCATED_IN,中美洲,
红耳彩龟,尼日利亚,LOCATED_IN,非洲,
红耳彩龟,尼日尔,LOCATED_IN,非洲,
红耳彩龟,尼泊尔,LOCATED_IN,亚洲,
红耳彩龟,山东省,LOCATED_IN,中国,
红耳彩龟,山西省,LOCATED_IN,中国,
红耳彩龟,巴哈马,LOCATED_IN,加勒比地区,
红耳彩龟,巴基斯坦,LOCATED_IN,亚洲,
红耳彩龟,巴布亚新几内亚,LOCATED_IN,大洋洲,
红耳彩龟,巴拉圭,LOCATED_IN,南美洲,
红耳彩龟,巴拿马,LOCATED_IN,中美洲,
红耳彩龟,巴林,LOCATED_IN,亚洲,
红耳彩龟,巴西,LOCATED_IN,南美洲,
红耳彩龟,布基纳法索,LOCATED_IN,非洲,
红耳彩龟,布隆迪,LOCATED_IN,非洲,
红耳彩龟,布韦岛,LOCATED_IN,南极洲,
红耳彩龟,希腊,LOCATED_IN,欧洲,
红耳彩龟,帕劳,LOCATED_IN,大洋洲,
红耳彩龟,广东省,LOCATED_IN,中国,
红耳彩龟,广州市,LOCATED_IN,广东省,
红耳彩龟,广西壮族自治区,LOCATED_IN,中国,
红耳彩龟,彼得一世岛,LOCATED_IN,南极洲,
红耳彩龟,德克萨斯州,LOCATED_IN,美国,
红耳彩龟,德国,LOCATED_IN,欧洲,
红耳彩龟,恩德比地,LOCATED_IN,南极洲,
红耳彩龟,意大利,LOCATED_IN,欧洲,
红耳彩龟,所罗门群岛,LOCATED_IN,大洋洲,
红耳彩龟,扬马延岛,LOCATED_IN,欧洲,
红耳彩龟,拉脱维亚,LOCATED_IN,欧洲,
