Entity1,Relationship,Entity2,Property
红耳彩龟,HAS_ALIAS,巴西龟,type=俗名
红耳彩龟,HAS_ALIAS,巴西彩龟,type=俗名
红耳彩龟,HAS_ALIAS,红耳龟,type=俗名
红耳彩龟,HAS_ALIAS,密西西比红耳龟,type=俗名
红耳彩龟,HAS_ALIAS,红耳泥龟,type=俗名
红耳彩龟,HAS_ALIAS,Trachemys scripta elegans,type=学名
红耳彩龟,BELONGS_TO,泽龟科,rank=科
红耳彩龟,BELONGS_TO,彩龟属,rank=属
红耳彩龟,BELONGS_TO,彩龟,rank=种
红耳彩龟,NATIVE_TO,美国南部,null
红耳彩龟,NATIVE_TO,墨西哥东北部,null
美国南部,LOCATED_IN,美国,null
墨西哥东北部,LOCATED_IN,墨西哥,null
红耳彩龟,THRIVES_IN,池塘,null
红耳彩龟,THRIVES_IN,湖泊,null
红耳彩龟,THRIVES_IN,河塘,null
红耳彩龟,THRIVES_IN,淡水环境,null
红耳彩龟,THRIVES_IN,沼泽,null
红耳彩龟,THRIVES_IN,溪流,null
红耳彩龟,THRIVES_IN,缓流河流,null
红耳彩龟,THRIVES_IN,半咸水流域,null
红耳彩龟,INTRODUCED_VIA,人为引入,null
红耳彩龟,INTRODUCED_VIA,宠物贸易,null
红耳彩龟,INTRODUCED_VIA,宠物释放,null
红耳彩龟,REPORTED_IN,亚洲,year=null;status=广泛分布
红耳彩龟,REPORTED_IN,非洲,year=null;status=广泛分布
红耳彩龟,REPORTED_IN,欧洲,year=null;status=广泛分布
红耳彩龟,REPORTED_IN,美洲,year=null;status=广泛分布
红耳彩龟,REPORTED_IN,中国大陆,year=1980年代;status=引进
红耳彩龟,REPORTED_IN,台湾省,year=null;status=有野化种群
红耳彩龟,REPORTED_IN,泰国,year=null;status=有野化种群
红耳彩龟,REPORTED_IN,澳洲,year=null;status=有野化种群
红耳彩龟,REPORTED_IN,加拿大,year=null;status=有野化种群
红耳彩龟,REPORTED_IN,夏威夷,year=null;status=有野化种群
红耳彩龟,REPORTED_IN,南非,year=null;status=有野化种群
红耳彩龟,REPORTED_IN,百慕大,year=null;status=有野化种群
红耳彩龟,REPORTED_IN,以色列,year=null;status=有野化种群
红耳彩龟,REPORTED_IN,巴林,year=null;status=有野化种群
红耳彩龟,REPORTED_IN,马里亚纳群岛,year=null;status=有野化种群
红耳彩龟,REPORTED_IN,关岛,year=null;status=有野化种群
红耳彩龟,REPORTED_IN,俄罗斯,year=null;status=有野化种群
红耳彩龟,REPORTED_IN,英国,year=null;status=有野化种群
红耳彩龟,REPORTED_IN,西班牙,year=null;status=有野化种群
红耳彩龟,REPORTED_IN,新南威尔士州,year=null;status=有繁殖种群
红耳彩龟,REPORTED_IN,昆士兰州,year=null;status=有繁殖种群
红耳彩龟,REPORTED_IN,维多利亚州,year=null;status=有野生个体
红耳彩龟,REPORTED_IN,澳大利亚首都领地,year=null;status=有野生个体
红耳彩龟,REPORTED_IN,西澳大利亚州,year=null;status=有野生个体
红耳彩龟,REPORTED_IN,印度东北部,year=null;status=有入侵风险
红耳彩龟,REPORTED_IN,迪普比尔野生动物保护区,year=2018;status=发现
红耳彩龟,REPORTED_IN,乌格拉塔拉德瓦拉亚寺池塘,year=2018;status=发现
红耳彩龟,REPORTED_IN,艾藻尔,year=2019;status=发现
红耳彩龟,REPORTED_IN,佛罗里达州,year=null;status=禁止销售野生型
红耳彩龟,COMPETES_WITH,本土龟类,severity=高
红耳彩龟,COMPETES_WITH,Mauremys leprosa,severity=高
红耳彩龟,COMPETES_WITH,黄腹彩龟,severity=高
红耳彩龟,PREYS_ON,小鱼,severity=中
红耳彩龟,PREYS_ON,小虾,severity=中
红耳彩龟,PREYS_ON,蝌蚪,severity=中
红耳彩龟,PREYS_ON,蚯蚓,severity=中
红耳彩龟,PREYS_ON,两栖类,severity=中
红耳彩龟,PREYS_ON,甲壳类,severity=中
红耳彩龟,PREYS_ON,贝类,severity=中
红耳彩龟,PREYS_ON,昆虫,severity=中
红耳彩龟,PREYS_ON,小龙虾,severity=中
红耳彩龟,PREYS_ON,蜗牛,severity=中
红耳彩龟,PREYS_ON,水生植物,severity=中
