Entity1,Relationship,Entity2,Property
红耳彩龟,HAS_ALIAS,巴西龟,type=俗名
红耳彩龟,HAS_ALIAS,红耳滑龟,type=俗名
红耳彩龟,HAS_ALIAS,红耳龟,type=俗名
红耳彩龟,BELONGS_TO,泽龟科,rank=科
红耳彩龟,BELONGS_TO,龟鳖目,rank=目
红耳彩龟,BELONGS_TO,爬行纲,rank=纲
红耳彩龟,NATIVE_TO,密西西比流域,null
密西西比流域,LOCATED_IN,美国,null
红耳彩龟,NATIVE_TO,美国,null
红耳彩龟,THRIVES_IN,淡水生境,null
红耳彩龟,THRIVES_IN,半陆生环境,null
红耳彩龟,THRIVES_IN,静水生态系统,null
红耳彩龟,THRIVES_IN,湿地,null
红耳彩龟,INTRODUCED_VIA,国际贸易,null
红耳彩龟,INTRODUCED_VIA,放生活动,null
红耳彩龟,INTRODUCED_VIA,水产养殖引种,null
红耳彩龟,INTRODUCED_VIA,观赏渔业引种,null
红耳彩龟,REPORTED_IN,广东省,year=null;status=分布
广东省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,台湾省,year=null;status=分布
台湾省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,海南省,year=null;status=分布
海南省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,浙江省,year=null;status=分布
浙江省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,江苏省,year=null;status=分布
江苏省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,福建省,year=null;status=分布
福建省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,湖北省,year=null;status=分布
湖北省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,辽宁省,year=null;status=分布
辽宁省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,上海市,year=null;status=分布
上海市,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,山东省,year=null;status=分布
山东省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,云南省,year=null;status=分布
云南省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,河南省,year=null;status=分布
河南省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,湖南省,year=null;status=分布
湖南省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,北京市,year=null;status=分布
北京市,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,西藏自治区,year=null;status=分布
西藏自治区,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,甘肃省,year=null;status=分布
甘肃省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,山西省,year=null;status=分布
山西省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,杭州市西湖风景名胜区,year=null;status=分布
杭州市西湖风景名胜区,LOCATED_IN,杭州市,null
杭州市,LOCATED_IN,浙江省,null
红耳彩龟,REPORTED_IN,西溪国家湿地公园,year=null;status=分布
西溪国家湿地公园,LOCATED_IN,杭州市,null
红耳彩龟,REPORTED_IN,黄婆洞水库,year=2017;status=分布
黄婆洞水库,LOCATED_IN,广州市,null
广州市,LOCATED_IN,广东省,null
红耳彩龟,REPORTED_IN,民政林场,year=2017;status=分布
民政林场,LOCATED_IN,广州市,null
红耳彩龟,REPORTED_IN,小坑水库,year=2017;status=分布
小坑水库,LOCATED_IN,广州市,null
红耳彩龟,REPORTED_IN,Angitola湖,year=null;status=分布
Angitola湖,LOCATED_IN,卡拉布里亚大区,null
卡拉布里亚大区,LOCATED_IN,意大利,null
红耳彩龟,REPORTED_IN,Cres岛,year=2019;status=首次记录
Cres岛,LOCATED_IN,克罗地亚,null
红耳彩龟,REPORTED_IN,德克萨斯州,year=2017;status=分布
德克萨斯州,LOCATED_IN,美国,null
红耳彩龟,REPORTED_IN,伊利诺伊州,year=null;status=分布
伊利诺伊州,LOCATED_IN,美国,null
红耳彩龟,REPORTED_IN,澳大利亚,year=null;status=分布
红耳彩龟,REPORTED_IN,日本,year=2006;status=分布
红耳彩龟,COMPETES_WITH,中华草龟,severity=中
红耳彩龟,COMPETES_WITH,本地龟类,severity=高
红耳彩龟,PREYS_ON,龟卵,severity=低
红耳彩龟,PREYS_ON,初生幼体,severity=低
红耳彩龟,CAUSES,生物多样性丧失,type=直接
红耳彩龟,CAUSES,生态系统功能受损,type=直接
红耳彩龟,CAUSES,经济损失,type=直接
红耳彩龟,CAUSES,沙门氏杆菌传播,type=直接
全异巨首蚁,PREYS_ON,红耳彩龟,severity=高
某种大头蚁,PREYS_ON,红耳彩龟,severity=高
红火蚁,PREYS_ON,红耳彩龟,severity=高
红耳彩龟,MITIGATES,人工捕捉,method=物理;type=主要
红耳彩龟,MITIGATES,环境DNA监测,method=检疫;type=辅助
红耳彩龟,SPREAD_RISK_TO,中国东南部省份,confidence=高
红耳彩龟,SPREAD_RISK_TO,全国主要水系,confidence=高
中国入侵事件,DURING,1980年代,null
中国入侵事件,CAUSES,红耳彩龟在中国野外广泛分布,type=直接
广东省防治事件,DURING,2017年,null
