Entity1,Relationship,Entity2,Property
红耳彩龟,HAS_ALIAS,巴西龟,type=俗名
红耳彩龟,BELONGS_TO,龟科,rank=科
红耳彩龟,NATIVE_TO,南美洲,null
红耳彩龟,INTRODUCED_VIA,宠物贸易,null
红耳彩龟,THRIVES_IN,河流,null
红耳彩龟,THRIVES_IN,湖泊,null
红耳彩龟,THRIVES_IN,水域,null
红耳彩龟,COMPETES_WITH,中华草龟,severity=高
红耳彩龟,COMPETES_WITH,花龟,severity=高
红耳彩龟,CAUSES,本土龟类种群下降,type=直接
红耳彩龟,CAUSES,生物多样性破坏,type=间接
红耳彩龟,CAUSES,沙门氏菌传播,type=直接
红耳彩龟,REPORTED_IN,广东省,year=null;status=泛滥
广东省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,北京市,year=2025;status=查获
北京市,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,江门市,year=2023;status=查获
江门市,LOCATED_IN,广东省,null
红耳彩龟,REPORTED_IN,深圳市,year=2025;status=查获
深圳市,LOCATED_IN,广东省,null
红耳彩龟,REPORTED_IN,拱北口岸,year=null;status=查获
拱北口岸,LOCATED_IN,广东省,null
红耳彩龟,REPORTED_IN,日本,year=2023;status=立法禁止出售或放生
日本,LOCATED_IN,亚洲,null
红耳彩龟,REPORTED_IN,赛里木湖,year=2025;status=发现
赛里木湖,LOCATED_IN,新疆维吾尔自治区,null
新疆维吾尔自治区,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,泰国,year=2019;status=发现白化个体
泰国,LOCATED_IN,亚洲,null
红耳彩龟,REPORTED_IN,福建省,year=null;status=泛滥
福建省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,台湾省,year=null;status=发现
台湾省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,山东省,year=null;status=查获
山东省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,珠海市,year=2024;status=查获
珠海市,LOCATED_IN,广东省,null
红耳彩龟,REPORTED_IN,广州市,year=null;status=查获
广州市,LOCATED_IN,广东省,null
红耳彩龟,REPORTED_IN,南宁市,year=null;status=查获
南宁市,LOCATED_IN,广西壮族自治区,null
广西壮族自治区,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,福州市,year=null;status=查获
福州市,LOCATED_IN,福建省,null
红耳彩龟,REPORTED_IN,皇岗口岸,year=2023;status=查获
皇岗口岸,LOCATED_IN,广东省,null
红耳彩龟,REPORTED_IN,莲塘口岸,year=2025;status=查获
莲塘口岸,LOCATED_IN,广东省,null
红耳彩龟,REPORTED_IN,文锦渡口岸,year=2025;status=查获
文锦渡口岸,LOCATED_IN,广东省,null
红耳彩龟,REPORTED_IN,福田口岸,year=2025;status=查获
福田口岸,LOCATED_IN,广东省,null
红耳彩龟,REPORTED_IN,首都机场,year=2025;status=查获
首都机场,LOCATED_IN,北京市,null
红耳彩龟,REPORTED_IN,长春市,year=2024;status=提及
长春市,LOCATED_IN,吉林省,null
吉林省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,三亚市,year=2026;status=提及
三亚市,LOCATED_IN,海南省,null
海南省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,如皋市,year=2025;status=提及
如皋市,LOCATED_IN,江苏省,null
江苏省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,长乐区,year=2026;status=提及
长乐区,LOCATED_IN,福州市,null
红耳彩龟,REPORTED_IN,武汉市,year=null;status=提及
武汉市,LOCATED_IN,湖北省,null
湖北省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,湖北省,year=null;status=提及
湖北省,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,闽江河口湿地,year=2026;status=提及
闽江河口湿地,LOCATED_IN,长乐区,null
红耳彩龟,REPORTED_IN,水绘园风景区,year=2025;status=提及
水绘园风景区,LOCATED_IN,如皋市,null
红耳彩龟,REPORTED_IN,海南三亚,year=2026;status=提及
海南三亚,LOCATED_IN,海南省,null
红耳彩龟,REPORTED_IN,长春动植物公园,year=2024;status=提及
长春动植物公园,LOCATED_IN,长春市,null
红耳彩龟,REPORTED_IN,长江流域,year=null;status=提及
长江流域,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,华南地区,year=null;status=提及
华南地区,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,南方地区,year=null;status=泛滥
南方地区,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,全国,year=null;status=泛滥
全国,LOCATED_IN,中国,null
红耳彩龟,REPORTED_IN,中国,year=1980;status=引入
红耳彩龟,REPORTED_IN,中国,year=null;status=泛滥
红耳彩龟,SPREAD_RISK_TO,中国,confidence=高
红耳彩龟,SPREAD_RISK_TO,南方水域,confidence=高
南方水域,LOCATED_IN,中国,null
红耳彩龟,SPREAD_RISK_TO,全国水域,confidence=高
全国水域,LOCATED_IN,中国,null
红耳彩龟,SPREAD_RISK_TO,非洲,confidence=低
非洲,LOCATED_IN,世界,null
红耳彩龟,SPREAD_RISK_TO,亚洲,confidence=低
亚洲,LOCATED_IN,世界,null
红耳彩龟,SPREAD_RISK_TO,美洲,confidence=低
美洲,LOCATED_IN,世界,null
红耳彩龟,SPREAD_RISK_TO,欧洲,confidence=低
欧洲,LOCATED_IN,世界,null
红耳彩龟,SPREAD_RISK_TO,大洋洲,confidence=低
大洋洲,LOCATED_IN,世界,null
红耳彩龟,SPREAD_RISK_TO,南极洲,confidence=低
南极洲,LOCATED_IN,世界,null
红耳彩龟,SPREAD_RISK_TO,北美洲,confidence=低
北美洲,LOCATED_IN,美洲,null
红耳彩龟,SPREAD_RISK_TO,南美洲,confidence=低
南美洲,LOCATED_IN,美洲,null
红耳彩龟,SPREAD_RISK_TO,中美洲,confidence=低
中美洲,LOCATED_IN,美洲,null
红耳彩龟,SPREAD_RISK_TO,加勒比地区,confidence=低
加勒比地区,LOCATED_IN,美洲,null
红耳彩龟,SPREAD_RISK_TO,西印度群岛,confidence=低
西印度群岛,LOCATED_IN,加勒比地区,null
红耳彩龟,SPREAD_RISK_TO,巴哈马,confidence=低
巴哈马,LOCATED_IN,加勒比地区,null
红耳彩龟,SPREAD_RISK_TO,百慕大,confidence=低
百慕大,LOCATED_IN,北美洲,null
红耳彩龟,SPREAD_RISK_TO,加拿大,confidence=低
加拿大,LOCATED_IN,北美洲,null
红耳彩龟,SPREAD_RISK_TO,美国,confidence=低
美国,LOCATED_IN,北美洲,null
红耳彩龟,SPREAD_RISK_TO,墨西哥,confidence=低
墨西哥,LOCATED_IN,北美洲,null
红耳彩龟,SPREAD_RISK_TO,危地马拉,confidence=低
危地马拉,LOCATED_IN,中美洲,null
红耳彩龟,SPREAD_RISK_TO,伯利兹,confidence=低
伯利兹,LOCATED_IN,中美洲,null
红耳彩龟,SPREAD_RISK_TO,萨尔瓦多,confidence=低
萨尔瓦多,LOCATED_IN,中美洲,null
红耳彩龟,SPREAD_RISK_TO,洪都拉斯,confidence=低
洪都拉斯,LOCATED_IN,中美洲,null
红耳彩龟,SPREAD_RISK_TO,尼加拉瓜,confidence=低
尼加拉瓜,LOCATED_IN,中美洲,null
红耳彩龟,SPREAD_RISK_TO,哥斯达黎加,confidence=低
哥斯达黎加,LOCATED_IN,中美洲,null
红耳彩龟,SPREAD_RISK_TO,巴拿马,confidence=低
巴拿马,LOCATED_IN,中美洲,null
红耳彩龟,SPREAD_RISK_TO,哥伦比亚,confidence=低
哥伦比亚,LOCATED_IN,南美洲,null
红耳彩龟,SPREAD_RISK_TO,委内瑞拉,confidence=低
委内瑞拉,LOCATED_IN,南美洲,null
红耳彩龟,SPREAD_RISK_TO,圭亚那,confidence=低
圭亚那,LOCATED_IN,南美洲,null
红耳彩龟,SPREAD_RISK_TO,苏里南,confidence=低
苏里南,LOCATED_IN,南美洲,null
红耳彩龟,SPREAD_RISK_TO,法属圭亚那,confidence=低
法属圭亚那,LOCATED_IN,南美洲,null
红耳彩龟,SPREAD_RISK_TO,厄瓜多尔,confidence=低
厄瓜多尔,LOCATED_IN,南美洲,null
红耳彩龟,SPREAD_RISK_TO,秘鲁,confidence=低
秘鲁,LOCATED_IN,南美洲,null
红耳彩龟,SPREAD_RISK_TO,玻利维亚,confidence=低
玻利维亚,LOCATED_IN,南美洲,null
红耳彩龟,SPREAD_RISK_TO,巴西,confidence=低
巴西,LOCATED_IN,南美洲,null
红耳彩龟,SPREAD_RISK_TO,巴拉圭,confidence=低
巴拉圭,LOCATED_IN,南美洲,null
红耳彩龟,SPREAD_RISK_TO,乌拉圭,confidence=低
乌拉圭,LOCATED_IN,南美洲,null
红耳彩龟,SPREAD_RISK_TO,阿根廷,confidence=低
