Entity1,Relationship,Entity2,Property
非洲大蜗牛,BELONGS_TO,玛瑙螺科,rank=科
非洲大蜗牛,BELONGS_TO,玛瑙螺属,rank=属
非洲大蜗牛,BELONGS_TO,柄眼目,rank=目
非洲大蜗牛,HAS_ALIAS,褐云玛瑙螺,type=俗名
非洲大蜗牛,HAS_ALIAS,非洲巨螺,type=俗名
非洲大蜗牛,HAS_ALIAS,菜螺,type=俗名
非洲大蜗牛,HAS_ALIAS,花螺,type=俗名
非洲大蜗牛,HAS_ALIAS,露螺,type=俗名
非洲大蜗牛,HAS_ALIAS,东风螺,type=俗名
非洲大蜗牛,HAS_ALIAS,法国螺,type=俗名
非洲大蜗牛,HAS_ALIAS,非洲巨蜗牛,type=俗名
非洲大蜗牛,HAS_ALIAS,褐云光滑玛瑙螺,type=俗名
非洲大蜗牛,HAS_ALIAS,Lissachatina fulica,type=学名
非洲大蜗牛,HAS_ALIAS,Achatina fulica,type=学名
非洲大蜗牛,HAS_ALIAS,Helix fulica,type=学名
非洲大蜗牛,HAS_MORPHOLOGY,贝壳大型通常体长7-8厘米最大20厘米体重可达800克,null
非洲大蜗牛,HAS_MORPHOLOGY,贝壳狭窄锥形壳质稍厚有光泽呈长卵圆形,null
非洲大蜗牛,HAS_MORPHOLOGY,壳面为黄色或深黄底色带有焦褐色雾状花纹,null
非洲大蜗牛,HAS_MORPHOLOGY,足部肌肉发达背面呈暗棕黑色遮面呈灰黄色其黏液无色,null
非洲大蜗牛,HAS_HABIT,昼伏夜出,null
非洲大蜗牛,HAS_HABIT,群居性,null
非洲大蜗牛,HAS_HABIT,喜阴湿环境,null
非洲大蜗牛,HAS_HABIT,畏光怕热,null
非洲大蜗牛,HAS_HABIT,雌雄同体,null
非洲大蜗牛,NATIVE_TO,东非沿岸桑给巴尔奔巴岛一带,null
非洲大蜗牛,NATIVE_TO,非洲东部,null
桑给巴尔奔巴岛一带,LOCATED_IN,东非,null
非洲东部,LOCATED_IN,非洲,null
非洲大蜗牛,THRIVES_IN,菜地,null
非洲大蜗牛,THRIVES_IN,农田,null
非洲大蜗牛,THRIVES_IN,果园,null
非洲大蜗牛,THRIVES_IN,公园,null
