Entity1,Relationship,Entity2,Property
非洲大蜗牛,BELONGS_TO,玛瑙螺科,rank=科
非洲大蜗牛,BELONGS_TO,玛瑙螺属,rank=属
非洲大蜗牛,HAS_ALIAS,褐云玛瑙螺,type=俗名
非洲大蜗牛,HAS_ALIAS,非洲巨型蜗牛,type=俗名
非洲大蜗牛,HAS_ALIAS,非洲巨型福寿螺,type=俗名
非洲大蜗牛,HAS_ALIAS,白玉蜗牛,type=俗名
非洲大蜗牛,HAS_ALIAS,Lissachatina fulica,type=学名
非洲大蜗牛,HAS_ALIAS,Achatina fulica,type=学名
非洲大蜗牛,NATIVE_TO,东非,null
东非,LOCATED_IN,非洲,null
非洲大蜗牛,THRIVES_IN,稻田,null
非洲大蜗牛,THRIVES_IN,水库,null
非洲大蜗牛,THRIVES_IN,河流,null
非洲大蜗牛,THRIVES_IN,沟渠,null
非洲大蜗牛,THRIVES_IN,灌木丛,null
非洲大蜗牛,THRIVES_IN,花园,null
非洲大蜗牛,THRIVES_IN,草地,null
非洲大蜗牛,THRIVES_IN,人类住宅,null
非洲大蜗牛,THRIVES_IN,路边,null
非洲大蜗牛,THRIVES_IN,垃圾堆,null
非洲大蜗牛,THRIVES_IN,香蕉田,null
非洲大蜗牛,THRIVES_IN,马卡博田,null
非洲大蜗牛,INTRODUCED_VIA,人类活动,null
非洲大蜗牛,INTRODUCED_VIA,商业目的,null
非洲大蜗牛,INTRODUCED_VIA,蜗牛养殖,null
非洲大蜗牛,REPORTED_IN,麻栗坡县,year=2001;status=发现
非洲大蜗牛,REPORTED_IN,富宁县,year=2001;status=发现
非洲大蜗牛,REPORTED_IN,马关县,year=2001;status=发现
麻栗坡县,LOCATED_IN,文山壮族苗族自治州,null
富宁县,LOCATED_IN,文山壮族苗族自治州,null
马关县,LOCATED_IN,文山壮族苗族自治州,null
文山壮族苗族自治州,LOCATED_IN,云南省,null
非洲大蜗牛,REPORTED_IN,云南省,year=null;status=分布
非洲大蜗牛,REPORTED_IN,南宁市,year=null;status=分布
非洲大蜗牛,REPORTED_IN,厦门市,year=null;status=分布
非洲大蜗牛,REPORTED_IN,台湾省,year=null;status=分布
非洲大蜗牛,REPORTED_IN,海南省,year=null;status=分布
