Entity1,Relationship,Entity2,Property
非洲大蜗牛,HAS_ALIAS,褐云玛瑙螺,type=学名
非洲大蜗牛,HAS_ALIAS,非洲巨螺,type=俗名
非洲大蜗牛,HAS_ALIAS,菜螺,type=俗名
非洲大蜗牛,HAS_ALIAS,花螺,type=俗名
非洲大蜗牛,BELONGS_TO,玛瑙螺科,rank=科
非洲大蜗牛,BELONGS_TO,玛瑙螺属,rank=属
非洲大蜗牛,BELONGS_TO,柄眼目,rank=目
非洲大蜗牛,BELONGS_TO,腹足纲,rank=纲
非洲大蜗牛,BELONGS_TO,软体动物门,rank=门
非洲大蜗牛,NATIVE_TO,东非,null
非洲大蜗牛,NATIVE_TO,坦桑尼亚,null
坦桑尼亚,LOCATED_IN,东非,null
非洲大蜗牛,NATIVE_TO,马达加斯加岛,null
非洲大蜗牛,NATIVE_TO,桑给巴尔,null
桑给巴尔,LOCATED_IN,坦桑尼亚,null
非洲大蜗牛,NATIVE_TO,奔巴岛,null
奔巴岛,LOCATED_IN,坦桑尼亚,null
非洲大蜗牛,THRIVES_IN,草丛,null
非洲大蜗牛,THRIVES_IN,菜园,null
非洲大蜗牛,THRIVES_IN,果园,null
非洲大蜗牛,THRIVES_IN,农田,null
非洲大蜗牛,THRIVES_IN,林地,null
非洲大蜗牛,THRIVES_IN,房屋墙角,null
非洲大蜗牛,THRIVES_IN,湿地,null
非洲大蜗牛,THRIVES_IN,森林,null
非洲大蜗牛,THRIVES_IN,公园绿地,null
非洲大蜗牛,THRIVES_IN,住宅小区,null
非洲大蜗牛,THRIVES_IN,沟渠边,null
非洲大蜗牛,THRIVES_IN,腐殖质多的土壤表层,null
非洲大蜗牛,THRIVES_IN,乱石堆,null
非洲大蜗牛,THRIVES_IN,枯草堆,null
非洲大蜗牛,INTRODUCED_VIA,货物携带,null
非洲大蜗牛,INTRODUCED_VIA,植物携带卵或幼螺,null
非洲大蜗牛,REPORTED_IN,福建省,year=1930;status=发现
福建省,LOCATED_IN,中国,null
非洲大蜗牛,REPORTED_IN,福州市,year=2024;status=分布
福州市,LOCATED_IN,福建省,null
非洲大蜗牛,REPORTED_IN,延平区,year=2025;status=分布
延平区,LOCATED_IN,南平市,null
南平市,LOCATED_IN,福建省,null
非洲大蜗牛,REPORTED_IN,厦门市,year=2025;status=分布
厦门市,LOCATED_IN,福建省,null
非洲大蜗牛,REPORTED_IN,漳平市,year=2025;status=分布
漳平市,LOCATED_IN,龙岩市,null
龙岩市,LOCATED_IN,福建省,null
非洲大蜗牛,REPORTED_IN,平潭综合实验区,year=2025;status=分布
平潭综合实验区,LOCATED_IN,福建省,null
非洲大蜗牛,REPORTED_IN,上杭县,year=2024;status=分布
上杭县,LOCATED_IN,龙岩市,null
非洲大蜗牛,REPORTED_IN,晋安区,year=2024;status=分布
晋安区,LOCATED_IN,福州市,null
非洲大蜗牛,REPORTED_IN,翠江镇,year=2024;status=分布
翠江镇,LOCATED_IN,宁化县,null
宁化县,LOCATED_IN,三明市,null
三明市,LOCATED_IN,福建省,null
非洲大蜗牛,REPORTED_IN,柳州市,year=2023;status=分布
柳州市,LOCATED_IN,广西壮族自治区,null
非洲大蜗牛,REPORTED_IN,海口市,year=2024;status=分布
海口市,LOCATED_IN,海南省,null
非洲大蜗牛,REPORTED_IN,湖北省,year=null;status=分布
湖北省,LOCATED_IN,中国,null
非洲大蜗牛,REPORTED_IN,湖南省,year=null;status=分布
湖南省,LOCATED_IN,中国,null
非洲大蜗牛,REPORTED_IN,广东省,year=null;status=分布
广东省,LOCATED_IN,中国,null
非洲大蜗牛,REPORTED_IN,广西壮族自治区,year=null;status=分布
广西壮族自治区,LOCATED_IN,中国,null
非洲大蜗牛,REPORTED_IN,海南省,year=null;status=分布
海南省,LOCATED_IN,中国,null
非洲大蜗牛,REPORTED_IN,四川省,year=null;status=分布
四川省,LOCATED_IN,中国,null
非洲大蜗牛,REPORTED_IN,贵州省,year=null;status=分布
贵州省,LOCATED_IN,中国,null
非洲大蜗牛,REPORTED_IN,云南省,year=null;status=分布
云南省,LOCATED_IN,中国,null
非洲大蜗牛,REPORTED_IN,台湾省,year=null;status=分布
台湾省,LOCATED_IN,中国,null
非洲大蜗牛,REPORTED_IN,香港特别行政区,year=null;status=分布
香港特别行政区,LOCATED_IN,中国,null
非洲大蜗牛,REPORTED_IN,澳门特别行政区,year=null;status=分布
澳门特别行政区,LOCATED_IN,中国,null
非洲大蜗牛,REPORTED_IN,江西省,year=null;status=分布
江西省,LOCATED_IN,中国,null
非洲大蜗牛,REPORTED_IN,泉州市,year=2025;status=分布
泉州市,LOCATED_IN,福建省,null
非洲大蜗牛,PREYS_ON,粮食作物,severity=高
非洲大蜗牛,PREYS_ON,经济作物,severity=高
非洲大蜗牛,PREYS_ON,树木,severity=高
非洲大蜗牛,PREYS_ON,野草,severity=高
非洲大蜗牛,PREYS_ON,园艺植物,severity=高
非洲大蜗牛,PREYS_ON,水稻,severity=高
非洲大蜗牛,PREYS_ON,瓜果蔬菜,severity=高
非洲大蜗牛,PREYS_ON,园林绿化植物,severity=高
非洲大蜗牛,CAUSES,农业危害,type=直接
非洲大蜗牛,CAUSES,园艺危害,type=直接
非洲大蜗牛,CAUSES,林业危害,type=直接
非洲大蜗牛,CAUSES,生物多样性破坏,type=直接
非洲大蜗牛,CAUSES,人类健康威胁,type=间接
非洲大蜗牛,COMPETES_WITH,本土蜗牛,severity=中
非洲大蜗牛,COMPETES_WITH,本土软体动物,severity=中
非洲大蜗牛,AFFECTS,福建省园艺植物损失15%-30%,null
非洲大蜗牛,AFFECTS,江西省水稻减产2%-15%,null
非洲大蜗牛,CAUSES,广州管圆线虫感染风险增加,type=间接
