Entity1,Relationship,Entity2,Property
鳄雀鳝,HAS_ALIAS,大雀鳝,type=俗名
鳄雀鳝,HAS_ALIAS,福鳄,type=俗名
鳄雀鳝,HAS_ALIAS,鳄鱼火箭,type=俗名
鳄雀鳝,HAS_ALIAS,纺锤骨雀鳝,type=俗名
鳄雀鳝,HAS_ALIAS,Atractosteus spatula,type=学名
鳄雀鳝,BELONGS_TO,雀鳝目,rank=目
鳄雀鳝,BELONGS_TO,雀鳝科,rank=科
鳄雀鳝,BELONGS_TO,大雀鳝属,rank=属
鳄雀鳝,HAS_MORPHOLOGY,体长2-3米,null
鳄雀鳝,HAS_MORPHOLOGY,体重137-159千克,null
鳄雀鳝,HAS_MORPHOLOGY,外观形似鳄鱼,null
鳄雀鳝,HAS_MORPHOLOGY,上下颌有尖锐牙齿,null
鳄雀鳝,HAS_MORPHOLOGY,尾鳍异尾型,null
鳄雀鳝,HAS_MORPHOLOGY,背部灰绿色或灰褐色,null
鳄雀鳝,HAS_MORPHOLOGY,腹部淡黄色或白色,null
鳄雀鳝,HAS_MORPHOLOGY,菱形硬鳞,null
鳄雀鳝,HAS_HABIT,凶猛的肉食性鱼类,null
鳄雀鳝,HAS_HABIT,机会主义掠食者,null
鳄雀鳝,HAS_HABIT,伏击捕食,null
鳄雀鳝,HAS_HABIT,夜间活动,null
鳄雀鳝,HAS_HABIT,独居,null
鳄雀鳝,HAS_HABIT,领地意识强,null
鳄雀鳝,HAS_HABIT,能吞咽空气辅助呼吸,null
鳄雀鳝,NATIVE_TO,墨西哥湾沿岸平原,null
鳄雀鳝,NATIVE_TO,密西西比河流域,null
鳄雀鳝,NATIVE_TO,佛罗里达州,null
鳄雀鳝,NATIVE_TO,德克萨斯州,null
鳄雀鳝,NATIVE_TO,俄克拉荷马州,null
鳄雀鳝,NATIVE_TO,路易斯安那州,null
鳄雀鳝,NATIVE_TO,肯塔基州,null
鳄雀鳝,NATIVE_TO,密西西比州,null
鳄雀鳝,NATIVE_TO,阿拉巴马州,null
鳄雀鳝,NATIVE_TO,田纳西州,null
鳄雀鳝,NATIVE_TO,阿肯色州,null
鳄雀鳝,NATIVE_TO,密苏里州,null
鳄雀鳝,NATIVE_TO,伊利诺伊州,null
鳄雀鳝,NATIVE_TO,韦拉克鲁斯州,null
鳄雀鳝,NATIVE_TO,墨西哥,null
鳄雀鳝,THRIVES_IN,大型河流,null
鳄雀鳝,THRIVES_IN,湖泊,null
鳄雀鳝,THRIVES_IN,水库,null
鳄雀鳝,THRIVES_IN,牛轭湖,null
鳄雀鳝,THRIVES_IN,河口,null
鳄雀鳝,THRIVES_IN,海湾,null
鳄雀鳝,THRIVES_IN,微咸水,null
鳄雀鳝,INTRODUCED_VIA,弃养宠物,null
鳄雀鳝,PREYS_ON,鱼类,severity=高
鳄雀鳝,PREYS_ON,鸟类,severity=中
鳄雀鳝,PREYS_ON,龟,severity=中
鳄雀鳝,PREYS_ON,小型哺乳动物,severity=中
鳄雀鳝,PREYS_ON,两栖动物,severity=中
鳄雀鳝,PREYS_ON,甲壳动物,severity=中
鳄雀鳝,PREYS_ON,腐肉,severity=低
鳄雀鳝,PREYS_ON,水鸟,severity=中
鳄雀鳝,PREYS_ON,蓝蟹,severity=中
鳄雀鳝,REPORTED_IN,中国,year=null;status=外来入侵物种
鳄雀鳝,REPORTED_IN,土库曼斯坦,year=2008;status=发现
鳄雀鳝,REPORTED_IN,新加坡,year=2011;status=发现
鳄雀鳝,REPORTED_IN,印度,year=2015;status=发现
鳄雀鳝,REPORTED_IN,塞浦路斯,year=2020;status=发现
鳄雀鳝,REPORTED_IN,泰国,year=2024;status=发现
鳄雀鳝,REPORTED_IN,香港,year=2009;status=发现
鳄雀鳝,REPORTED_IN,台湾,year=null;status=发现
鳄雀鳝,REPORTED_IN,广东省,year=null;status=发现
鳄雀鳝,REPORTED_IN,广西壮族自治区,year=null;status=发现
鳄雀鳝,REPORTED_IN,福建省,year=null;status=发现
鳄雀鳝,REPORTED_IN,江苏省,year=null;status=发现
鳄雀鳝,REPORTED_IN,浙江省,year=null;status=发现
鳄雀鳝,REPORTED_IN,江西省,year=null;status=发现
鳄雀鳝,REPORTED_IN,四川省,year=null;status=发现
鳄雀鳝,REPORTED_IN,河南省,year=null;status=发现
鳄雀鳝,REPORTED_IN,湖北省,year=null;status=发现
鳄雀鳝,REPORTED_IN,湖南省,year=null;status=发现
鳄雀鳝,REPORTED_IN,海南省,year=null;status=发现
鳄雀鳝,REPORTED_IN,北京市,year=null;status=发现
鳄雀鳝,REPORTED_IN,上海市,year=null;status=发现
鳄雀鳝,REPORTED_IN,山东省,year=null;status=发现
鳄雀鳝,REPORTED_IN,云南省,year=null;status=发现
鳄雀鳝,REPORTED_IN,重庆市,year=null;status=发现
鳄雀鳝,REPORTED_IN,天津市,year=null;status=发现
鳄雀鳝,REPORTED_IN,陕西省,year=null;status=发现
鳄雀鳝,REPORTED_IN,辽宁省,year=null;status=发现
鳄雀鳝,REPORTED_IN,吉林省,year=null;status=发现
鳄雀鳝,REPORTED_IN,黑龙江省,year=null;status=发现
鳄雀鳝,REPORTED_IN,甘肃省,year=null;status=发现
鳄雀鳝,REPORTED_IN,贵州省,year=null;status=发现
鳄雀鳝,REPORTED_IN,山西省,year=null;status=发现
鳄雀鳝,REPORTED_IN,河北省,year=null;status=发现
鳄雀鳝,REPORTED_IN,内蒙古自治区,year=null;status=发现
鳄雀鳝,REPORTED_IN,新疆维吾尔自治区,year=null;status=发现
鳄雀鳝,REPORTED_IN,西藏自治区,year=null;status=发现
鳄雀鳝,REPORTED_IN,青海省,year=null;status=发现
鳄雀鳝,REPORTED_IN,宁夏回族自治区,year=null;status=发现
鳄雀鳝,REPORTED_IN,澳门,year=null;status=发现
鳄雀鳝,REPORTED_IN,德克萨斯州,year=null;status=原生
鳄雀鳝,REPORTED_IN,路易斯安那州,year=null;status=原生
鳄雀鳝,REPORTED_IN,密西西比州,year=null;status=原生
