Entity1,Relationship,Entity2,Property
鳄雀鳝,HAS_ALIAS,Alligator gar,type=学名
鳄雀鳝,HAS_ALIAS,Atractosteus spatula,type=学名
鳄雀鳝,BELONGS_TO,雀鳝科,rank=科
鳄雀鳝,NATIVE_TO,北美洲,null
鳄雀鳝,NATIVE_TO,墨西哥,null
鳄雀鳝,NATIVE_TO,美国佛罗里达州,null
鳄雀鳝,NATIVE_TO,密苏里河,null
鳄雀鳝,NATIVE_TO,俄亥俄河,null
鳄雀鳝,NATIVE_TO,尼加拉瓜,null
鳄雀鳝,THRIVES_IN,河流,null
鳄雀鳝,THRIVES_IN,河口,null
鳄雀鳝,THRIVES_IN,湖泊,null
鳄雀鳝,THRIVES_IN,淡水生态系统,null
鳄雀鳝,THRIVES_IN,水库,null
鳄雀鳝,THRIVES_IN,城市中央公园,null
鳄雀鳝,INTRODUCED_VIA,观赏鱼贸易,null
鳄雀鳝,HAS_HABIT,大型肉食性凶猛鱼类,null
鳄雀鳝,HAS_HABIT,繁殖能力强,null
鳄雀鳝,HAS_HABIT,生性凶猛,null
鳄雀鳝,HAS_HABIT,缺乏天敌,null
鳄雀鳝,HAS_MORPHOLOGY,短吻,null
鳄雀鳝,HAS_MORPHOLOGY,匕首般锋利的牙齿,null
鳄雀鳝,HAS_MORPHOLOGY,异常坚硬的鳞片,null
鳄雀鳝,REPORTED_IN,汝州市,year=2022;status=发现并捕获
鳄雀鳝,REPORTED_IN,北京市,year=2022;status=发现
鳄雀鳝,REPORTED_IN,湖南省,year=2022;status=发现
鳄雀鳝,REPORTED_IN,广西壮族自治区,year=2022;status=发现
鳄雀鳝,REPORTED_IN,山东省,year=2022;status=发现
鳄雀鳝,REPORTED_IN,广东省,year=null;status=有野外分布记录
鳄雀鳝,REPORTED_IN,福建省,year=null;status=有野外分布记录
鳄雀鳝,REPORTED_IN,四川省,year=null;status=有野外分布记录
鳄雀鳝,REPORTED_IN,江苏省,year=2022;status=发现并咬伤人类
鳄雀鳝,REPORTED_IN,云南省,year=2022;status=发现
鳄雀鳝,REPORTED_IN,青海省,year=2022;status=发现
鳄雀鳝,REPORTED_IN,印度尼西亚雅加达,year=2007;status=发现
鳄雀鳝,REPORTED_IN,伊利诺伊州哥伦比亚市,year=null;status=历史记录
鳄雀鳝,REPORTED_IN,密苏里河下游,year=null;status=历史记录
鳄雀鳝,REPORTED_IN,俄亥俄河下游,year=null;status=历史记录
鳄雀鳝,REPORTED_IN,墨西哥湾沿岸,year=null;status=原产地
鳄雀鳝,REPORTED_IN,尼加拉瓜湖泊,year=null;status=原产地
鳄雀鳝,REPORTED_IN,古巴,year=null;status=原产地
鳄雀鳝,REPORTED_IN,中美洲,year=null;status=原产地
鳄雀鳝,PREYS_ON,鱼类,severity=高
鳄雀鳝,PREYS_ON,人类,severity=低
鳄雀鳝,COMPETES_WITH,本土鱼类,severity=高
鳄雀鳝,CAUSES,生态系统食物链影响,type=直接
鳄雀鳝,CAUSES,水域内鱼虾消失,type=直接
鳄雀鳝,CAUSES,人类受伤事件,type=直接
汝州市,LOCATED_IN,平顶山市,null
平顶山市,LOCATED_IN,河南省,null
伊利诺伊州哥伦比亚市,LOCATED_IN,伊利诺伊州,null
伊利诺伊州,LOCATED_IN,美国,null
美国佛罗里达州,LOCATED_IN,美国,null
密苏里河,LOCATED_IN,美国,null
俄亥俄河,LOCATED_IN,美国,null
尼加拉瓜湖泊,LOCATED_IN,尼加拉瓜,null
墨西哥,LOCATED_IN,北美洲,null
古巴,LOCATED_IN,北美洲,null
中美洲,LOCATED_IN,北美洲,null
印度尼西亚雅加达,LOCATED_IN,印度尼西亚,null
河南省汝州市城市中央公园抽干湖水围捕事件,CAUSES,鳄雀鳝被捕获,type=直接
河南省汝州市城市中央公园抽干湖水围捕事件,DURING,2022年8月,null
鳄雀鳝,SPREAD_RISK_TO,中国多个省份,confidence=高
鳄雀鳝,SPREAD_RISK_TO,全球多地,confidence=高
