Entity1,Relationship,Entity2,Property
鳄雀鳝,HAS_ALIAS,Atractosteus spatula,type=学名
鳄雀鳝,BELONGS_TO,雀鳝目,rank=目
鳄雀鳝,BELONGS_TO,雀鳝科,rank=科
鳄雀鳝,BELONGS_TO,雀鳝属,rank=属
鳄雀鳝,NATIVE_TO,美洲,null
鳄雀鳝,NATIVE_TO,北美洲密西西比河流域,null
鳄雀鳝,HAS_MORPHOLOGY,尾部为圆尾,null
鳄雀鳝,HAS_MORPHOLOGY,身体覆盖菱形硬鳞,null
鳄雀鳝,HAS_MORPHOLOGY,吻长口尖似鳄鱼,null
鳄雀鳝,HAS_MORPHOLOGY,密布锋利的牙齿,null
鳄雀鳝,HAS_HABIT,凶猛的捕食者,null
鳄雀鳝,THRIVES_IN,湖泊,null
鳄雀鳝,THRIVES_IN,水库,null
鳄雀鳝,THRIVES_IN,河流,null
鳄雀鳝,THRIVES_IN,城市内部湖泊,null
鳄雀鳝,THRIVES_IN,城市周边湖泊,null
鳄雀鳝,THRIVES_IN,公园水体,null
鳄雀鳝,THRIVES_IN,水塘,null
鳄雀鳝,INTRODUCED_VIA,人为丢弃,null
鳄雀鳝,INTRODUCED_VIA,放生,null
鳄雀鳝,INTRODUCED_VIA,观赏水族贸易,null
鳄雀鳝,PREYS_ON,养殖种,severity=高
鳄雀鳝,PREYS_ON,本土种,severity=高
鳄雀鳝,PREYS_ON,锦鲤,severity=高
鳄雀鳝,PREYS_ON,四大家鱼,severity=中
鳄雀鳝,CAUSES,影响渔业生产,type=直接
鳄雀鳝,CAUSES,影响粮食安全,type=直接
鳄雀鳝,CAUSES,影响生物多样性,type=直接
鳄雀鳝,CAUSES,影响水生态系统稳定,type=直接
鳄雀鳝,CAUSES,攻击人,type=直接
鳄雀鳝,REPORTED_IN,广州市,year=2023-12-05;status=发现并抓获
鳄雀鳝,REPORTED_IN,深圳市,year=2022-09-14;status=发现并抓获
鳄雀鳝,REPORTED_IN,汝州市,year=2022-08-30;status=发现并抓获
鳄雀鳝,REPORTED_IN,福建省,year=2022-09-10;status=发现
鳄雀鳝,REPORTED_IN,大沥镇,year=2022-08-31;status=发现并抓捕
鳄雀鳝,REPORTED_IN,无锡市,year=2022-11-09;status=发现并抓获
鳄雀鳝,REPORTED_IN,青岛市,year=2022-08-28;status=发现并抓获
鳄雀鳝,REPORTED_IN,长沙市开福区,year=2025-05-08;status=发现
鳄雀鳝,REPORTED_IN,郑州市,year=2025;status=发现
鳄雀鳝,REPORTED_IN,凌水水库,year=null;status=发现
鳄雀鳝,REPORTED_IN,白云湖,year=2023-12-05;status=成功捕获
鳄雀鳝,REPORTED_IN,广州白云区,year=2023-12-05;status=发现
鳄雀鳝,REPORTED_IN,广东省,year=2023-12-05;status=发现
鳄雀鳝,REPORTED_IN,河南省汝州市,year=2022-08-30;status=发现并抓获
鳄雀鳝,REPORTED_IN,江苏省无锡市,year=2022-11-09;status=发现并抓获
鳄雀鳝,REPORTED_IN,山东省青岛市,year=2022-08-28;status=发现并抓获
鳄雀鳝,REPORTED_IN,湖南省长沙市,year=2025-05-08;status=发现
鳄雀鳝,REPORTED_IN,辽宁省大连市凌水水库,year=null;status=发现
鳄雀鳝,REPORTED_IN,广东省广州市白云湖,year=2023-12-05;status=成功捕获
广州市,LOCATED_IN,广东省,null
深圳市,LOCATED_IN,广东省,null
汝州市,LOCATED_IN,河南省,null
大沥镇,LOCATED_IN,佛山市,null
佛山市,LOCATED_IN,广东省,null
无锡市,LOCATED_IN,江苏省,null
青岛市,LOCATED_IN,山东省,null
长沙市开福区,LOCATED_IN,长沙市,null
长沙市,LOCATED_IN,湖南省,null
郑州市,LOCATED_IN,河南省,null
凌水水库,LOCATED_IN,大连市,null
大连市,LOCATED_IN,辽宁省,null
白云湖,LOCATED_IN,广州市,null
广州白云区,LOCATED_IN,广州市,null
北美洲密西西比河流域,LOCATED_IN,北美洲,null
鳄雀鳝,MITIGATES,人工捕捉,method=物理;type=主要
鳄雀鳝,MITIGATES,围网捕捞,method=物理;type=主要
鳄雀鳝,MITIGATES,无害化处理,method=物理;type=主要
鳄雀鳝,MITIGATES,移交野生动物救护中心,method=检疫;type=辅助
鳄雀鳝,MITIGATES,移交相关科研院校,method=检疫;type=辅助
鳄雀鳝,MITIGATES,限制引种和贸易,method=检疫;type=主要
鳄雀鳝,MITIGATES,管控引种和贸易,method=检疫;type=主要
鳄雀鳝,SPREAD_RISK_TO,华中地区,confidence=中
鳄雀鳝,SPREAD_RISK_TO,华南地区,confidence=中
鳄雀鳝,SPREAD_RISK_TO,全国范围,confidence=高
鳄雀鳝,AFFECTS,养殖水域,null
鳄雀鳝,AFFECTS,自然水域,null
鳄雀鳝,AFFECTS,本土种,null
鳄雀鳝,AFFECTS,生物多样性,null
鳄雀鳝,AFFECTS,水生态系统,null
鳄雀鳝,AFFECTS,游客安全,null
