species,Entity1,Relationship,Entity2,Property
福寿螺,福寿螺,REPORTED_IN,上海市,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,中国云南省大理市,year=2009;status=发现感染个体
福寿螺,福寿螺,REPORTED_IN,中国台湾省,year=1979;status=引入
福寿螺,福寿螺,REPORTED_IN,中国台湾省高雄市美浓区,year=1979;status=引入
福寿螺,福寿螺,REPORTED_IN,中国广东省中山市,year=1981;status=引入
福寿螺,福寿螺,REPORTED_IN,中国河南省南阳市,year=2024;status=发现卵块
福寿螺,福寿螺,REPORTED_IN,中国浙江省台州市,year=1999;status=入侵
福寿螺,福寿螺,REPORTED_IN,中国浙江省宁波市,year=2002;status=入侵
福寿螺,福寿螺,REPORTED_IN,中国浙江省杭州市,year=1980s;status=引入
福寿螺,福寿螺,REPORTED_IN,云南省,year=1984;status=引入
福寿螺,福寿螺,REPORTED_IN,云南省大理市,year=2009;status=发现感染个体
福寿螺,福寿螺,REPORTED_IN,关岛,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,印度尼西亚,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,台湾省,year=1979;status=引入
福寿螺,福寿螺,REPORTED_IN,四川省,year=1984;status=引入
福寿螺,福寿螺,REPORTED_IN,多米尼加,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,安徽省,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,巴布亚新几内亚,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,广东省中山市,year=1981;status=引入
福寿螺,福寿螺,REPORTED_IN,广西壮族自治区,year=1984;status=引入
福寿螺,福寿螺,REPORTED_IN,斯里兰卡,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,新加坡,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,日本,year=1980s;status=引入
福寿螺,福寿螺,REPORTED_IN,日本山形县,year=null;status=发现
福寿螺,福寿螺,REPORTED_IN,日本熊本县,year=1964;status=引入
福寿螺,福寿螺,REPORTED_IN,日本茨城县,year=null;status=分布北缘
福寿螺,福寿螺,REPORTED_IN,智利,year=2009;status=发现
福寿螺,福寿螺,REPORTED_IN,柬埔寨,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,江苏省,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,江西省,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,河南省南阳市,year=2024;status=发现卵块
福寿螺,福寿螺,REPORTED_IN,泰国,year=1986;status=引入
福寿螺,福寿螺,REPORTED_IN,浙江省,year=1980s;status=引入
福寿螺,福寿螺,REPORTED_IN,浙江省台州市,year=1999;status=入侵
福寿螺,福寿螺,REPORTED_IN,浙江省宁波市,year=2002;status=入侵
福寿螺,福寿螺,REPORTED_IN,浙江省杭州市余杭区,year=1980s;status=引入
福寿螺,福寿螺,REPORTED_IN,浙江省杭州市富阳区,year=1980s;status=引入
福寿螺,福寿螺,REPORTED_IN,浙江省杭州市建德市,year=1980s;status=引入
福寿螺,福寿螺,REPORTED_IN,浙江省杭州市桐庐县,year=1980s;status=引入
福寿螺,福寿螺,REPORTED_IN,浙江省杭州市淳安县,year=1980s;status=引入
福寿螺,福寿螺,REPORTED_IN,浙江省杭州市萧山区,year=1980s;status=引入
福寿螺,福寿螺,REPORTED_IN,浙江省杭州市西湖区,year=1980s;status=引入
福寿螺,福寿螺,REPORTED_IN,湖北省,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,湖南省,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,福建省,year=1984;status=引入
福寿螺,福寿螺,REPORTED_IN,美国亚利桑那州尤马县,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国亚利桑那州尤马县池塘,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国亚拉巴马州三里溪,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国亚拉巴马州兰根公园,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国亚拉巴马州莫比尔-滕索河三角洲,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国亚拉巴马州莫比尔县,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国亚拉巴马州鲍德温县,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国佛罗里达州奥兰多市,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国佛罗里达州小韦基瓦河,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国佛罗里达州杜瓦尔郡杰克逊维尔市,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国关岛美索河,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国加利福尼亚州克恩县,year=null;status=分布
福寿螺,福寿螺,REPORTED_IN,美国加利福尼亚州哈特纪念公园,year=null;status=分布
