Entity1,Relationship,Entity2,Property
福寿螺,HAS_ALIAS,大瓶螺,null
福寿螺,HAS_ALIAS,Pomacea canaliculata,type=学名
福寿螺,HAS_ALIAS,桶瓶螺,null
福寿螺,HAS_ALIAS,沟果瓶螺,null
福寿螺,HAS_ALIAS,金苹果螺,null
福寿螺,HAS_ALIAS,南美螺,null
福寿螺,HAS_ALIAS,金蜗牛,null
福寿螺,HAS_ALIAS,金宝螺,null
福寿螺,HAS_ALIAS,苹果螺,null
福寿螺,HAS_ALIAS,夭寿螺,null
福寿螺,BELONGS_TO,福寿螺科,rank=科
福寿螺,BELONGS_TO,苹果螺科,rank=科
福寿螺,BELONGS_TO,福寿螺属,rank=属
福寿螺,BELONGS_TO,腹足纲,rank=纲
福寿螺,BELONGS_TO,主扭舌目,rank=目
福寿螺,NATIVE_TO,南美洲,null
福寿螺,NATIVE_TO,亚马逊河流域,null
福寿螺,NATIVE_TO,普拉塔流域,null
福寿螺,NATIVE_TO,巴拉那河,null
福寿螺,NATIVE_TO,巴拉圭河流域,null
福寿螺,NATIVE_TO,阿根廷,null
福寿螺,NATIVE_TO,玻利维亚,null
福寿螺,NATIVE_TO,巴西,null
福寿螺,NATIVE_TO,巴拉圭,null
福寿螺,NATIVE_TO,乌拉圭,null
福寿螺,INVADES,中国,time=1981年
福寿螺,INVADES,广东,time=1981年
福寿螺,INVADES,中山市,time=1981年
福寿螺,INVADES,台湾地区,time=1979年
福寿螺,INVADES,日本,time=1964年
福寿螺,INVADES,菲律宾,time=1982-1984年
福寿螺,INVADES,韩国,time=1981年
福寿螺,INVADES,泰国,time=1986年
福寿螺,INVADES,越南,time=1988年
福寿螺,INVADES,马来西亚,time=1991年
福寿螺,INVADES,老挝,time=1991年
福寿螺,INVADES,美国,null
福寿螺,INVADES,夏威夷,time=1989年
福寿螺,INVADES,多米尼加,null
福寿螺,INVADES,智利,time=2009年
福寿螺,INVADES,肯尼亚,time=2020年
福寿螺,INVADES,南阳,time=2024年
福寿螺,CAUSES,啃食水稻幼苗,type=农业危害
福寿螺,CAUSES,破坏渔业,null
福寿螺,CAUSES,传播广州管圆线虫,type=健康危害
福寿螺,CAUSES,传播卷棘口吸虫,type=健康危害
福寿螺,CAUSES,传播后圆线虫,type=健康危害
福寿螺,CAUSES,污染水体,type=生态危害
福寿螺,CAUSES,划伤农民手脚,type=健康危害
福寿螺,CAUSES,与本地物种竞争,type=生态危害
福寿螺,CAUSES,影响水生物多样性,type=生态危害
福寿螺,SUPPRESSED_BY,鸭子食螺,method=生物防治
福寿螺,SUPPRESSED_BY,合鸭农法,method=生物防治
福寿螺,SUPPRESSED_BY,鲤鱼,method=生物防治
福寿螺,SUPPRESSED_BY,青鱼,method=生物防治
福寿螺,SUPPRESSED_BY,鳖,method=生物防治
福寿螺,SUPPRESSED_BY,埃及圣鹮,method=生物防治
福寿螺,SUPPRESSED_BY,柴棺龟,method=生物防治
福寿螺,SUPPRESSED_BY,光润金线蛭,method=生物防治
福寿螺,SUPPRESSED_BY,大田鳖,method=生物防治
福寿螺,SUPPRESSED_BY,杀螺胺,method=化学防治
福寿螺,SUPPRESSED_BY,氯硝柳胺,method=化学防治
福寿螺,SUPPRESSED_BY,人工摘除卵块,method=物理防治
福寿螺,SUPPRESSED_BY,人工拾螺,method=物理防治
福寿螺,SUPPRESSED_BY,整治沟渠,method=农业防治
福寿螺,SUPPRESSED_BY,夹竹桃提取液,method=植物源防治
福寿螺,SUPPRESSED_BY,茶皂素,method=植物源防治
福寿螺,SUPPRESSED_BY,诱捕剂,method=诱捕防治
