Entity1,Relationship,Entity2,Property
红耳彩龟,HAS_ALIAS,巴西龟,null
红耳彩龟,HAS_ALIAS,红耳龟,null
红耳彩龟,HAS_ALIAS,密西西比红耳龟,null
红耳彩龟,HAS_ALIAS,红耳泥龟,null
红耳彩龟,HAS_ALIAS,Trachemys scripta elegans,type=学名
红耳彩龟,BELONGS_TO,彩龟属,rank=属
红耳彩龟,BELONGS_TO,泽龟科,rank=科
红耳彩龟,BELONGS_TO,龟鳖目,rank=目
红耳彩龟,BELONGS_TO,爬行纲,rank=纲
红耳彩龟,BELONGS_TO,脊索动物门,rank=门
红耳彩龟,BELONGS_TO,动物界,rank=界
红耳彩龟,NATIVE_TO,美国南部,null
红耳彩龟,NATIVE_TO,墨西哥东北部,null
红耳彩龟,NATIVE_TO,密西西比河,null
红耳彩龟,NATIVE_TO,格兰德河,null
红耳彩龟,INVADES,中国,time=20世纪80年代
红耳彩龟,CAUSES,掠夺其他生物的生存资源,type=生态危害
红耳彩龟,CAUSES,与本土龟类竞争食物、栖息地和产卵场所,type=生态危害
红耳彩龟,CAUSES,威胁本地物种的生存,type=生态危害
红耳彩龟,CAUSES,破坏生态系统平衡,type=生态危害
红耳彩龟,CAUSES,携带吸虫、线虫和沙门氏杆菌等病原体,type=疾病传播
红耳彩龟,CAUSES,感染其他水生生物、鸟类、兽类甚至人类,type=疾病传播
红耳彩龟,SUPPRESSED_BY,加强宣传教育,method=宣传教育
红耳彩龟,SUPPRESSED_BY,立法控制进出口数量,method=立法控制
红耳彩龟,SUPPRESSED_BY,严厉打击走私活动,method=执法打击
红耳彩龟,SUPPRESSED_BY,提高进口税率,method=经济限制
红耳彩龟,SUPPRESSED_BY,编制并发布入侵防控指南,method=技术指导
红耳彩龟,SUPPRESSED_BY,设立专门机构监测入侵情况,method=监测预警
红耳彩龟,SUPPRESSED_BY,采取诱捕措施控制种群密度,method=物理防治
红耳彩龟,SUPPRESSED_BY,禁止出售和放生,method=立法禁止
