Entity1,Relationship,Entity2,Property
豹纹翼甲鲶,HAS_ALIAS,琵琶鼠,null
豹纹翼甲鲶,HAS_ALIAS,清道夫鱼,null
豹纹翼甲鲶,HAS_ALIAS,垃圾鱼,null
豹纹翼甲鲶,HAS_ALIAS,Pterygoplichthys pardalis,type=学名
豹纹翼甲鲶,HAS_ALIAS,Amazon sailfin catfish,type=英文名
豹纹翼甲鲶,HAS_ALIAS,common pleco,type=英文别名
豹纹翼甲鲶,HAS_ALIAS,leopard pleco,type=英文别名
豹纹翼甲鲶,BELONGS_TO,甲鲇科,rank=科
豹纹翼甲鲶,BELONGS_TO,翼甲鲇属,rank=属
豹纹翼甲鲶,BELONGS_TO,鲇形目,rank=目
豹纹翼甲鲶,BELONGS_TO,辐鳍鱼纲,rank=纲
豹纹翼甲鲶,BELONGS_TO,脊索动物门,rank=门
豹纹翼甲鲶,BELONGS_TO,动物界,rank=界
豹纹翼甲鲶,NATIVE_TO,巴西,null
豹纹翼甲鲶,NATIVE_TO,委内瑞拉,null
豹纹翼甲鲶,NATIVE_TO,秘鲁,null
豹纹翼甲鲶,NATIVE_TO,亚马逊河中游流域,null
豹纹翼甲鲶,NATIVE_TO,亚马逊河盆地,null
豹纹翼甲鲶,NATIVE_TO,南美洲,null
豹纹翼甲鲶,INVADES,菲律宾,null
豹纹翼甲鲶,INVADES,马利金纳河,null
豹纹翼甲鲶,INVADES,台湾,null
豹纹翼甲鲶,INVADES,美国,null
豹纹翼甲鲶,INVADES,马来西亚,time=1970年代
豹纹翼甲鲶,CAUSES,吞食鱼卵,type=渔业危害
豹纹翼甲鲶,CAUSES,破坏食物链,type=生态危害
豹纹翼甲鲶,CAUSES,减少本地物种,type=生态危害
豹纹翼甲鲶,CAUSES,降解水生植物,type=生态危害
豹纹翼甲鲶,CAUSES,降解河岸,type=生态危害
豹纹翼甲鲶,SUPPRESSED_BY,列入重点管理外来入侵物种名录,method=管理防治
豹纹翼甲鲶,SUPPRESSED_BY,大量出售,method=商业防治
