Entity1,Relationship,Entity2,Property
非洲大蜗牛,HAS_ALIAS,褐云玛瑙螺,null
非洲大蜗牛,HAS_ALIAS,菜螺,null
非洲大蜗牛,HAS_ALIAS,露螺,null
非洲大蜗牛,HAS_ALIAS,giant African land snail,null
非洲大蜗牛,HAS_ALIAS,Lissachatina fulica,type=学名
非洲大蜗牛,BELONGS_TO,玛瑙螺科,rank=科
非洲大蜗牛,BELONGS_TO,滑胚玛瑙螺属,rank=属
非洲大蜗牛,NATIVE_TO,非洲东部,null
非洲大蜗牛,INVADES,美国,time=1966年
非洲大蜗牛,INVADES,佛罗里达州,time=1966年
非洲大蜗牛,INVADES,中国,time=1931年
非洲大蜗牛,INVADES,福建,time=20世纪80年代
非洲大蜗牛,INVADES,广东,null
非洲大蜗牛,INVADES,广西,null
非洲大蜗牛,INVADES,云南,null
非洲大蜗牛,INVADES,海南,null
非洲大蜗牛,INVADES,台湾,null
非洲大蜗牛,INVADES,香港,null
非洲大蜗牛,INVADES,印度,time=1847年
非洲大蜗牛,INVADES,斯里兰卡,time=1900年
非洲大蜗牛,INVADES,越南,null
非洲大蜗牛,INVADES,日本,null
非洲大蜗牛,INVADES,巴西,time=1988年
非洲大蜗牛,INVADES,阿根廷,time=2010年
非洲大蜗牛,INVADES,厄瓜多尔,null
非洲大蜗牛,INVADES,委内瑞拉,null
非洲大蜗牛,INVADES,古巴,time=2014年
非洲大蜗牛,INVADES,不丹,time=2006年
非洲大蜗牛,INVADES,秘鲁,time=2008年
非洲大蜗牛,INVADES,哥伦比亚,time=2008-2009年
非洲大蜗牛,CAUSES,危害农作物,type=农业危害
非洲大蜗牛,CAUSES,危害林木,type=生态危害
非洲大蜗牛,CAUSES,危害果树,type=农业危害
非洲大蜗牛,CAUSES,危害蔬菜,type=农业危害
非洲大蜗牛,CAUSES,危害花卉,type=农业危害
非洲大蜗牛,CAUSES,啃食水泥,type=经济危害
非洲大蜗牛,CAUSES,传播结核病,type=健康危害
非洲大蜗牛,CAUSES,传播嗜酸性脑膜炎,type=健康危害
非洲大蜗牛,CAUSES,传播鼠肺线虫,type=健康危害
非洲大蜗牛,CAUSES,传播广东住血线虫,type=健康危害
非洲大蜗牛,CAUSES,改变食物链,type=生态危害
非洲大蜗牛,CAUSES,竞逐原生蜗牛,type=生态危害
非洲大蜗牛,SUPPRESSED_BY,人工捕杀,method=机械防治
非洲大蜗牛,SUPPRESSED_BY,食物诱杀,method=机械防治
非洲大蜗牛,SUPPRESSED_BY,水旱轮作,method=农业防治
非洲大蜗牛,SUPPRESSED_BY,四聚乙醛,method=化学防治
非洲大蜗牛,SUPPRESSED_BY,氨基甲酸酯,method=化学防治
非洲大蜗牛,SUPPRESSED_BY,硫酸铜,method=化学防治
非洲大蜗牛,SUPPRESSED_BY,杀贝剂,method=化学防治
非洲大蜗牛,SUPPRESSED_BY,毒饵诱杀,method=化学防治
非洲大蜗牛,SUPPRESSED_BY,蟾蜍,method=生物防治
非洲大蜗牛,SUPPRESSED_BY,青蛙,method=生物防治
非洲大蜗牛,SUPPRESSED_BY,蚂蚁,method=生物防治
非洲大蜗牛,SUPPRESSED_BY,鸟类,method=生物防治
非洲大蜗牛,SUPPRESSED_BY,鸡,method=生物防治
非洲大蜗牛,SUPPRESSED_BY,鸭,method=生物防治
非洲大蜗牛,SUPPRESSED_BY,鹅,method=生物防治
非洲大蜗牛,SUPPRESSED_BY,佛罗里达玫瑰狼蜗牛,method=生物防治
