Entity1,Relationship,Entity2,Property
齐氏罗非鱼,HAS_ALIAS,Redbelly tilapia,null
齐氏罗非鱼,HAS_ALIAS,Coptodon zillii,type=学名
齐氏罗非鱼,HAS_ALIAS,Tilapia zillii,null
齐氏罗非鱼,HAS_ALIAS,Zille's redbreast tilapia,null
齐氏罗非鱼,HAS_ALIAS,St. Peter's fish,null
齐氏罗非鱼,BELONGS_TO,Cichlidae,rank=科
齐氏罗非鱼,BELONGS_TO,Coptodon,rank=属
齐氏罗非鱼,BELONGS_TO,Cichliformes,rank=目
齐氏罗非鱼,NATIVE_TO,非洲北部,null
齐氏罗非鱼,NATIVE_TO,中东,null
齐氏罗非鱼,INVADES,中国,time=1978年
齐氏罗非鱼,INVADES,广东,time=1978年
齐氏罗非鱼,INVADES,广西,time=截至2024年
齐氏罗非鱼,INVADES,浙江,time=截至2024年
齐氏罗非鱼,INVADES,湖南,time=截至2024年
齐氏罗非鱼,INVADES,千岛湖,time=2023年
齐氏罗非鱼,CAUSES,资源竞争,type=生态危害
齐氏罗非鱼,CAUSES,繁殖压制,type=生态危害
齐氏罗非鱼,CAUSES,水文改变,type=生态危害
齐氏罗非鱼,CAUSES,经济影响,type=经济危害
