Entity1,Relationship,Entity2,Property
大鳄龟,HAS_ALIAS,Macrochelys temminckii,type=学名
大鳄龟,HAS_ALIAS,真鳄龟,type=俗名
大鳄龟,BELONGS_TO,鳄龟科,rank=科
大鳄龟,BELONGS_TO,大鳄龟属,rank=属
大鳄龟,BELONGS_TO,龟鳖目,rank=目
大鳄龟,NATIVE_TO,美国南部,null
大鳄龟,HAS_MORPHOLOGY,头部较重脖子粗短,null
大鳄龟,HAS_MORPHOLOGY,龟壳长而厚有三行大型鳞脊,null
大鳄龟,HAS_MORPHOLOGY,体色呈灰色褐色黑色或橄榄绿色,null
大鳄龟,HAS_MORPHOLOGY,眼睛周围有黄色斑纹,null
大鳄龟,HAS_MORPHOLOGY,舌头呈粉红色形似蠕虫,null
大鳄龟,HAS_HABIT,性情凶猛,null
大鳄龟,HAS_HABIT,咬合力强,null
大鳄龟,HAS_HABIT,可潜在水中达3小时,null
大鳄龟,HAS_HABIT,大部分生命周期居于水中,null
大鳄龟,HAS_HABIT,机会主义者肉食性,null
大鳄龟,HAS_HABIT,12岁达到性成熟,null
大鳄龟,THRIVES_IN,水域,null
大鳄龟,INTRODUCED_VIA,人为放生,null
大鳄龟,INTRODUCED_VIA,弃养宠物,null
大鳄龟,PREYS_ON,鱼类,severity=主要食物
大鳄龟,PREYS_ON,死鱼,severity=null
大鳄龟,PREYS_ON,无脊椎动物,severity=null
大鳄龟,PREYS_ON,腐肉,severity=null
大鳄龟,PREYS_ON,两栖动物,severity=null
大鳄龟,PREYS_ON,蛇,severity=null
大鳄龟,PREYS_ON,其他龟,severity=null
大鳄龟,PREYS_ON,鸟,severity=null
大鳄龟,PREYS_ON,小鳄鱼,severity=成年个体
大鳄龟,CAUSES,对放生地的原生物种带来伤害,type=生态危害
大鳄龟,CAUSES,咬断手指,type=人身安全威胁
大鳄龟,SUPPRESSED_BY,禁止饲养,method=法律管制
大鳄龟,SUPPRESSED_BY,限制出口及国际贸易,method=法律管制
大鳄龟,REPORTED_IN,台中市,year=约10年前;status=发现被放生个体
台中市,LOCATED_IN,台湾省,null
大鳄龟,REPORTED_IN,香港新界,year=null;status=发现被弃养个体
香港新界,LOCATED_IN,香港,null
