Entity1,Relationship,Entity2,Property
大鳄龟,HAS_ALIAS,Macrochelys temminckii,type=学名
大鳄龟,HAS_ALIAS,Alligator snapping turtle,type=俗名
大鳄龟,HAS_ALIAS,鳄龟,type=俗名
大鳄龟,BELONGS_TO,鳄龟科,rank=科
大鳄龟,BELONGS_TO,大鳄龟属,rank=属
大鳄龟,NATIVE_TO,美国,null
大鳄龟,HAS_MORPHOLOGY,巨大的头部,null
大鳄龟,HAS_MORPHOLOGY,厚重的甲壳,null
大鳄龟,HAS_MORPHOLOGY,背甲有三排棘刺,null
大鳄龟,HAS_MORPHOLOGY,蠕虫状的舌头,null
大鳄龟,HAS_MORPHOLOGY,灰色/棕色/黑色/橄榄绿色,null
大鳄龟,HAS_MORPHOLOGY,眼睛周围有放射状黄色图案,null
大鳄龟,HAS_HABIT,夜行性,null
大鳄龟,HAS_HABIT,机会主义捕食者,null
大鳄龟,HAS_HABIT,几乎完全肉食性,null
大鳄龟,HAS_HABIT,伏击捕食,null
大鳄龟,THRIVES_IN,淡水栖息地,null
大鳄龟,THRIVES_IN,河流,null
大鳄龟,THRIVES_IN,湖泊,null
大鳄龟,THRIVES_IN,水库,null
大鳄龟,INTRODUCED_VIA,宠物逃逸,null
大鳄龟,INTRODUCED_VIA,人为放生,null
大鳄龟,PREYS_ON,鱼类,severity=主要食物
大鳄龟,PREYS_ON,软体动物,severity=null
大鳄龟,PREYS_ON,两栖动物,severity=null
大鳄龟,PREYS_ON,蛇类,severity=null
大鳄龟,PREYS_ON,蜗牛,severity=null
大鳄龟,PREYS_ON,蠕虫,severity=null
大鳄龟,PREYS_ON,小龙虾,severity=null
大鳄龟,PREYS_ON,昆虫,severity=null
大鳄龟,PREYS_ON,水鸟,severity=null
大鳄龟,PREYS_ON,水生植物,severity=null
大鳄龟,PREYS_ON,其他龟类,severity=null
大鳄龟,PREYS_ON,小型短吻鳄,severity=null
大鳄龟,PREYS_ON,水栖啮齿动物,severity=null
大鳄龟,PREYS_ON,小型哺乳动物,severity=null
大鳄龟,CAUSES,破坏池塘生物多样性,type=生态危害
大鳄龟,CAUSES,传播钩端螺旋体病,type=健康危害
大鳄龟,CAUSES,对人类造成咬伤,type=安全危害
大鳄龟,SUPPRESSED_BY,禁止饲养,method=法律
大鳄龟,SUPPRESSED_BY,捕获并安乐死,method=物理
大鳄龟,REPORTED_IN,捷克共和国,year=null;status=逃逸/释放
大鳄龟,REPORTED_IN,德国,year=null;status=逃逸/释放
大鳄龟,REPORTED_IN,匈牙利,year=null;status=逃逸/释放
大鳄龟,REPORTED_IN,意大利,year=2000年代初期;status=入侵物种
大鳄龟,REPORTED_IN,英格兰,year=2024;status=发现
大鳄龟,REPORTED_IN,南非,year=null;status=已建立入侵种群
大鳄龟,REPORTED_IN,俄勒冈州,year=2013;status=入侵物种
大鳄龟,REPORTED_IN,印第安纳州,year=null;status=濒危
大鳄龟,REPORTED_IN,伊利诺伊州,year=null;status=濒危
大鳄龟,REPORTED_IN,肯塔基州,year=null;status=濒危
大鳄龟,REPORTED_IN,密苏里州,year=null;status=濒危
大鳄龟,REPORTED_IN,堪萨斯州,year=null;status=需要保护
