Entity1,Relationship,Entity2,Property
福寿螺,HAS_ALIAS,Pomacea canaliculata,type=学名
福寿螺,HAS_ALIAS,苹果螺,type=俗名
福寿螺,HAS_ALIAS,巨型田螺,type=俗名
福寿螺,BELONGS_TO,中腹足目,rank=目
福寿螺,BELONGS_TO,瓶螺科,rank=科
福寿螺,BELONGS_TO,瓶螺属,rank=属
福寿螺,NATIVE_TO,亚马逊河流域,null
亚马逊河流域,LOCATED_IN,南美洲,null
福寿螺,NATIVE_TO,普拉塔流域,null
普拉塔流域,LOCATED_IN,南美洲,null
福寿螺,NATIVE_TO,巴拉那河,null
巴拉那河,LOCATED_IN,普拉塔流域,null
福寿螺,NATIVE_TO,巴拉圭河,null
巴拉圭河,LOCATED_IN,普拉塔流域,null
福寿螺,NATIVE_TO,阿根廷,null
阿根廷,LOCATED_IN,南美洲,null
福寿螺,NATIVE_TO,玻利维亚,null
玻利维亚,LOCATED_IN,南美洲,null
福寿螺,NATIVE_TO,巴西,null
巴西,LOCATED_IN,南美洲,null
福寿螺,NATIVE_TO,巴拉圭,null
巴拉圭,LOCATED_IN,南美洲,null
福寿螺,NATIVE_TO,乌拉圭,null
乌拉圭,LOCATED_IN,南美洲,null
福寿螺,REPORTED_IN,台湾省,year=1979;status=引入
福寿螺,REPORTED_IN,中山市,year=1981;status=引入
中山市,LOCATED_IN,广东省,null
福寿螺,REPORTED_IN,杭州市,year=1980s;status=引入
杭州市,LOCATED_IN,浙江省,null
福寿螺,REPORTED_IN,台州市,year=1999;status=入侵
台州市,LOCATED_IN,浙江省,null
福寿螺,REPORTED_IN,宁波市,year=2002;status=入侵
宁波市,LOCATED_IN,浙江省,null
福寿螺,REPORTED_IN,南阳市,year=2024;status=发现卵块
南阳市,LOCATED_IN,河南省,null
福寿螺,HAS_MORPHOLOGY,粉红色卵块,null
福寿螺,HAS_MORPHOLOGY,螺旋形贝壳,null
福寿螺,HAS_MORPHOLOGY,贝壳黄褐色,null
福寿螺,HAS_MORPHOLOGY,体螺层膨大,null
福寿螺,HAS_MORPHOLOGY,螺壳锋利,null
福寿螺,HAS_HABIT,避光性,null
福寿螺,HAS_HABIT,昼伏夜出,null
福寿螺,HAS_HABIT,喜集群,null
福寿螺,HAS_HABIT,耐污浊水质,null
福寿螺,HAS_HABIT,休眠,null
福寿螺,HAS_HABIT,冬眠,null
福寿螺,THRIVES_IN,流速缓慢的淡水水体,null
福寿螺,THRIVES_IN,静止的淡水水体,null
福寿螺,THRIVES_IN,水草丰盛的水域,null
福寿螺,THRIVES_IN,农田浅水区,null
福寿螺,THRIVES_IN,水渠,null
福寿螺,THRIVES_IN,沼泽,null
福寿螺,THRIVES_IN,湖泊,null
福寿螺,THRIVES_IN,稻田,null
福寿螺,INTRODUCED_VIA,人为引种食用,null
福寿螺,INTRODUCED_VIA,养殖逃逸,null
福寿螺,INTRODUCED_VIA,人为遗弃,null
福寿螺,INTRODUCED_VIA,水族馆释放,null
福寿螺,INTRODUCED_VIA,攀附船只,null
福寿螺,PREYS_ON,水稻,severity=严重危害
福寿螺,PREYS_ON,莲藕,severity=危害
福寿螺,PREYS_ON,茭白,severity=危害
福寿螺,PREYS_ON,紫云英,severity=危害
福寿螺,PREYS_ON,慈菇,severity=危害
福寿螺,PREYS_ON,茨实,severity=危害
福寿螺,PREYS_ON,甘薯,severity=危害
福寿螺,PREYS_ON,蔬菜,severity=危害
福寿螺,PREYS_ON,浮萍,severity=摄食
福寿螺,PREYS_ON,水生维管植物,severity=喜食
福寿螺,COMPETES_WITH,本地淡水生物,severity=导致减少或绝迹
福寿螺,CAUSES,破坏生态系统,type=生态危害
福寿螺,CAUSES,传播疾病,type=健康危害
福寿螺,CAUSES,污染水体,type=环境危害
福寿螺,CAUSES,划伤农民手脚,type=物理危害
福寿螺,SUPPRESSED_BY,杀螺胺,method=化学防治
福寿螺,SUPPRESSED_BY,氯硝柳胺,method=化学防治
福寿螺,SUPPRESSED_BY,环保杀螺剂,method=化学防治
福寿螺,SUPPRESSED_BY,人工摘除卵块,method=物理防治
福寿螺,SUPPRESSED_BY,人工捡拾成螺,method=物理防治
福寿螺,SUPPRESSED_BY,放置阻隔设施,method=物理防治
福寿螺,SUPPRESSED_BY,引诱产卵集中销毁,method=物理防治
福寿螺,SUPPRESSED_BY,整治沟渠破坏越冬场所,method=农业防治
福寿螺,SUPPRESSED_BY,放养天敌,method=生物防治
福寿螺,SUPPRESSED_BY,夹竹桃提取液,method=植物源杀灭剂
福寿螺,SUPPRESSED_BY,茶皂素,method=植物源杀灭剂
福寿螺,SUPPRESSED_BY,诱捕剂,method=诱捕剂防治
