Entity1,Relationship,Entity2,Property
福寿螺,HAS_ALIAS,Pomacea canaliculata,type=学名
福寿螺,HAS_ALIAS,大瓶螺,type=俗名
福寿螺,HAS_ALIAS,苹果螺,type=俗名
福寿螺,HAS_ALIAS,小管福寿螺,type=俗名
福寿螺,HAS_ALIAS,斑点福寿螺,type=俗名
福寿螺,BELONGS_TO,瓶螺科,rank=科
福寿螺,BELONGS_TO,中腹足目,rank=目
福寿螺,BELONGS_TO,腹足纲,rank=纲
福寿螺,BELONGS_TO,软体动物门,rank=门
福寿螺,NATIVE_TO,南美洲,null
福寿螺,NATIVE_TO,中美洲,null
福寿螺,NATIVE_TO,亚马孙河流域,null
亚马孙河流域,LOCATED_IN,南美洲,null
福寿螺,HAS_MORPHOLOGY,粉红色卵块,null
福寿螺,HAS_MORPHOLOGY,黑壳,type=壳色
福寿螺,HAS_MORPHOLOGY,黄壳,type=壳色
福寿螺,HAS_HABIT,杂食性,null
福寿螺,HAS_HABIT,昼伏夜出,null
福寿螺,HAS_HABIT,耐低温,null
福寿螺,REPORTED_IN,宝山区,year=2023-2024;status=零星发生至严重发生
宝山区,LOCATED_IN,上海市,null
福寿螺,REPORTED_IN,普陀区,year=2023-2024;status=零星发生至严重发生
普陀区,LOCATED_IN,上海市,null
福寿螺,REPORTED_IN,嘉定区,year=2023-2024;status=零星发生至严重发生
嘉定区,LOCATED_IN,上海市,null
福寿螺,REPORTED_IN,长宁区,year=2023-2024;status=零星发生至严重发生
长宁区,LOCATED_IN,上海市,null
福寿螺,REPORTED_IN,浦东新区,year=2023-2024;status=零星发生至严重发生
浦东新区,LOCATED_IN,上海市,null
福寿螺,REPORTED_IN,溧水区,year=2022-2023;status=发生
溧水区,LOCATED_IN,南京市,null
南京市,LOCATED_IN,江苏省,null
福寿螺,REPORTED_IN,南京市,year=2022-2023;status=发生
福寿螺,REPORTED_IN,北京市,year=2014;status=发现
福寿螺,REPORTED_IN,广东省,year=null;status=主要分布
福寿螺,REPORTED_IN,广西壮族自治区,year=null;status=主要分布
福寿螺,REPORTED_IN,江西省,year=null;status=主要分布
福寿螺,REPORTED_IN,湖南省,year=null;status=主要分布
福寿螺,REPORTED_IN,四川省,year=null;status=主要分布
福寿螺,REPORTED_IN,浙江省,year=null;status=主要分布
福寿螺,REPORTED_IN,云南省,year=null;status=主要分布
福寿螺,REPORTED_IN,江苏省,year=null;status=扩散
福寿螺,REPORTED_IN,上海市,year=null;status=扩散
福寿螺,REPORTED_IN,河南省,year=null;status=扩散
福寿螺,REPORTED_IN,陕西省,year=null;status=扩散
福寿螺,REPORTED_IN,福建省,year=null;status=高分布区
福寿螺,REPORTED_IN,海南省,year=null;status=高分布区
福寿螺,REPORTED_IN,台湾省,year=null;status=高分布区
福寿螺,REPORTED_IN,湖北省,year=null;status=中分布区
福寿螺,REPORTED_IN,贵州省,year=null;status=中分布区
福寿螺,REPORTED_IN,西藏自治区,year=null;status=中分布区
福寿螺,REPORTED_IN,重庆市,year=null;status=中分布区
福寿螺,THRIVES_IN,稻田,null
福寿螺,THRIVES_IN,灌溉沟渠,null
福寿螺,THRIVES_IN,公园水体,null
福寿螺,THRIVES_IN,河流,null
福寿螺,THRIVES_IN,水库,null
福寿螺,INTRODUCED_VIA,人为引入,null
福寿螺,PREYS_ON,水稻,severity=严重危害
福寿螺,PREYS_ON,茭白,severity=危害
福寿螺,PREYS_ON,菱,severity=危害
福寿螺,PREYS_ON,莲藕,severity=危害
福寿螺,PREYS_ON,芡,severity=危害
福寿螺,PREYS_ON,紫云英,severity=危害
福寿螺,PREYS_ON,甘薯,severity=危害
福寿螺,PREYS_ON,慈姑,severity=危害
福寿螺,PREYS_ON,蕹菜,severity=危害
福寿螺,PREYS_ON,白菜,severity=危害
福寿螺,CAUSES,破坏生态平衡,type=生态危害
福寿螺,CAUSES,传播广州管圆线虫病,type=健康危害
福寿螺,CAUSES,农业减产,type=经济危害
福寿螺,SUPPRESSED_BY,马利筋提取物,method=生物防治
福寿螺,SUPPRESSED_BY,垂序商陆提取物,method=生物防治
福寿螺,SUPPRESSED_BY,水毒芹提取物,method=生物防治
福寿螺,SUPPRESSED_BY,茶籽饼,method=化学防治
福寿螺,SUPPRESSED_BY,人工捕杀,method=物理防治
福寿螺,SUPPRESSED_BY,鸭子食螺,method=生物防治
福寿螺,SUPPRESSED_BY,冬春清淤,method=物理防治
