Entity1,Relationship,Entity2,Property
福寿螺,HAS_ALIAS,Pomacea canaliculata,type=学名
福寿螺,HAS_ALIAS,桶瓶螺,type=俗名
福寿螺,HAS_ALIAS,沟果瓶螺,type=俗名
福寿螺,HAS_ALIAS,金苹果螺,type=俗名
福寿螺,HAS_ALIAS,南美螺,type=俗名
福寿螺,HAS_ALIAS,金蜗牛,type=俗名
福寿螺,HAS_ALIAS,金宝螺,type=俗名
福寿螺,HAS_ALIAS,苹果螺,type=俗名
福寿螺,HAS_ALIAS,大瓶螺,type=俗名
福寿螺,HAS_ALIAS,夭寿螺,type=俗名
福寿螺,BELONGS_TO,苹果螺科,rank=科
福寿螺,BELONGS_TO,福寿螺属,rank=属
福寿螺,BELONGS_TO,主扭舌目,rank=目
福寿螺,NATIVE_TO,内格罗河流域,null
内格罗河流域,LOCATED_IN,阿根廷,null
阿根廷,LOCATED_IN,南美洲,null
福寿螺,NATIVE_TO,亚马逊河流域,null
亚马逊河流域,LOCATED_IN,南美洲,null
福寿螺,HAS_MORPHOLOGY,大型有鳃和腮盖的淡水螺,null
福寿螺,HAS_MORPHOLOGY,螺壳短圆球形右旋,null
福寿螺,HAS_MORPHOLOGY,5-6个螺层,null
福寿螺,HAS_MORPHOLOGY,壳面光滑褐绿色,null
福寿螺,HAS_MORPHOLOGY,壳表有褐色带,null
福寿螺,HAS_MORPHOLOGY,粉红色球粒状卵,null
福寿螺,HAS_MORPHOLOGY,卵块呈葡萄状,null
福寿螺,HAS_HABIT,杂食性,null
福寿螺,HAS_HABIT,喜食嫩幼植物,null
福寿螺,HAS_HABIT,偶尔吃小型节肢动物,null
福寿螺,HAS_HABIT,繁殖能力强,null
福寿螺,HAS_HABIT,一年可繁殖两个世代,null
福寿螺,HAS_HABIT,具肺及鳃呼吸功能,null
福寿螺,HAS_HABIT,适应能力极强,null
福寿螺,HAS_HABIT,可潜入泥中休眠,null
福寿螺,HAS_HABIT,休眠期可达六个月以上,null
福寿螺,THRIVES_IN,沟渠,null
福寿螺,THRIVES_IN,湖沼,null
福寿螺,THRIVES_IN,稻田,null
福寿螺,INTRODUCED_VIA,养殖逃逸,null
福寿螺,INTRODUCED_VIA,人为放生,null
福寿螺,INTRODUCED_VIA,随水族箱饲养者弃养,null
福寿螺,REPORTED_IN,中山市,year=1981;status=首次发现
中山市,LOCATED_IN,广东省,null
福寿螺,REPORTED_IN,高雄市,year=1979;status=引入
高雄市,LOCATED_IN,台湾省,null
福寿螺,PREYS_ON,水稻,severity=啃食嫩茎与幼叶造成农业减产
福寿螺,PREYS_ON,甘薯,severity=危害
福寿螺,COMPETES_WITH,可食用瓶螺属物种,severity=威胁生存空间
福寿螺,CAUSES,传播广州管圆线虫,type=疾病传播
福寿螺,CAUSES,生态浩劫,type=生态破坏
福寿螺,SUPPRESSED_BY,鲤鱼,method=生物防治
福寿螺,SUPPRESSED_BY,青鱼,method=生物防治
福寿螺,SUPPRESSED_BY,合鸭农法,method=生物防治
福寿螺,SUPPRESSED_BY,鳖,method=生物防治
福寿螺,SUPPRESSED_BY,埃及圣鹮,method=生物防治
福寿螺,SUPPRESSED_BY,柴棺龟,method=生物防治
福寿螺,SUPPRESSED_BY,光润金线蛭,method=生物防治
福寿螺,SUPPRESSED_BY,大田鳖,method=生物防治
福寿螺,SUPPRESSED_BY,放水保持田土湿润,method=物理防治
