Entity1,Relationship,Entity2,Property
红耳彩龟,HAS_ALIAS,巴西龟,type=俗名
红耳彩龟,HAS_ALIAS,红耳龟,type=俗名
红耳彩龟,HAS_ALIAS,红耳滑龟,type=俗名
红耳彩龟,HAS_ALIAS,Trachemys scripta elegans,type=学名
红耳彩龟,HAS_ALIAS,Trachemys scripta,type=学名
红耳彩龟,BELONGS_TO,泽龟科,rank=科
红耳彩龟,BELONGS_TO,龟鳖目,rank=目
红耳彩龟,BELONGS_TO,爬行纲,rank=纲
红耳彩龟,NATIVE_TO,密西西比河流域,null
密西西比河流域,LOCATED_IN,美国,null
红耳彩龟,HAS_MORPHOLOGY,头部两侧红色条纹,null
红耳彩龟,HAS_MORPHOLOGY,蹼足,null
红耳彩龟,HAS_HABIT,耐低温,null
红耳彩龟,HAS_HABIT,杂食性,null
红耳彩龟,HAS_HABIT,强繁殖能力,null
红耳彩龟,HAS_HABIT,强环境适应能力,null
红耳彩龟,INTRODUCED_VIA,国际贸易,null
红耳彩龟,INTRODUCED_VIA,人为放生,null
红耳彩龟,INTRODUCED_VIA,水产养殖,null
红耳彩龟,INTRODUCED_VIA,观赏渔业,null
红耳彩龟,REPORTED_IN,广东省,year=null;status=分布点最多
红耳彩龟,REPORTED_IN,台湾省,year=null;status=分布点较多
红耳彩龟,REPORTED_IN,海南省,year=null;status=分布点较多
红耳彩龟,REPORTED_IN,浙江省,year=null;status=分布点较多
红耳彩龟,REPORTED_IN,江苏省,year=null;status=分布点较多
红耳彩龟,REPORTED_IN,福建省,year=null;status=分布点较多
红耳彩龟,REPORTED_IN,湖北省,year=null;status=分布点较多
红耳彩龟,REPORTED_IN,辽宁省,year=null;status=分布点中等
红耳彩龟,REPORTED_IN,上海市,year=null;status=分布点中等
红耳彩龟,REPORTED_IN,山东省,year=null;status=分布点中等
红耳彩龟,REPORTED_IN,云南省,year=null;status=分布点中等
红耳彩龟,REPORTED_IN,河南省,year=null;status=分布点中等
红耳彩龟,REPORTED_IN,湖南省,year=null;status=分布点中等
红耳彩龟,REPORTED_IN,北京市,year=null;status=分布点中等
红耳彩龟,REPORTED_IN,西藏自治区,year=null;status=分布点最少
红耳彩龟,REPORTED_IN,甘肃省,year=null;status=分布点最少
红耳彩龟,REPORTED_IN,山西省,year=null;status=分布点最少
红耳彩龟,REPORTED_IN,广州市,year=2017;status=潜在生态危害较严重
红耳彩龟,REPORTED_IN,杭州市,year=null;status=在寺庙放生池中发现
红耳彩龟,THRIVES_IN,湿地,null
红耳彩龟,THRIVES_IN,静水生态系统,null
红耳彩龟,THRIVES_IN,池塘,null
红耳彩龟,THRIVES_IN,水库,null
红耳彩龟,THRIVES_IN,河流,null
红耳彩龟,THRIVES_IN,湖泊,null
红耳彩龟,COMPETES_WITH,中华草龟,severity=竞争
红耳彩龟,CAUSES,破坏生态平衡,type=生态危害
红耳彩龟,CAUSES,传播沙门氏杆菌,type=卫生危害
红耳彩龟,CAUSES,降低生物多样性,type=生态危害
红耳彩龟,CAUSES,经济损失,type=经济危害
红耳彩龟,PREYS_ON,龟卵,severity=捕食
红耳彩龟,PREYS_ON,初生幼体,severity=捕食
红耳彩龟,SUPPRESSED_BY,蚁类捕食,method=生物防治
