Entity1,Relationship,Entity2,Property
红耳彩龟,HAS_ALIAS,Trachemys scripta elegans,type=学名
红耳彩龟,HAS_ALIAS,红耳龟,type=俗名
红耳彩龟,HAS_ALIAS,密西西比红耳龟,type=俗名
红耳彩龟,HAS_ALIAS,红耳泥龟,type=俗名
红耳彩龟,HAS_ALIAS,巴西龟,type=俗名
红耳彩龟,BELONGS_TO,泽龟科,rank=科
红耳彩龟,BELONGS_TO,彩龟属,rank=属
红耳彩龟,BELONGS_TO,龟鳖目,rank=目
红耳彩龟,NATIVE_TO,密西西比河流域,null
密西西比河流域,LOCATED_IN,美国,null
红耳彩龟,NATIVE_TO,格兰德河流域,null
格兰德河流域,LOCATED_IN,美国,null
红耳彩龟,HAS_HABIT,喜好日光浴,null
红耳彩龟,HAS_HABIT,受惊时迅速逃入水中,null
红耳彩龟,HAS_HABIT,杂食性,null
红耳彩龟,HAS_MORPHOLOGY,水生龟,null
红耳彩龟,THRIVES_IN,河川,null
红耳彩龟,THRIVES_IN,湖沼,null
红耳彩龟,THRIVES_IN,湿地,null
红耳彩龟,THRIVES_IN,淡水流域,null
红耳彩龟,THRIVES_IN,半淡咸水流域,null
红耳彩龟,THRIVES_IN,海岸沼泽,null
红耳彩龟,THRIVES_IN,池塘,null
红耳彩龟,INTRODUCED_VIA,宠物贸易,null
红耳彩龟,INTRODUCED_VIA,宠物养殖,null
红耳彩龟,INTRODUCED_VIA,人为释放,null
红耳彩龟,REPORTED_IN,中国大陆,year=null;status=野化种群
红耳彩龟,REPORTED_IN,台湾,year=null;status=野化种群
红耳彩龟,REPORTED_IN,泰国,year=null;status=野化种群
红耳彩龟,REPORTED_IN,澳洲,year=null;status=野化种群
红耳彩龟,REPORTED_IN,加拿大,year=null;status=野化种群
红耳彩龟,REPORTED_IN,夏威夷,year=null;status=野化种群
红耳彩龟,REPORTED_IN,南非,year=null;status=野化种群
红耳彩龟,REPORTED_IN,欧洲,year=null;status=野化种群
红耳彩龟,REPORTED_IN,中美洲,year=null;status=野化种群
红耳彩龟,REPORTED_IN,南美洲,year=null;status=野化种群
红耳彩龟,REPORTED_IN,北亚,year=null;status=野化种群
红耳彩龟,REPORTED_IN,南亚,year=null;status=野化种群
红耳彩龟,PREYS_ON,昆虫,severity=null
红耳彩龟,PREYS_ON,小龙虾,severity=null
红耳彩龟,PREYS_ON,虾,severity=null
红耳彩龟,PREYS_ON,蠕虫,severity=null
红耳彩龟,PREYS_ON,蜗牛,severity=null
红耳彩龟,PREYS_ON,两栖动物,severity=null
红耳彩龟,PREYS_ON,小鱼,severity=null
红耳彩龟,PREYS_ON,水生植物,severity=null
红耳彩龟,COMPETES_WITH,本土水生海龟,severity=竞争
红耳彩龟,CAUSES,破坏当地生态,type=生态问题
