Entity1,Relationship,Entity2,Property
红耳彩龟,HAS_ALIAS,Trachemys scripta elegans,type=学名
红耳彩龟,HAS_ALIAS,红耳龟,type=俗名
红耳彩龟,HAS_ALIAS,红耳水龟,type=俗名
红耳彩龟,BELONGS_TO,泽龟科,rank=科
红耳彩龟,BELONGS_TO,彩龟属,rank=属
红耳彩龟,BELONGS_TO,龟鳖目,rank=目
红耳彩龟,NATIVE_TO,美国南部,null
美国南部,LOCATED_IN,美国,null
红耳彩龟,NATIVE_TO,墨西哥北部,null
墨西哥北部,LOCATED_IN,墨西哥,null
红耳彩龟,HAS_MORPHOLOGY,红色耳斑,null
红耳彩龟,HAS_MORPHOLOGY,卵圆形扁平背甲,null
红耳彩龟,HAS_MORPHOLOGY,背甲长度可达40厘米,null
红耳彩龟,HAS_MORPHOLOGY,腹甲淡黄色具深色斑纹,null
红耳彩龟,HAS_MORPHOLOGY,部分蹼足,null
红耳彩龟,HAS_HABIT,变温动物,null
红耳彩龟,HAS_HABIT,需要频繁晒太阳,null
红耳彩龟,HAS_HABIT,杂食性,null
红耳彩龟,HAS_HABIT,幼体肉食性,null
红耳彩龟,HAS_HABIT,成体植食性为主,null
红耳彩龟,HAS_HABIT,冬眠（蛰伏）,null
红耳彩龟,THRIVES_IN,池塘,null
红耳彩龟,THRIVES_IN,湖泊,null
红耳彩龟,THRIVES_IN,沼泽,null
红耳彩龟,THRIVES_IN,溪流,null
红耳彩龟,THRIVES_IN,流速缓慢的河流,null
红耳彩龟,THRIVES_IN,半咸水水域,null
红耳彩龟,INTRODUCED_VIA,宠物释放,null
红耳彩龟,INTRODUCED_VIA,养殖逃逸,null
红耳彩龟,COMPETES_WITH,本地龟类,severity=竞争食物和繁殖空间
红耳彩龟,COMPETES_WITH,西班牙拟龟,severity=竞争食物和晒太阳地点
红耳彩龟,COMPETES_WITH,黄腹彩龟,severity=杂交
红耳彩龟,PREYS_ON,本地水生动物,severity=捕食
红耳彩龟,PREYS_ON,稀有蛙类,severity=捕食
红耳彩龟,CAUSES,传播疾病,type=疾病传播
红耳彩龟,CAUSES,破坏生态平衡,type=生态影响
红耳彩龟,CAUSES,沙门氏菌感染,type=公共卫生风险
红耳彩龟,SUPPRESSED_BY,禁止进口贸易,method=法律
红耳彩龟,SUPPRESSED_BY,根除计划,method=管理
红耳彩龟,REPORTED_IN,百慕大,null
红耳彩龟,REPORTED_IN,加拿大,null
红耳彩龟,REPORTED_IN,澳大利亚,null
红耳彩龟,REPORTED_IN,英国,null
红耳彩龟,REPORTED_IN,南非,null
红耳彩龟,REPORTED_IN,以色列,null
红耳彩龟,REPORTED_IN,巴林,null
红耳彩龟,REPORTED_IN,关岛,null
红耳彩龟,REPORTED_IN,俄罗斯,null
红耳彩龟,REPORTED_IN,新南威尔士州,year=null;status=已建立繁殖种群
新南威尔士州,LOCATED_IN,澳大利亚,null
红耳彩龟,REPORTED_IN,昆士兰州,year=null;status=已建立繁殖种群
昆士兰州,LOCATED_IN,澳大利亚,null
红耳彩龟,REPORTED_IN,维多利亚州,year=null;status=发现个体
维多利亚州,LOCATED_IN,澳大利亚,null
红耳彩龟,REPORTED_IN,西澳大利亚州,year=null;status=发现个体
西澳大利亚州,LOCATED_IN,澳大利亚,null
红耳彩龟,REPORTED_IN,印度东北部,null
红耳彩龟,REPORTED_IN,迪普比尔野生动物保护区,year=2018-2019;status=发现
迪普比尔野生动物保护区,LOCATED_IN,阿萨姆邦,null
阿萨姆邦,LOCATED_IN,印度,null
红耳彩龟,REPORTED_IN,艾藻尔,year=null;status=发现
艾藻尔,LOCATED_IN,米佐拉姆邦,null
米佐拉姆邦,LOCATED_IN,印度,null
红耳彩龟,REPORTED_IN,佛罗里达州,year=null;status=禁止销售野生型
佛罗里达州,LOCATED_IN,美国,null
