Entity1,Relationship,Entity2,Property
美洲牛蛙,HAS_ALIAS,Aquarana catesbeiana,type=学名
美洲牛蛙,HAS_ALIAS,Rana catesbeiana,type=学名
美洲牛蛙,HAS_ALIAS,牛蛙,type=俗名
美洲牛蛙,BELONGS_TO,蛙科,rank=科
美洲牛蛙,BELONGS_TO,无尾目,rank=目
美洲牛蛙,NATIVE_TO,北美洲,null
美洲牛蛙,HAS_HABIT,冬眠,null
美洲牛蛙,HAS_MORPHOLOGY,粉红色卵块,null
美洲牛蛙,HAS_MORPHOLOGY,皮肤分为表皮和真皮,null
美洲牛蛙,HAS_MORPHOLOGY,表皮由角质层颗粒层和生发层组成,null
美洲牛蛙,HAS_MORPHOLOGY,真皮由疏松层和致密层组成,null
美洲牛蛙,HAS_MORPHOLOGY,色素细胞,null
美洲牛蛙,HAS_MORPHOLOGY,颗粒腺,null
美洲牛蛙,HAS_MORPHOLOGY,黏液腺,null
美洲牛蛙,REPORTED_IN,墨脱县,year=2023;status=发现并捕获
墨脱县,LOCATED_IN,林芝市,null
林芝市,LOCATED_IN,西藏自治区,null
美洲牛蛙,REPORTED_IN,草海湿地,year=2018;status=形成自然种群
草海湿地,LOCATED_IN,威宁彝族回族苗族自治县,null
威宁彝族回族苗族自治县,LOCATED_IN,毕节市,null
毕节市,LOCATED_IN,贵州省,null
美洲牛蛙,REPORTED_IN,深圳市,year=null;status=早期监测
深圳市,LOCATED_IN,广东省,null
美洲牛蛙,THRIVES_IN,稻田,null
美洲牛蛙,THRIVES_IN,人工湖,null
美洲牛蛙,THRIVES_IN,静水水塘,null
美洲牛蛙,THRIVES_IN,沟渠,null
美洲牛蛙,THRIVES_IN,草地,null
美洲牛蛙,THRIVES_IN,沼泽草甸,null
美洲牛蛙,INTRODUCED_VIA,养殖逃逸,null
美洲牛蛙,INTRODUCED_VIA,人为放生,null
美洲牛蛙,INTRODUCED_VIA,运输逃逸,null
美洲牛蛙,PREYS_ON,飞虱,severity=平均每天捕食8.17只
美洲牛蛙,PREYS_ON,螟蛾,severity=减少稻田螟虫危害
美洲牛蛙,PREYS_ON,蜘蛛,severity=造成狼蛛科减少
美洲牛蛙,COMPETES_WITH,本土两栖动物,severity=排挤
美洲牛蛙,CAUSES,破坏生态平衡,type=生态危害
美洲牛蛙,CAUSES,传播壶菌病,type=疾病传播
美洲牛蛙,SUPPRESSED_BY,综合治理,method=物理
