Entity1,Relationship,Entity2,Property
美洲牛蛙,HAS_ALIAS,美国牛蛙,type=俗名
美洲牛蛙,HAS_ALIAS,Lithobates catesbeianus,type=学名
美洲牛蛙,HAS_ALIAS,Rana catesbeiana,type=学名
美洲牛蛙,BELONGS_TO,无尾目,rank=目
美洲牛蛙,BELONGS_TO,蛙科,rank=科
美洲牛蛙,BELONGS_TO,蛙属,rank=属
美洲牛蛙,NATIVE_TO,美国东部,null
美洲牛蛙,NATIVE_TO,加拿大,null
美洲牛蛙,NATIVE_TO,墨西哥,null
美洲牛蛙,NATIVE_TO,古巴,null
古巴,LOCATED_IN,北美洲,null
美洲牛蛙,REPORTED_IN,苗栗县,year=2011;status=放流造成生态浩劫
美洲牛蛙,REPORTED_IN,台湾省,year=1924;status=成功适应
美洲牛蛙,REPORTED_IN,中国大陆,year=1959;status=引进养殖
美洲牛蛙,REPORTED_IN,北意大利,null
美洲牛蛙,REPORTED_IN,阿基坦地区,null
美洲牛蛙,REPORTED_IN,西班牙,null
美洲牛蛙,REPORTED_IN,荷兰,null
美洲牛蛙,REPORTED_IN,意大利沿海,null
美洲牛蛙,REPORTED_IN,日本,year=1918;status=引进
美洲牛蛙,HAS_MORPHOLOGY,体型巨大,null
美洲牛蛙,HAS_HABIT,凶猛,null
美洲牛蛙,HAS_HABIT,以无脊椎动物小鱼和其他小蛙为食,null
美洲牛蛙,PREYS_ON,无脊椎动物,severity=捕食
美洲牛蛙,PREYS_ON,小鱼,severity=捕食
美洲牛蛙,PREYS_ON,小蛙,severity=捕食
美洲牛蛙,PREYS_ON,水鸟幼雏,severity=捕食
美洲牛蛙,PREYS_ON,蛇,severity=捕食
美洲牛蛙,PREYS_ON,鼠,severity=捕食
美洲牛蛙,PREYS_ON,龟,severity=捕食
美洲牛蛙,INTRODUCED_VIA,人为放流,null
美洲牛蛙,INTRODUCED_VIA,养殖引进,null
美洲牛蛙,CAUSES,生态浩劫,type=生态破坏
美洲牛蛙,CAUSES,成为世界百大外来入侵种,type=入侵性
美洲牛蛙,SUPPRESSED_BY,null,method=null
