Entity1,Relationship,Entity2,Property
美洲牛蛙,HAS_ALIAS,Lithobates catesbeianus,type=学名
美洲牛蛙,HAS_ALIAS,Rana catesbeiana,type=学名
美洲牛蛙,BELONGS_TO,蛙科,rank=科
美洲牛蛙,BELONGS_TO,蛙属,rank=属
美洲牛蛙,NATIVE_TO,北美洲东部,null
美洲牛蛙,HAS_MORPHOLOGY,橄榄绿背部,null
美洲牛蛙,HAS_MORPHOLOGY,灰褐色斑纹,null
美洲牛蛙,HAS_MORPHOLOGY,灰白色腹部,null
美洲牛蛙,HAS_MORPHOLOGY,黄色喉部,null
美洲牛蛙,HAS_MORPHOLOGY,鼓膜大于眼睛,null
美洲牛蛙,HAS_HABIT,机会主义伏击捕食者,null
美洲牛蛙,HAS_HABIT,杂食性,null
美洲牛蛙,THRIVES_IN,沼泽,null
美洲牛蛙,THRIVES_IN,池塘,null
美洲牛蛙,THRIVES_IN,湖泊,null
美洲牛蛙,THRIVES_IN,水库,null
美洲牛蛙,THRIVES_IN,沟渠,null
美洲牛蛙,THRIVES_IN,运河,null
美洲牛蛙,INTRODUCED_VIA,养殖逃逸,null
美洲牛蛙,INTRODUCED_VIA,人为放生,null
美洲牛蛙,INTRODUCED_VIA,宠物逃逸,null
美洲牛蛙,INTRODUCED_VIA,生物防治引入,null
美洲牛蛙,INTRODUCED_VIA,食物来源引入,null
美洲牛蛙,PREYS_ON,本土两栖动物,severity=捕食导致数量下降
美洲牛蛙,PREYS_ON,本土爬行动物,severity=捕食
美洲牛蛙,PREYS_ON,小型鸟类,severity=捕食
美洲牛蛙,PREYS_ON,小型哺乳动物,severity=捕食
美洲牛蛙,PREYS_ON,鱼类,severity=捕食
美洲牛蛙,PREYS_ON,无脊椎动物,severity=捕食
美洲牛蛙,COMPETES_WITH,本土蛙类,severity=竞争
美洲牛蛙,CAUSES,传播壶菌病,type=传播疾病
美洲牛蛙,CAUSES,破坏生态平衡,type=生态影响
美洲牛蛙,SUPPRESSED_BY,人工捕捉,method=物理
美洲牛蛙,SUPPRESSED_BY,三倍体不育技术,method=生物
美洲牛蛙,SUPPRESSED_BY,欧盟进口禁令,method=法规
美洲牛蛙,REPORTED_IN,亚利桑那州,year=null;status=入侵
美洲牛蛙,REPORTED_IN,加利福尼亚州,year=null;status=入侵
美洲牛蛙,REPORTED_IN,科罗拉多州,year=null;status=入侵
美洲牛蛙,REPORTED_IN,爱达荷州,year=null;status=入侵
美洲牛蛙,REPORTED_IN,内华达州,year=null;status=入侵
美洲牛蛙,REPORTED_IN,新墨西哥州,year=null;status=入侵
美洲牛蛙,REPORTED_IN,俄勒冈州,year=null;status=入侵
美洲牛蛙,REPORTED_IN,犹他州,year=null;status=入侵
美洲牛蛙,REPORTED_IN,华盛顿州,year=null;status=入侵
美洲牛蛙,REPORTED_IN,怀俄明州,year=null;status=入侵
美洲牛蛙,REPORTED_IN,夏威夷州,year=null;status=入侵
美洲牛蛙,REPORTED_IN,不列颠哥伦比亚省,year=null;status=入侵
美洲牛蛙,REPORTED_IN,比利时,year=null;status=入侵
美洲牛蛙,REPORTED_IN,古巴,year=null;status=入侵
美洲牛蛙,REPORTED_IN,多米尼加共和国,year=null;status=入侵
美洲牛蛙,REPORTED_IN,海地,year=null;status=入侵
美洲牛蛙,REPORTED_IN,意大利,year=null;status=入侵
美洲牛蛙,REPORTED_IN,牙买加,year=null;status=入侵
美洲牛蛙,REPORTED_IN,荷兰,year=null;status=入侵
美洲牛蛙,REPORTED_IN,波多黎各,year=null;status=入侵
美洲牛蛙,REPORTED_IN,阿根廷,year=null;status=入侵
美洲牛蛙,REPORTED_IN,巴西,year=null;status=入侵
美洲牛蛙,REPORTED_IN,中国,year=null;status=入侵
美洲牛蛙,REPORTED_IN,哥伦比亚,year=null;status=入侵
美洲牛蛙,REPORTED_IN,日本,year=null;status=入侵
美洲牛蛙,REPORTED_IN,韩国,year=null;status=入侵
美洲牛蛙,REPORTED_IN,乌拉圭,year=null;status=入侵
美洲牛蛙,REPORTED_IN,委内瑞拉,year=null;status=入侵
美洲牛蛙,REPORTED_IN,英国,year=1999;status=入侵
