Entity1,Relationship,Entity2,Property
豹纹翼甲鲶,HAS_ALIAS,豹纹脂身鲶,type=俗名
豹纹翼甲鲶,HAS_ALIAS,清道夫鱼,type=俗名
豹纹翼甲鲶,HAS_ALIAS,吸盘鱼,type=俗名
豹纹翼甲鲶,HAS_ALIAS,垃圾鱼,type=俗名
豹纹翼甲鲶,HAS_ALIAS,琵琶鱼,type=俗名
豹纹翼甲鲶,HAS_ALIAS,Pterygoplichthys pardalis,type=学名
豹纹翼甲鲶,HAS_ALIAS,Hypostomus punctatus,type=学名
豹纹翼甲鲶,NATIVE_TO,南美洲,null
豹纹翼甲鲶,INTRODUCED_VIA,作为景观鱼或幼鱼用于清除藻类而被引进,null
豹纹翼甲鲶,INTRODUCED_VIA,人为放生,null
豹纹翼甲鲶,HAS_HABIT,性成熟早,null
豹纹翼甲鲶,HAS_HABIT,繁殖力高,null
豹纹翼甲鲶,HAS_HABIT,没有天敌,null
豹纹翼甲鲶,HAS_HABIT,繁殖快,null
豹纹翼甲鲶,HAS_HABIT,极少被食用,null
豹纹翼甲鲶,HAS_MORPHOLOGY,吸盘,null
豹纹翼甲鲶,THRIVES_IN,河流,null
豹纹翼甲鲶,THRIVES_IN,水库,null
豹纹翼甲鲶,THRIVES_IN,水族箱,null
豹纹翼甲鲶,THRIVES_IN,养殖水体,null
豹纹翼甲鲶,REPORTED_IN,流溪河,year=2015-2016;status=入侵
流溪河,LOCATED_IN,广州市,null
广州市,LOCATED_IN,广东省,null
豹纹翼甲鲶,REPORTED_IN,西江干流,year=2022-2023;status=入侵
豹纹翼甲鲶,REPORTED_IN,增江中下游,year=2024;status=入侵
豹纹翼甲鲶,REPORTED_IN,惠州西湖,year=2023;status=入侵较为严重
惠州西湖,LOCATED_IN,惠州市,null
惠州市,LOCATED_IN,广东省,null
豹纹翼甲鲶,REPORTED_IN,九龙江西溪,year=2023;status=危害程度为重
豹纹翼甲鲶,REPORTED_IN,漳江,year=2023;status=危害程度为重
豹纹翼甲鲶,REPORTED_IN,汀江,year=2023;status=危害程度为重
豹纹翼甲鲶,CAUSES,破坏生态平衡,type=生态危害
豹纹翼甲鲶,CAUSES,造成经济损失,type=经济危害
豹纹翼甲鲶,COMPETES_WITH,本土物种,severity=排挤
豹纹翼甲鲶,PREYS_ON,藻类,severity=啃食
豹纹翼甲鲶,SUPPRESSED_BY,防控措施,method=管理
