Entity1,Relationship,Entity2,Property
豹纹翼甲鲶,HAS_ALIAS,Pterygoplichthys pardalis,type=学名
豹纹翼甲鲶,HAS_ALIAS,亚马逊帆鳍鲶,type=俗名
豹纹翼甲鲶,HAS_ALIAS,清道夫鱼,type=俗名
豹纹翼甲鲶,HAS_ALIAS,豹纹清道夫,type=俗名
豹纹翼甲鲶,HAS_ALIAS,白化清道夫,type=俗名
豹纹翼甲鲶,HAS_ALIAS,巧克力清道夫,type=俗名
豹纹翼甲鲶,BELONGS_TO,甲鲶科,rank=科
豹纹翼甲鲶,BELONGS_TO,翼甲鲶属,rank=属
豹纹翼甲鲶,NATIVE_TO,巴西,null
巴西,LOCATED_IN,南美洲,null
豹纹翼甲鲶,NATIVE_TO,秘鲁,null
秘鲁,LOCATED_IN,南美洲,null
豹纹翼甲鲶,NATIVE_TO,亚马逊河流域,null
亚马逊河流域,LOCATED_IN,南美洲,null
豹纹翼甲鲶,HAS_MORPHOLOGY,最大体长43厘米,null
豹纹翼甲鲶,HAS_MORPHOLOGY,最大体重310克,null
豹纹翼甲鲶,HAS_MORPHOLOGY,背鳍条11-13根,null
豹纹翼甲鲶,HAS_MORPHOLOGY,斑点花纹,null
豹纹翼甲鲶,HAS_MORPHOLOGY,白化体色,null
豹纹翼甲鲶,HAS_HABIT,底栖,null
豹纹翼甲鲶,HAS_HABIT,兼性空气呼吸,null
豹纹翼甲鲶,HAS_HABIT,偏好pH7.0-7.5,null
豹纹翼甲鲶,THRIVES_IN,淡水,null
豹纹翼甲鲶,THRIVES_IN,热带水域,null
豹纹翼甲鲶,INTRODUCED_VIA,水族贸易引入,null
豹纹翼甲鲶,INTRODUCED_VIA,人为放生,null
豹纹翼甲鲶,REPORTED_IN,马里基纳河,year=null;status=入侵
豹纹翼甲鲶,REPORTED_IN,菲律宾,year=null;status=入侵
豹纹翼甲鲶,REPORTED_IN,美国,year=null;status=入侵
豹纹翼甲鲶,REPORTED_IN,马来西亚,year=1970s;status=引入
豹纹翼甲鲶,CAUSES,破坏水生食物链,type=生态危害
豹纹翼甲鲶,CAUSES,减少本土水生物种丰度,type=生态危害
豹纹翼甲鲶,CAUSES,破坏水生植物,type=生态危害
豹纹翼甲鲶,CAUSES,破坏河岸,type=生态危害
豹纹翼甲鲶,COMPETES_WITH,本土水生物种,severity=生态竞争
豹纹翼甲鲶,PREYS_ON,本土水生植物,severity=破坏
