非洲大蜗牛, HAS_ALIAS, 褐云玛瑙螺, type=学名
非洲大蜗牛, HAS_ALIAS, 菜螺, type=俗名
非洲大蜗牛, HAS_ALIAS, 花螺, type=俗名
非洲大蜗牛, HAS_ALIAS, 东风螺, type=俗名
非洲大蜗牛, HAS_ALIAS, 法国螺, type=俗名
非洲大蜗牛, BELONGS_TO, 玛瑙螺科, rank=科
非洲大蜗牛, BELONGS_TO, 玛瑙螺属, rank=属
非洲大蜗牛, BELONGS_TO, 柄眼目, rank=目
非洲大蜗牛, BELONGS_TO, 腹足纲, rank=纲
非洲大蜗牛, BELONGS_TO, 软体动物门, rank=门
非洲大蜗牛, NATIVE_TO, 东非, 
非洲大蜗牛, NATIVE_TO, 坦桑尼亚, 
坦桑尼亚, LOCATED_IN, 东非, 
非洲大蜗牛, THRIVES_IN, 湿热地区, 
非洲大蜗牛, THRIVES_IN, 农田, 
非洲大蜗牛, THRIVES_IN, 菜园, 
非洲大蜗牛, THRIVES_IN, 果园, 
非洲大蜗牛, THRIVES_IN, 花园, 
非洲大蜗牛, INTRODUCED_VIA, 植物夹带, 
非洲大蜗牛, INTRODUCED_VIA, 人为引种, 
非洲大蜗牛, REPORTED_IN, 广东, year=20世纪初, status=分布
非洲大蜗牛, REPORTED_IN, 广西, year=20世纪初, status=分布
非洲大蜗牛, REPORTED_IN, 海南, year=20世纪初, status=分布
非洲大蜗牛, REPORTED_IN, 云南, year=20世纪初, status=分布
非洲大蜗牛, REPORTED_IN, 福建, year=20世纪初, status=分布
非洲大蜗牛, REPORTED_IN, 香港, year=20世纪初, status=分布
非洲大蜗牛, REPORTED_IN, 澳门, year=20世纪初, status=分布
非洲大蜗牛, REPORTED_IN, 台湾, year=1932, status=引入
非洲大蜗牛, REPORTED_IN, 湖南, year=未知, status=分布
非洲大蜗牛, REPORTED_IN, 湖北, year=未知, status=分布
非洲大蜗牛, REPORTED_IN, 厦门, year=1931, status=首次发现
厦门, LOCATED_IN, 福建, 
非洲大蜗牛, PREYS_ON, 叶菜, severity=严重
非洲大蜗牛, PREYS_ON, 茄瓜, severity=严重
非洲大蜗牛, PREYS_ON, 鲜花, severity=严重
非洲大蜗牛, PREYS_ON, 薯类, severity=严重
非洲大蜗牛, PREYS_ON, 花生, severity=严重
非洲大蜗牛, PREYS_ON, 蔬菜, severity=严重
非洲大蜗牛, PREYS_ON, 瓜果, severity=严重
非洲大蜗牛, PREYS_ON, 粮食作物, severity=严重
非洲大蜗牛, PREYS_ON, 园艺观赏植物, severity=严重
非洲大蜗牛, CAUSES, 农业生产负面影响, type=直接
非洲大蜗牛, CAUSES, 病虫传播, type=直接
非洲大蜗牛, CAUSES, 生态环境负面影响, type=直接
非洲大蜗牛, CAUSES, 减产或绝收, type=直接
非洲大蜗牛, AFFECTS, 人类健康, 
非洲大蜗牛, HAS_HABIT, 繁殖力强, 
非洲大蜗牛, HAS_HABIT, 抗逆性强, 
非洲大蜗牛, HAS_HABIT, 食量大, 
非洲大蜗牛, HAS_HABIT, 寄主广泛, 
非洲大蜗牛, HAS_MORPHOLOGY, 个体硕大, 
非洲大蜗牛, HAS_MORPHOLOGY, 陆生贝类, 
入侵事件, CAUSES, 农业生产负面影响, type=直接
入侵事件, CAUSES, 病虫传播, type=直接
入侵事件, CAUSES, 生态环境负面影响, type=直接
入侵事件, DURING, 20世纪初至今, 
防治事件, MITIGATES, 入侵事件, 
防治事件, MITIGATES, 农业生产负面影响, 
防治事件, MITIGATES, 病虫传播, 
防治事件, MITIGATES, 生态环境负面影响, 
农业防治, MITIGATES, 入侵事件, 
物理防治, MITIGATES, 入侵事件, 
生物防治, MITIGATES, 入侵事件, 
化学防治, MITIGATES, 入侵事件, 
检疫防治, MITIGATES, 入侵事件, 
人工防治, MITIGATES, 入侵事件, 
非洲大蜗牛, SPREAD_RISK_TO, 中国南方, confidence=高
广东, ADJACENT_TO, 广西, 
广东, ADJACENT_TO, 福建, 
广东, ADJACENT_TO, 湖南, 
广西, ADJACENT_TO, 云南, 
广西, ADJACENT_TO, 湖南, 
云南, ADJACENT_TO, 广西, 
云南, ADJACENT_TO, 湖南, 
福建, ADJACENT_TO, 广东, 
福建, ADJACENT_TO, 湖南, 
湖南, ADJACENT_TO, 湖北, 
湖南, ADJACENT_TO, 广东, 
湖南, ADJACENT_TO, 广西, 
湖南, ADJACENT_TO, 福建, 
湖北, ADJACENT_TO, 湖南, 
非洲大蜗牛, SPREAD_RISK_TO, 湖南, confidence=中
非洲大蜗牛, SPREAD_RISK_TO, 湖北, confidence=中
非洲大蜗牛, SPREAD_RISK_TO, 福建, confidence=高
非洲大蜗牛, SPREAD_RISK_TO, 广西, confidence=高
非洲大蜗牛, SPREAD_RISK_TO, 云南, confidence=高
非洲大蜗牛, SPREAD_RISK_TO, 广东, confidence=高
