Entity1,Relationship,Entity2,Property
非洲大蜗牛,HAS_ALIAS,褐云光滑玛瑙螺,type=学名
非洲大蜗牛,HAS_ALIAS,Lissachatina fulica,type=学名
非洲大蜗牛,HAS_ALIAS,褐云玛瑙螺,type=俗名
非洲大蜗牛,HAS_ALIAS,菜螺,type=俗名
非洲大蜗牛,HAS_ALIAS,露螺,type=俗名
非洲大蜗牛,BELONGS_TO,柄眼目,rank=目
非洲大蜗牛,BELONGS_TO,玛瑙螺科,rank=科
非洲大蜗牛,BELONGS_TO,光滑玛瑙螺属,rank=属
非洲大蜗牛,NATIVE_TO,非洲东部,null
非洲大蜗牛,HAS_HABIT,夜行性,null
非洲大蜗牛,HAS_HABIT,喜好潮湿的环境,null
非洲大蜗牛,HAS_MORPHOLOGY,大型陆生肺螺类,null
非洲大蜗牛,THRIVES_IN,菜地,null
非洲大蜗牛,THRIVES_IN,农田,null
非洲大蜗牛,THRIVES_IN,果园,null
非洲大蜗牛,THRIVES_IN,公园,null
非洲大蜗牛,THRIVES_IN,橡胶园,null
非洲大蜗牛,THRIVES_IN,杂草丛生环境,null
非洲大蜗牛,THRIVES_IN,树木葱郁环境,null
非洲大蜗牛,THRIVES_IN,农作物繁茂阴暗潮湿环境,null
非洲大蜗牛,THRIVES_IN,腐殖质土壤,null
非洲大蜗牛,THRIVES_IN,枯草堆,null
非洲大蜗牛,THRIVES_IN,洞穴,null
非洲大蜗牛,THRIVES_IN,树枝落叶和石块下,null
非洲大蜗牛,PREYS_ON,蔬菜,severity=主要取食
非洲大蜗牛,PREYS_ON,花卉,severity=主要取食
非洲大蜗牛,CAUSES,传播广东住血线虫,type=疾病传播
非洲大蜗牛,CAUSES,造成嗜伊红性脑膜炎,type=疾病传播
非洲大蜗牛,INTRODUCED_VIA,食用因素引入,null
平溪区,LOCATED_IN,新北市,null
新北市,LOCATED_IN,台湾省,null
恒春半岛,LOCATED_IN,屏东县,null
屏东县,LOCATED_IN,台湾省,null
好茶玛家,LOCATED_IN,屏东县,null
玉里镇,LOCATED_IN,花莲县,null
花莲县,LOCATED_IN,台湾省,null
草屯镇,LOCATED_IN,南投县,null
南投县,LOCATED_IN,台湾省,null
埔里镇,LOCATED_IN,南投县,null
板桥区,LOCATED_IN,新北市,null
新店区,LOCATED_IN,新北市,null
南投市,LOCATED_IN,南投县,null
阿里山,LOCATED_IN,嘉义县,null
嘉义县,LOCATED_IN,台湾省,null
来义,LOCATED_IN,屏东县,null
内文地区,LOCATED_IN,恒春半岛,null
满州乡,LOCATED_IN,屏东县,null
太鲁阁,LOCATED_IN,花莲县,null
非洲大蜗牛,REPORTED_IN,平溪区,year=null;status=分布
非洲大蜗牛,REPORTED_IN,恒春半岛,year=null;status=分布
非洲大蜗牛,REPORTED_IN,好茶玛家,year=null;status=分布
非洲大蜗牛,REPORTED_IN,玉里镇,year=null;status=分布
非洲大蜗牛,REPORTED_IN,草屯镇,year=null;status=分布
非洲大蜗牛,REPORTED_IN,埔里镇,year=null;status=分布
非洲大蜗牛,REPORTED_IN,板桥区,year=null;status=分布
非洲大蜗牛,REPORTED_IN,新店区,year=null;status=分布
非洲大蜗牛,REPORTED_IN,南投市,year=null;status=分布
非洲大蜗牛,REPORTED_IN,阿里山,year=null;status=分布
非洲大蜗牛,REPORTED_IN,来义,year=null;status=分布
非洲大蜗牛,REPORTED_IN,内文地区,year=null;status=分布
非洲大蜗牛,REPORTED_IN,满州乡,year=null;status=分布
非洲大蜗牛,REPORTED_IN,太鲁阁,year=null;status=分布
非洲大蜗牛,REPORTED_IN,福建,year=null;status=分布
非洲大蜗牛,REPORTED_IN,广东,year=null;status=分布
非洲大蜗牛,REPORTED_IN,广西,year=null;status=分布
非洲大蜗牛,REPORTED_IN,云南,year=null;status=分布
非洲大蜗牛,REPORTED_IN,海南,year=null;status=分布
非洲大蜗牛,REPORTED_IN,台湾,year=null;status=分布
非洲大蜗牛,REPORTED_IN,澳门,year=null;status=分布
非洲大蜗牛,REPORTED_IN,香港,year=null;status=分布
非洲大蜗牛,SUPPRESSED_BY,完全熟食,method=物理防治
