Entity1,Relationship,Entity2,Property
非洲大蜗牛,HAS_ALIAS,褐云玛瑙螺,type=俗名
非洲大蜗牛,HAS_ALIAS,非洲蜗牛,type=俗名
非洲大蜗牛,HAS_ALIAS,褐色玛瑙螺,type=俗名
非洲大蜗牛,HAS_ALIAS,菜螺,type=俗名
非洲大蜗牛,HAS_ALIAS,花螺,type=俗名
非洲大蜗牛,HAS_ALIAS,白玉蜗牛,type=俗名
非洲大蜗牛,HAS_ALIAS,Achatina fulica,type=学名
非洲大蜗牛,BELONGS_TO,玛瑙螺科,rank=科
非洲大蜗牛,HAS_MORPHOLOGY,贝壳大型壳质稍厚有光泽呈长卵圆形,null
非洲大蜗牛,HAS_MORPHOLOGY,壳高达130毫米宽54毫米,null
非洲大蜗牛,HAS_MORPHOLOGY,有6.5-8个螺层,null
非洲大蜗牛,HAS_HABIT,杂食性,null
非洲大蜗牛,HAS_HABIT,夜间活动,null
非洲大蜗牛,HAS_HABIT,雨后活动频繁,null
非洲大蜗牛,THRIVES_IN,灌木植被,null
非洲大蜗牛,THRIVES_IN,土壤腐殖质含量高的花园,null
非洲大蜗牛,THRIVES_IN,草地,null
非洲大蜗牛,THRIVES_IN,民宅院内外的垃圾或杂物堆放处,null
非洲大蜗牛,THRIVES_IN,菜地或路边草丛,null
非洲大蜗牛,THRIVES_IN,公园花圃,null
非洲大蜗牛,THRIVES_IN,灌木丛,null
非洲大蜗牛,REPORTED_IN,深圳市,status=存在;year=null
非洲大蜗牛,REPORTED_IN,南山区,status=存在;year=null
非洲大蜗牛,REPORTED_IN,茂名市,status=存在;year=null
非洲大蜗牛,REPORTED_IN,龙海市,status=存在;year=null
非洲大蜗牛,REPORTED_IN,思茅区,status=存在;year=null
非洲大蜗牛,REPORTED_IN,文山州,status=存在;year=null
非洲大蜗牛,REPORTED_IN,金华市,status=存在;year=null
非洲大蜗牛,REPORTED_IN,珠三角地区,status=存在;year=2006-2008
非洲大蜗牛,REPORTED_IN,粤东沿海地区,status=存在;year=2006-2008
非洲大蜗牛,REPORTED_IN,粤中沿海地区,status=存在;year=2006-2008
非洲大蜗牛,REPORTED_IN,粤西沿海地区,status=存在;year=2006-2008
南山区,LOCATED_IN,深圳市,null
深圳市,LOCATED_IN,广东省,null
茂名市,LOCATED_IN,广东省,null
龙海市,LOCATED_IN,福建省,null
思茅区,LOCATED_IN,普洱市,null
普洱市,LOCATED_IN,云南省,null
文山州,LOCATED_IN,云南省,null
金华市,LOCATED_IN,浙江省,null
