Entity1,Relationship,Entity2,Property
非洲大蜗牛,HAS_ALIAS,Lissachatina fulica,type=学名
非洲大蜗牛,HAS_ALIAS,巨大非洲陆地蜗牛,type=俗名
非洲大蜗牛,HAS_ALIAS,白化玉蜗牛,type=俗名
非洲大蜗牛,BELONGS_TO,玛瑙螺科,rank=科
非洲大蜗牛,BELONGS_TO,玛瑙螺属,rank=属
非洲大蜗牛,NATIVE_TO,东非,null
非洲大蜗牛,HAS_MORPHOLOGY,纯白色不透明卵,Property=null
非洲大蜗牛,HAS_MORPHOLOGY,棕色与奶油色相间的壳,Property=null
非洲大蜗牛,HAS_MORPHOLOGY,光滑的棕色壳,Property=null
非洲大蜗牛,HAS_MORPHOLOGY,奶油黄色身体,Property=null
非洲大蜗牛,HAS_MORPHOLOGY,黄色身体和黄色壳,Property=null
非洲大蜗牛,HAS_HABIT,昼伏夜出,Property=null
非洲大蜗牛,HAS_HABIT,夏眠,Property=null
非洲大蜗牛,HAS_HABIT,雌雄同体,Property=null
非洲大蜗牛,HAS_HABIT,自交繁殖,Property=null
非洲大蜗牛,HAS_HABIT,耐低温,Property=null
非洲大蜗牛,HAS_HABIT,耐高温,Property=null
非洲大蜗牛,THRIVES_IN,森林边缘,Property=null
非洲大蜗牛,THRIVES_IN,农业区,Property=null
非洲大蜗牛,THRIVES_IN,城市区,Property=null
非洲大蜗牛,THRIVES_IN,落叶层,Property=null
非洲大蜗牛,THRIVES_IN,碎片堆,Property=null
非洲大蜗牛,INTRODUCED_VIA,宠物贸易,Property=null
非洲大蜗牛,INTRODUCED_VIA,食物资源,Property=null
非洲大蜗牛,INTRODUCED_VIA,意外引入,Property=null
非洲大蜗牛,INTRODUCED_VIA,随其他货物意外运输,Property=null
非洲大蜗牛,PREYS_ON,农作物,severity=严重
非洲大蜗牛,PREYS_ON,本土植物,severity=严重
非洲大蜗牛,COMPETES_WITH,本土蜗牛类群,severity=排挤
非洲大蜗牛,CAUSES,传播植物病原体,type=生态危害
非洲大蜗牛,CAUSES,传播人类疾病,type=健康危害
非洲大蜗牛,CAUSES,破坏农业,type=经济危害
非洲大蜗牛,CAUSES,城市害虫,type=社会危害
非洲大蜗牛,SUPPRESSED_BY,严格检疫,method=物理
非洲大蜗牛,SUPPRESSED_BY,佛罗里达玫瑰狼蜗,method=生物
非洲大蜗牛,REPORTED_IN,厦门市,year=1931;status=首次分布点
厦门市,LOCATED_IN,福建省,null
非洲大蜗牛,REPORTED_IN,东沙群岛,null
非洲大蜗牛,REPORTED_IN,迈阿密市,year=1966;status=已根除
迈阿密市,LOCATED_IN,佛罗里达州,null
非洲大蜗牛,REPORTED_IN,迈阿密市,year=2011;status=已根除
非洲大蜗牛,REPORTED_IN,坦帕市北部,year=2022;status=检疫中
坦帕市北部,LOCATED_IN,佛罗里达州,null
非洲大蜗牛,REPORTED_IN,迈尔斯堡,year=2022;status=检疫中
迈尔斯堡,LOCATED_IN,佛罗里达州,null
非洲大蜗牛,REPORTED_IN,迈阿密市北部,year=2023;status=检疫中
非洲大蜗牛,REPORTED_IN,加利福尼亚州,status=已根除
非洲大蜗牛,REPORTED_IN,昆士兰州,status=已根除
昆士兰州,LOCATED_IN,澳大利亚,null
非洲大蜗牛,REPORTED_IN,斐济,status=已根除
非洲大蜗牛,REPORTED_IN,西萨摩亚,status=已根除
非洲大蜗牛,REPORTED_IN,瓦努阿图,status=已根除
非洲大蜗牛,REPORTED_IN,威克岛,status=已根除
非洲大蜗牛,REPORTED_IN,吉勒普辛,status=入侵;year=2006
吉勒普辛,LOCATED_IN,蒙加尔,null
蒙加尔,LOCATED_IN,不丹,null
非洲大蜗牛,REPORTED_IN,哈瓦那市,year=2014;status=报道
哈瓦那市,LOCATED_IN,古巴,null
非洲大蜗牛,REPORTED_IN,巴拉那州,year=1988;status=首次引入
巴拉那州,LOCATED_IN,巴西,null
非洲大蜗牛,REPORTED_IN,皮钦查省,year=2006-2008;status=记录
皮钦查省,LOCATED_IN,厄瓜多尔,null
非洲大蜗牛,REPORTED_IN,皮乌拉市,year=2008;status=发现活体
皮乌拉市,LOCATED_IN,秘鲁,null
非洲大蜗牛,REPORTED_IN,伊瓜苏港市,year=2010;status=报道
伊瓜苏港市,LOCATED_IN,阿根廷,null
