Entity1,Relationship,Entity2,Property
鳄雀鳝,HAS_ALIAS,Atractosteus spatula,type=学名
鳄雀鳝,HAS_ALIAS,大雀鳝,type=俗名
鳄雀鳝,HAS_ALIAS,福鳄,type=俗名
鳄雀鳝,BELONGS_TO,雀鳝目,rank=目
鳄雀鳝,BELONGS_TO,雀鳝科,rank=科
鳄雀鳝,BELONGS_TO,大雀鳝属,rank=属
鳄雀鳝,NATIVE_TO,墨西哥湾沿岸平原,null
鳄雀鳝,NATIVE_TO,密西西比河流域,null
鳄雀鳝,NATIVE_TO,佛罗里达州狭长地带,null
佛罗里达州狭长地带,LOCATED_IN,佛罗里达州,null
鳄雀鳝,NATIVE_TO,俄亥俄河下游,null
鳄雀鳝,NATIVE_TO,密苏里河下游,null
鳄雀鳝,NATIVE_TO,德克萨斯州,null
鳄雀鳝,NATIVE_TO,韦拉克鲁斯州,null
韦拉克鲁斯州,LOCATED_IN,墨西哥,null
鳄雀鳝,HAS_MORPHOLOGY,体长2-3米,null
鳄雀鳝,HAS_MORPHOLOGY,重约137千克,null
鳄雀鳝,HAS_MORPHOLOGY,外观形似鳄鱼,null
鳄雀鳝,HAS_MORPHOLOGY,上下颌有尖锐牙齿,null
鳄雀鳝,HAS_MORPHOLOGY,尾鳍呈异尾型,null
鳄雀鳝,HAS_MORPHOLOGY,背部灰绿色或灰褐色,null
鳄雀鳝,HAS_MORPHOLOGY,腹部淡黄色或白色,null
鳄雀鳝,HAS_MORPHOLOGY,幼鱼有椭圆形黑色斑点,null
鳄雀鳝,HAS_MORPHOLOGY,身体被硬鳞覆盖,null
鳄雀鳝,HAS_MORPHOLOGY,眼睛较小,null
鳄雀鳝,HAS_HABIT,凶猛的肉食性鱼类,null
鳄雀鳝,HAS_HABIT,机会主义掠食者,null
鳄雀鳝,HAS_HABIT,伏击捕食,null
鳄雀鳝,HAS_HABIT,夜间活动,null
鳄雀鳝,HAS_HABIT,独居且具有领地意识,null
鳄雀鳝,HAS_HABIT,生长速度较慢,null
鳄雀鳝,HAS_HABIT,雌性10-14年性成熟,null
鳄雀鳝,HAS_HABIT,雄性6年性成熟,null
鳄雀鳝,HAS_HABIT,产卵期4月上旬至6月中旬,null
鳄雀鳝,HAS_HABIT,卵具有毒性,null
鳄雀鳝,THRIVES_IN,大型河流,null
鳄雀鳝,THRIVES_IN,湖泊,null
鳄雀鳝,THRIVES_IN,水库,null
鳄雀鳝,THRIVES_IN,牛轭湖,null
鳄雀鳝,THRIVES_IN,河口微咸水,null
鳄雀鳝,THRIVES_IN,海湾微咸水,null
鳄雀鳝,THRIVES_IN,洪泛区,null
鳄雀鳝,THRIVES_IN,沼泽地,null
鳄雀鳝,PREYS_ON,鱼类,severity=主要食物
鳄雀鳝,PREYS_ON,鸟类,severity=捕食
鳄雀鳝,PREYS_ON,龟,severity=捕食
鳄雀鳝,PREYS_ON,小型哺乳动物,severity=捕食
鳄雀鳝,PREYS_ON,两栖动物,severity=捕食
鳄雀鳝,PREYS_ON,甲壳动物,severity=捕食
鳄雀鳝,PREYS_ON,腐肉,severity=捕食
鳄雀鳝,INTRODUCED_VIA,弃养宠物释放到野外,null
鳄雀鳝,REPORTED_IN,中国,year=2020;status=外来物种发现
鳄雀鳝,REPORTED_IN,土库曼斯坦,null
鳄雀鳝,REPORTED_IN,新加坡,null
鳄雀鳝,REPORTED_IN,印度,null
鳄雀鳝,REPORTED_IN,塞浦路斯,null
鳄雀鳝,CAUSES,破坏生态平衡,type=生态危害
鳄雀鳝,SUPPRESSED_BY,人工清除,method=物理
鳄雀鳝,SUPPRESSED_BY,禁止放生或遗弃,method=法规
