Entity1,Relationship,Entity2,Property
鳄雀鳝,HAS_ALIAS,Atractosteus spatula,type=学名
鳄雀鳝,HAS_ALIAS,鳄雀鳝,type=俗名
鳄雀鳝,HAS_ALIAS,大雀鳝,type=俗名
鳄雀鳝,HAS_ALIAS,纺锤骨雀鳝,type=俗名
鳄雀鳝,HAS_ALIAS,鳄鱼火箭,type=俗名
鳄雀鳝,HAS_ALIAS,福鳄,type=俗名
鳄雀鳝,BELONGS_TO,雀鳝目,rank=目
鳄雀鳝,BELONGS_TO,雀鳝科,rank=科
鳄雀鳝,BELONGS_TO,大雀鳝属,rank=属
鳄雀鳝,HAS_MORPHOLOGY,短吻和两排匕首般锋利的牙齿,null
鳄雀鳝,HAS_MORPHOLOGY,背部呈褐色或橄榄色,null
鳄雀鳝,HAS_MORPHOLOGY,腹部较为浅色,null
鳄雀鳝,HAS_MORPHOLOGY,菱形硬鳞,null
鳄雀鳝,HAS_MORPHOLOGY,长筒形身体,null
鳄雀鳝,HAS_MORPHOLOGY,头部宽阔,null
鳄雀鳝,HAS_MORPHOLOGY,吻部短而宽,null
鳄雀鳝,HAS_MORPHOLOGY,青灰色菱形鳞片带暗黑色斑纹,null
鳄雀鳝,HAS_MORPHOLOGY,上下颚密布利齿,null
鳄雀鳝,HAS_MORPHOLOGY,背鳍和臀鳍位于身体后部,null
鳄雀鳝,HAS_MORPHOLOGY,尾鳍短且不对称,null
鳄雀鳝,HAS_MORPHOLOGY,卵呈淡绿色,null
鳄雀鳝,HAS_HABIT,能在缺氧环境中把空气吞到鳔中呼吸,null
鳄雀鳝,HAS_HABIT,离开水存活长达两小时,null
鳄雀鳝,HAS_HABIT,广盐性鱼类,null
鳄雀鳝,HAS_HABIT,寿命26至50年,null
鳄雀鳝,HAS_HABIT,雄鱼6岁性成熟,null
鳄雀鳝,HAS_HABIT,雌鱼11年性成熟,null
鳄雀鳝,HAS_HABIT,每年5至8月繁殖产卵,null
鳄雀鳝,HAS_HABIT,什么都吃,null
鳄雀鳝,NATIVE_TO,美国南部,null
美国南部,LOCATED_IN,美国,null
鳄雀鳝,NATIVE_TO,墨西哥,null
鳄雀鳝,REPORTED_IN,中华人民共和国,year=null;status=外来入侵物种
鳄雀鳝,REPORTED_IN,泰国,year=null;status=发现
鳄雀鳝,THRIVES_IN,淡水湖泊,null
鳄雀鳝,THRIVES_IN,沼泽,null
鳄雀鳝,THRIVES_IN,咸淡水沼泽,null
鳄雀鳝,THRIVES_IN,河口,null
鳄雀鳝,THRIVES_IN,海湾,null
鳄雀鳝,THRIVES_IN,牛轭湖,null
鳄雀鳝,THRIVES_IN,长满水草和杂草的浅水区,null
鳄雀鳝,PREYS_ON,其他鱼类,severity=栖息水域内很少有其它鱼类生存
鳄雀鳝,CAUSES,影响渔民收获,type=经济危害
鳄雀鳝,CAUSES,破坏水体生态,type=生态危害
鳄雀鳝,SUPPRESSED_BY,政府鼓励消灭捕猎,method=物理防治
