Entity1,Relationship,Entity2,Property
鳄雀鳝,HAS_ALIAS,怪鱼,type=俗名
鳄雀鳝,HAS_ALIAS,咬人水怪,type=俗名
鳄雀鳝,HAS_ALIAS,水中怪兽,type=俗名
鳄雀鳝,NATIVE_TO,墨西哥,null
墨西哥,LOCATED_IN,北美洲,null
鳄雀鳝,NATIVE_TO,美国佛罗里达州,null
美国佛罗里达州,LOCATED_IN,美国,null
鳄雀鳝,NATIVE_TO,密苏里河,null
密苏里河,LOCATED_IN,北美洲,null
鳄雀鳝,NATIVE_TO,俄亥俄河,null
俄亥俄河,LOCATED_IN,北美洲,null
鳄雀鳝,NATIVE_TO,尼加拉瓜,null
尼加拉瓜,LOCATED_IN,中美洲,null
鳄雀鳝,NATIVE_TO,古巴,null
古巴,LOCATED_IN,中美洲,null
鳄雀鳝,HAS_MORPHOLOGY,短吻,null
鳄雀鳝,HAS_MORPHOLOGY,匕首般锋利的牙齿,null
鳄雀鳝,HAS_MORPHOLOGY,异常坚硬的鳞片,null
鳄雀鳝,HAS_HABIT,大型肉食性凶猛鱼类,null
鳄雀鳝,HAS_HABIT,生性凶猛,null
鳄雀鳝,HAS_HABIT,繁殖能力强,null
鳄雀鳝,HAS_HABIT,每年产数万枚鱼卵,null
鳄雀鳝,HAS_HABIT,缺乏天敌,null
鳄雀鳝,THRIVES_IN,河流,null
鳄雀鳝,THRIVES_IN,湖泊,null
鳄雀鳝,THRIVES_IN,河口水域,null
鳄雀鳝,INTRODUCED_VIA,观赏鱼贸易,null
汝州市,LOCATED_IN,平顶山市,null
平顶山市,LOCATED_IN,河南省,null
鳄雀鳝,REPORTED_IN,汝州市,year=2022;status=抽干湖水围捕
鳄雀鳝,REPORTED_IN,北京市,year=2022;status=报告发现
鳄雀鳝,REPORTED_IN,湖南省,year=2022;status=报告发现
鳄雀鳝,REPORTED_IN,广西壮族自治区,year=2022;status=报告发现
鳄雀鳝,REPORTED_IN,山东省,year=2022;status=报告发现
鳄雀鳝,REPORTED_IN,广东省,year=多年;status=野外分布记录
鳄雀鳝,REPORTED_IN,福建省,year=多年;status=野外分布记录
鳄雀鳝,REPORTED_IN,四川省,year=多年;status=野外分布记录
鳄雀鳝,REPORTED_IN,江苏省,year=多年;status=野外分布记录
鳄雀鳝,REPORTED_IN,云南省,year=2022;status=报告发现
鳄雀鳝,REPORTED_IN,青海省,year=2022;status=报告发现
鳄雀鳝,PREYS_ON,鱼类,severity=吃掉水域内的鱼类
鳄雀鳝,PREYS_ON,人类,severity=攻击人类
鳄雀鳝,CAUSES,破坏生态平衡,type=生态危害
鳄雀鳝,SUPPRESSED_BY,抽干湖水围捕,method=物理
