Entity1,Relationship,Entity2,Property
齐氏罗非鱼,HAS_ALIAS,Coptodon zillii,type=学名
齐氏罗非鱼,HAS_ALIAS,红腹罗非鱼,type=俗名
齐氏罗非鱼,HAS_ALIAS,Tilapia zillii,type=学名
齐氏罗非鱼,BELONGS_TO,鲈形目,rank=目
齐氏罗非鱼,NATIVE_TO,泰国,null
泰国,LOCATED_IN,亚洲,null
齐氏罗非鱼,NATIVE_TO,非洲,null
齐氏罗非鱼,INTRODUCED_VIA,水产养殖引种,null
齐氏罗非鱼,INTRODUCED_VIA,弃养逃逸,null
齐氏罗非鱼,HAS_HABIT,耐低温,null
齐氏罗非鱼,HAS_HABIT,高繁殖力,null
齐氏罗非鱼,HAS_HABIT,杂食性,null
齐氏罗非鱼,HAS_MORPHOLOGY,体型较小,null
齐氏罗非鱼,REPORTED_IN,天峨县,year=2023;status=入侵
天峨县,LOCATED_IN,河池市,null
河池市,LOCATED_IN,广西壮族自治区,null
齐氏罗非鱼,REPORTED_IN,东兰县,year=2023;status=入侵
东兰县,LOCATED_IN,河池市,null
齐氏罗非鱼,REPORTED_IN,巴马瑶族自治县,year=2023;status=入侵
巴马瑶族自治县,LOCATED_IN,河池市,null
齐氏罗非鱼,REPORTED_IN,大化瑶族自治县,year=2023;status=入侵
大化瑶族自治县,LOCATED_IN,河池市,null
齐氏罗非鱼,REPORTED_IN,都安瑶族自治县,year=2023;status=入侵
都安瑶族自治县,LOCATED_IN,河池市,null
齐氏罗非鱼,REPORTED_IN,合山市,year=2023;status=入侵
合山市,LOCATED_IN,来宾市,null
来宾市,LOCATED_IN,广西壮族自治区,null
齐氏罗非鱼,REPORTED_IN,来宾市,year=2023;status=入侵
齐氏罗非鱼,REPORTED_IN,惠州市,year=2023;status=入侵
惠州市,LOCATED_IN,广东省,null
齐氏罗非鱼,REPORTED_IN,永春县,year=2023;status=入侵
永春县,LOCATED_IN,泉州市,null
泉州市,LOCATED_IN,福建省,null
齐氏罗非鱼,REPORTED_IN,渔门镇,year=2023;status=入侵
渔门镇,LOCATED_IN,盐边县,null
盐边县,LOCATED_IN,攀枝花市,null
攀枝花市,LOCATED_IN,四川省,null
齐氏罗非鱼,REPORTED_IN,闽江口水库,year=2023;status=入侵
闽江口水库,LOCATED_IN,福建省,null
齐氏罗非鱼,REPORTED_IN,花地河,year=2023;status=入侵
花地河,LOCATED_IN,广州市,null
广州市,LOCATED_IN,广东省,null
齐氏罗非鱼,REPORTED_IN,增江,year=2023;status=入侵
增江,LOCATED_IN,广州市,null
齐氏罗非鱼,REPORTED_IN,九龙江西溪,year=2023;status=入侵
九龙江西溪,LOCATED_IN,福建省,null
齐氏罗非鱼,REPORTED_IN,漳江,year=2023;status=入侵
漳江,LOCATED_IN,福建省,null
齐氏罗非鱼,REPORTED_IN,汀江,year=2023;status=入侵
汀江,LOCATED_IN,福建省,null
齐氏罗非鱼,THRIVES_IN,静水环境,null
齐氏罗非鱼,THRIVES_IN,水库,null
齐氏罗非鱼,THRIVES_IN,河流,null
齐氏罗非鱼,PREYS_ON,黑脊倒刺鲃,severity=竞争
齐氏罗非鱼,COMPETES_WITH,本土鱼类,severity=严重
齐氏罗非鱼,CAUSES,破坏生态平衡,type=生态危害
齐氏罗非鱼,CAUSES,生物多样性下降,type=生态危害
齐氏罗非鱼,SUPPRESSED_BY,针对性捕捞,method=物理
齐氏罗非鱼,SUPPRESSED_BY,监测预警,method=管理
