Entity1,Relationship,Entity2,Property
齐氏罗非鱼,HAS_ALIAS,吉利非鲫,type=俗名
齐氏罗非鱼,HAS_ALIAS,齐氏非鲫,type=俗名
齐氏罗非鱼,HAS_ALIAS,Coptodon zillii,type=学名
齐氏罗非鱼,HAS_ALIAS,Tilapia zillii,type=学名
齐氏罗非鱼,BELONGS_TO,Coptodon属,rank=属
齐氏罗非鱼,NATIVE_TO,非洲,null
齐氏罗非鱼,HAS_HABIT,杂食性,null
齐氏罗非鱼,HAS_HABIT,适应力强,null
齐氏罗非鱼,HAS_HABIT,耐污能力强,null
齐氏罗非鱼,HAS_HABIT,繁殖力强,null
齐氏罗非鱼,THRIVES_IN,淡水湖,null
齐氏罗非鱼,THRIVES_IN,河流,null
齐氏罗非鱼,THRIVES_IN,池塘,null
齐氏罗非鱼,THRIVES_IN,水稻田,null
齐氏罗非鱼,THRIVES_IN,出海口,null
齐氏罗非鱼,THRIVES_IN,近岸沿海,null
齐氏罗非鱼,INTRODUCED_VIA,养殖逃逸,null
齐氏罗非鱼,INTRODUCED_VIA,人为放生,null
齐氏罗非鱼,COMPETES_WITH,原生鱼种,severity=剥夺生存空间
齐氏罗非鱼,CAUSES,物种入侵,type=生态危害
齐氏罗非鱼,CAUSES,破坏生态平衡,type=生态危害
