Entity1,Relationship,Entity2,Property
齐氏罗非鱼,HAS_ALIAS,Redbelly tilapia,type=俗名
齐氏罗非鱼,HAS_ALIAS,Coptodon zillii,type=学名
齐氏罗非鱼,HAS_ALIAS,Tilapia zillii,type=学名
齐氏罗非鱼,HAS_ALIAS,Zille's redbreast tilapia,type=俗名
齐氏罗非鱼,HAS_ALIAS,St. Peter's fish,type=俗名
齐氏罗非鱼,BELONGS_TO,丽鱼科,rank=科
齐氏罗非鱼,BELONGS_TO,罗非鱼属,rank=属
齐氏罗非鱼,NATIVE_TO,尼罗河流域,null
尼罗河流域,LOCATED_IN,非洲,null
齐氏罗非鱼,NATIVE_TO,塞内加尔河,null
塞内加尔河,LOCATED_IN,非洲,null
齐氏罗非鱼,NATIVE_TO,刚果河流域,null
刚果河流域,LOCATED_IN,非洲,null
齐氏罗非鱼,NATIVE_TO,约旦河流域,null
约旦河流域,LOCATED_IN,中东,null
齐氏罗非鱼,NATIVE_TO,太巴列湖,null
太巴列湖,LOCATED_IN,以色列,null
齐氏罗非鱼,NATIVE_TO,太巴列湖,LOCATED_IN,约旦,null
齐氏罗非鱼,NATIVE_TO,太巴列湖,LOCATED_IN,叙利亚,null
齐氏罗非鱼,HAS_MORPHOLOGY,腹部黄色或白色,null
齐氏罗非鱼,HAS_MORPHOLOGY,身体有两条水平暗纹和六条垂直条纹,null
齐氏罗非鱼,HAS_MORPHOLOGY,繁殖期头部有蓝绿色斑点,null
齐氏罗非鱼,HAS_MORPHOLOGY,繁殖期腹部亮粉红色,null
齐氏罗非鱼,HAS_HABIT,底质产卵,null
齐氏罗非鱼,HAS_HABIT,亲鱼护卵护幼,null
齐氏罗非鱼,HAS_HABIT,以藻类和高等植物为食,null
齐氏罗非鱼,HAS_HABIT,也摄食无脊椎动物和鱼卵,null
齐氏罗非鱼,HAS_HABIT,耐高盐度,null
齐氏罗非鱼,HAS_HABIT,耐高温,null
齐氏罗非鱼,THRIVES_IN,浅水植被区,null
齐氏罗非鱼,THRIVES_IN,沙质岸边,null
齐氏罗非鱼,THRIVES_IN,淡水,null
齐氏罗非鱼,THRIVES_IN,半咸水,null
齐氏罗非鱼,INTRODUCED_VIA,作为食用鱼引入,null
齐氏罗非鱼,INTRODUCED_VIA,作为水生植被控制引入,null
齐氏罗非鱼,INTRODUCED_VIA,水产养殖,null
齐氏罗非鱼,REPORTED_IN,德克萨斯州,year=null;status=引入种
齐氏罗非鱼,REPORTED_IN,阿拉巴马州,year=null;status=引入种
齐氏罗非鱼,REPORTED_IN,台湾,year=null;status=引入种
齐氏罗非鱼,REPORTED_IN,佛罗里达州,year=null;status=引入种
齐氏罗非鱼,CAUSES,威胁当地生态和物种,type=生态危害
齐氏罗非鱼,COMPETES_WITH,本地物种,severity=威胁
齐氏罗非鱼,PREYS_ON,藻类,severity=null
齐氏罗非鱼,PREYS_ON,水生植物,severity=null
齐氏罗非鱼,PREYS_ON,陆生植物,severity=null
齐氏罗非鱼,PREYS_ON,无脊椎动物,severity=null
齐氏罗非鱼,PREYS_ON,鱼卵,severity=null
