Entity1,Relationship,Entity2,Property
大鳄龟,HAS_ALIAS,真鳄龟,type=学名
大鳄龟,HAS_ALIAS,Macrochelys temminckii,type=学名
大鳄龟,HAS_ALIAS,鳄鱼咬龟,type=俗名
大鳄龟,HAS_ALIAS,鳄甲龟,type=俗名
大鳄龟,HAS_ALIAS,鳄龟,type=俗名
大鳄龟,BELONGS_TO,鳄龟科,rank=科
大鳄龟,BELONGS_TO,大鳄龟属,rank=属
大鳄龟,BELONGS_TO,龟鳖目,rank=目
大鳄龟,HAS_MORPHOLOGY,体大,null
大鳄龟,HAS_MORPHOLOGY,嘴巴前端的上下颌呈钩状,null
大鳄龟,HAS_MORPHOLOGY,背甲盾片呈棕褐色,null
大鳄龟,HAS_MORPHOLOGY,背甲的边缘有许多像锯齿状的突起,null
大鳄龟,HAS_MORPHOLOGY,眼睛长在口的两侧,null
大鳄龟,HAS_MORPHOLOGY,头和颈上有许多肉突,null
大鳄龟,HAS_MORPHOLOGY,舌上长有一个鲜红色且分叉的蠕虫状的肉突,null
大鳄龟,HAS_MORPHOLOGY,尾细长坚硬,null
大鳄龟,HAS_MORPHOLOGY,头和脚不能缩入壳内,null
大鳄龟,HAS_HABIT,喜弱光畏强光,null
大鳄龟,HAS_HABIT,喜静怕惊扰,null
大鳄龟,HAS_HABIT,喜温惧寒,null
大鳄龟,HAS_HABIT,喜群聚,null
大鳄龟,HAS_HABIT,白天在水中伏在木头或石块上,null
大鳄龟,HAS_HABIT,夜间捕食,null
大鳄龟,NATIVE_TO,密西西比河流域,null
密西西比河流域,LOCATED_IN,美国,null
大鳄龟,NATIVE_TO,阿拉巴马州,null
阿拉巴马州,LOCATED_IN,美国,null
大鳄龟,NATIVE_TO,乔治亚州,null
乔治亚州,LOCATED_IN,美国,null
大鳄龟,NATIVE_TO,佛罗里达州,null
佛罗里达州,LOCATED_IN,美国,null
大鳄龟,NATIVE_TO,堪萨斯州,null
堪萨斯州,LOCATED_IN,美国,null
大鳄龟,NATIVE_TO,艾奥瓦州,null
艾奥瓦州,LOCATED_IN,美国,null
大鳄龟,NATIVE_TO,伊利诺伊州,null
伊利诺伊州,LOCATED_IN,美国,null
大鳄龟,NATIVE_TO,得克萨斯州,null
得克萨斯州,LOCATED_IN,美国,null
大鳄龟,THRIVES_IN,河流,null
大鳄龟,THRIVES_IN,湖泊,null
大鳄龟,THRIVES_IN,池塘,null
大鳄龟,THRIVES_IN,沼泽,null
大鳄龟,INTRODUCED_VIA,少量引进,year=1998
大鳄龟,REPORTED_IN,中国,year=1998;status=少量引进
大鳄龟,PREYS_ON,鱼类,severity=捕食
大鳄龟,PREYS_ON,水鸟,severity=捕食
大鳄龟,PREYS_ON,螺,severity=捕食
大鳄龟,PREYS_ON,虾,severity=捕食
大鳄龟,PREYS_ON,水蛇,severity=捕食
大鳄龟,PREYS_ON,蛙,severity=捕食
大鳄龟,PREYS_ON,蜗牛,severity=捕食
大鳄龟,PREYS_ON,蛤,severity=捕食
大鳄龟,PREYS_ON,虫类,severity=捕食
大鳄龟,PREYS_ON,水草,severity=捕食
