Entity1,Relationship,Entity2,Property
福寿螺,HAS_ALIAS,Pomacea canaliculata,type=学名
福寿螺,HAS_ALIAS,苹果螺,type=俗名
福寿螺,HAS_ALIAS,巨型田螺,type=俗名
福寿螺,BELONGS_TO,中腹足目,rank=目
福寿螺,BELONGS_TO,瓶螺科,rank=科
福寿螺,BELONGS_TO,瓶螺属,rank=属
福寿螺,NATIVE_TO,亚马逊河流域,null
亚马逊河流域,LOCATED_IN,南美洲,null
福寿螺,NATIVE_TO,普拉塔流域,null
普拉塔流域,LOCATED_IN,南美洲,null
福寿螺,NATIVE_TO,巴拉那河,null
巴拉那河,LOCATED_IN,普拉塔流域,null
福寿螺,NATIVE_TO,巴拉圭河,null
巴拉圭河,LOCATED_IN,普拉塔流域,null
福寿螺,NATIVE_TO,阿根廷,null
阿根廷,LOCATED_IN,南美洲,null
福寿螺,NATIVE_TO,玻利维亚,null
玻利维亚,LOCATED_IN,南美洲,null
福寿螺,NATIVE_TO,巴西,null
巴西,LOCATED_IN,南美洲,null
福寿螺,NATIVE_TO,巴拉圭,null
巴拉圭,LOCATED_IN,南美洲,null
福寿螺,NATIVE_TO,乌拉圭,null
乌拉圭,LOCATED_IN,南美洲,null
福寿螺,REPORTED_IN,台湾省,year=1979;status=引入
福寿螺,REPORTED_IN,中山市,year=1981;status=引入
中山市,LOCATED_IN,广东省,null
福寿螺,REPORTED_IN,杭州市,year=1980s;status=引入
杭州市,LOCATED_IN,浙江省,null
福寿螺,REPORTED_IN,台州市,year=1999;status=入侵
台州市,LOCATED_IN,浙江省,null
福寿螺,REPORTED_IN,宁波市,year=2002;status=入侵
宁波市,LOCATED_IN,浙江省,null
福寿螺,REPORTED_IN,南阳市,year=2024;status=发现卵块
南阳市,LOCATED_IN,河南省,null
福寿螺,HAS_MORPHOLOGY,粉红色卵块,null
福寿螺,HAS_MORPHOLOGY,螺旋形贝壳,null
福寿螺,HAS_MORPHOLOGY,贝壳黄褐色,null
福寿螺,HAS_MORPHOLOGY,体螺层膨大,null
福寿螺,HAS_MORPHOLOGY,螺壳锋利,null
福寿螺,HAS_HABIT,避光性,null
福寿螺,HAS_HABIT,昼伏夜出,null
福寿螺,HAS_HABIT,喜集群,null
福寿螺,HAS_HABIT,耐污浊水质,null
福寿螺,HAS_HABIT,休眠,null
福寿螺,HAS_HABIT,冬眠,null
福寿螺,THRIVES_IN,流速缓慢的淡水水体,null
福寿螺,THRIVES_IN,静止的淡水水体,null
福寿螺,THRIVES_IN,水草丰盛的水域,null
福寿螺,THRIVES_IN,农田浅水区,null
福寿螺,THRIVES_IN,水渠,null
福寿螺,THRIVES_IN,沼泽,null
福寿螺,THRIVES_IN,湖泊,null
福寿螺,THRIVES_IN,稻田,null
福寿螺,INTRODUCED_VIA,人为引种食用,null
福寿螺,INTRODUCED_VIA,养殖逃逸,null
福寿螺,INTRODUCED_VIA,人为遗弃,null
福寿螺,INTRODUCED_VIA,水族馆释放,null
福寿螺,INTRODUCED_VIA,攀附船只,null
福寿螺,PREYS_ON,水稻,severity=严重危害
福寿螺,PREYS_ON,莲藕,severity=危害
福寿螺,PREYS_ON,茭白,severity=危害
福寿螺,PREYS_ON,紫云英,severity=危害
福寿螺,PREYS_ON,慈菇,severity=危害
福寿螺,PREYS_ON,茨实,severity=危害
福寿螺,PREYS_ON,甘薯,severity=危害
福寿螺,PREYS_ON,蔬菜,severity=危害
福寿螺,PREYS_ON,浮萍,severity=摄食
福寿螺,PREYS_ON,水生维管植物,severity=喜食
福寿螺,COMPETES_WITH,本地淡水生物,severity=导致减少或绝迹
福寿螺,CAUSES,破坏生态系统,type=生态危害
福寿螺,CAUSES,传播疾病,type=健康危害
福寿螺,CAUSES,污染水体,type=环境危害
福寿螺,CAUSES,划伤农民手脚,type=物理危害
福寿螺,SUPPRESSED_BY,杀螺胺,method=化学防治
福寿螺,SUPPRESSED_BY,氯硝柳胺,method=化学防治
福寿螺,SUPPRESSED_BY,环保杀螺剂,method=化学防治
福寿螺,SUPPRESSED_BY,人工摘除卵块,method=物理防治
福寿螺,SUPPRESSED_BY,人工捡拾成螺,method=物理防治
福寿螺,SUPPRESSED_BY,放置阻隔设施,method=物理防治
福寿螺,SUPPRESSED_BY,引诱产卵集中销毁,method=物理防治
福寿螺,SUPPRESSED_BY,整治沟渠破坏越冬场所,method=农业防治
福寿螺,SUPPRESSED_BY,放养天敌,method=生物防治
福寿螺,SUPPRESSED_BY,夹竹桃提取液,method=植物源杀灭剂
福寿螺,SUPPRESSED_BY,茶皂素,method=植物源杀灭剂
福寿螺,SUPPRESSED_BY,诱捕剂,method=诱捕剂防治
福寿螺,HAS_ALIAS,大瓶螺,type=俗名
福寿螺,HAS_ALIAS,小管福寿螺,type=俗名
福寿螺,HAS_ALIAS,斑点福寿螺,type=俗名
福寿螺,BELONGS_TO,腹足纲,rank=纲
福寿螺,BELONGS_TO,软体动物门,rank=门
福寿螺,NATIVE_TO,南美洲,null
福寿螺,NATIVE_TO,中美洲,null
福寿螺,NATIVE_TO,亚马孙河流域,null
亚马孙河流域,LOCATED_IN,南美洲,null
福寿螺,HAS_MORPHOLOGY,黑壳,type=壳色
福寿螺,HAS_MORPHOLOGY,黄壳,type=壳色
福寿螺,HAS_HABIT,杂食性,null
福寿螺,HAS_HABIT,耐低温,null
福寿螺,REPORTED_IN,宝山区,year=2023-2024;status=零星发生至严重发生
宝山区,LOCATED_IN,上海市,null
福寿螺,REPORTED_IN,普陀区,year=2023-2024;status=零星发生至严重发生
普陀区,LOCATED_IN,上海市,null
福寿螺,REPORTED_IN,嘉定区,year=2023-2024;status=零星发生至严重发生
嘉定区,LOCATED_IN,上海市,null
福寿螺,REPORTED_IN,长宁区,year=2023-2024;status=零星发生至严重发生
长宁区,LOCATED_IN,上海市,null
福寿螺,REPORTED_IN,浦东新区,year=2023-2024;status=零星发生至严重发生
浦东新区,LOCATED_IN,上海市,null
福寿螺,REPORTED_IN,溧水区,year=2022-2023;status=发生
溧水区,LOCATED_IN,南京市,null
南京市,LOCATED_IN,江苏省,null
福寿螺,REPORTED_IN,南京市,year=2022-2023;status=发生
福寿螺,REPORTED_IN,北京市,year=2014;status=发现
福寿螺,REPORTED_IN,广东省,year=null;status=主要分布
福寿螺,REPORTED_IN,广西壮族自治区,year=null;status=主要分布
福寿螺,REPORTED_IN,江西省,year=null;status=主要分布
福寿螺,REPORTED_IN,湖南省,year=null;status=主要分布
福寿螺,REPORTED_IN,四川省,year=null;status=主要分布
福寿螺,REPORTED_IN,浙江省,year=null;status=主要分布
福寿螺,REPORTED_IN,云南省,year=null;status=主要分布
福寿螺,REPORTED_IN,江苏省,year=null;status=扩散
福寿螺,REPORTED_IN,上海市,year=null;status=扩散
福寿螺,REPORTED_IN,河南省,year=null;status=扩散
福寿螺,REPORTED_IN,陕西省,year=null;status=扩散
福寿螺,REPORTED_IN,福建省,year=null;status=高分布区
福寿螺,REPORTED_IN,海南省,year=null;status=高分布区
福寿螺,REPORTED_IN,台湾省,year=null;status=高分布区
福寿螺,REPORTED_IN,湖北省,year=null;status=中分布区
福寿螺,REPORTED_IN,贵州省,year=null;status=中分布区
福寿螺,REPORTED_IN,西藏自治区,year=null;status=中分布区
福寿螺,REPORTED_IN,重庆市,year=null;status=中分布区
福寿螺,THRIVES_IN,灌溉沟渠,null
福寿螺,THRIVES_IN,公园水体,null
福寿螺,THRIVES_IN,河流,null
福寿螺,THRIVES_IN,水库,null
福寿螺,INTRODUCED_VIA,人为引入,null
福寿螺,PREYS_ON,菱,severity=危害
福寿螺,PREYS_ON,芡,severity=危害
福寿螺,PREYS_ON,慈姑,severity=危害
福寿螺,PREYS_ON,蕹菜,severity=危害
福寿螺,PREYS_ON,白菜,severity=危害
福寿螺,CAUSES,破坏生态平衡,type=生态危害
福寿螺,CAUSES,传播广州管圆线虫病,type=健康危害
福寿螺,CAUSES,农业减产,type=经济危害
福寿螺,SUPPRESSED_BY,马利筋提取物,method=生物防治
福寿螺,SUPPRESSED_BY,垂序商陆提取物,method=生物防治
福寿螺,SUPPRESSED_BY,水毒芹提取物,method=生物防治
福寿螺,SUPPRESSED_BY,茶籽饼,method=化学防治
福寿螺,SUPPRESSED_BY,人工捕杀,method=物理防治
福寿螺,SUPPRESSED_BY,鸭子食螺,method=生物防治
福寿螺,SUPPRESSED_BY,冬春清淤,method=物理防治
福寿螺,HAS_ALIAS,南美螺,type=俗名
福寿螺,HAS_ALIAS,苹果蜗牛,type=俗名
福寿螺,HAS_ALIAS,雪螺,type=俗名
福寿螺,HAS_ALIAS,金宝螺,type=俗名
福寿螺,HAS_HABIT,食性杂,null
福寿螺,HAS_HABIT,生长繁殖快,null
福寿螺,HAS_HABIT,抗逆性强,null
福寿螺,HAS_HABIT,繁殖量大,null
福寿螺,HAS_HABIT,耐酸碱,null
福寿螺,HAS_HABIT,耐干旱,null
福寿螺,HAS_HABIT,耐高温,null
福寿螺,THRIVES_IN,池塘,null
福寿螺,INTRODUCED_VIA,人为放生,null
福寿螺,PREYS_ON,水稻,severity=危害严重
福寿螺,PREYS_ON,苦草,severity=选择性牧食
福寿螺,PREYS_ON,穗花狐尾藻,severity=选择性牧食
福寿螺,PREYS_ON,伊乐藻,severity=选择性牧食
福寿螺,PREYS_ON,轮叶黑藻,severity=选择性牧食
福寿螺,COMPETES_WITH,中国圆田螺,severity=排挤
福寿螺,COMPETES_WITH,梨形石田螺,severity=排挤
福寿螺,SUPPRESSED_BY,人工捕杀,method=物理
福寿螺,SUPPRESSED_BY,鸭子食螺,method=生物
福寿螺,SUPPRESSED_BY,投放茶籽饼,method=化学
福寿螺,SUPPRESSED_BY,杀螺胺类药剂,method=化学
福寿螺,SUPPRESSED_BY,硫酸铜,method=化学
福寿螺,SUPPRESSED_BY,水上机器人除卵,method=物理
福寿螺,SUPPRESSED_BY,生物炭,method=物理
福寿螺,SUPPRESSED_BY,石灰,method=化学
福寿螺,SUPPRESSED_BY,插秧或抛秧,method=农业
福寿螺,REPORTED_IN,南京市,year=null;status=潜在适生区扩大
福寿螺,REPORTED_IN,大理白族自治州,year=2023;status=入侵
福寿螺,REPORTED_IN,榕江县,year=null;status=分布
福寿螺,REPORTED_IN,宁乡市,year=2023;status=分布
福寿螺,REPORTED_IN,文昌市,year=null;status=入侵
福寿螺,REPORTED_IN,桂林市,year=2017;status=分布
福寿螺,REPORTED_IN,赫山区,year=2021-2024;status=蔓延
福寿螺,REPORTED_IN,长乐市,year=null;status=疫源地
福寿螺,REPORTED_IN,闽侯县,year=null;status=疫源地
宁乡市,LOCATED_IN,湖南省,null
赫山区,LOCATED_IN,益阳市,null
益阳市,LOCATED_IN,湖南省,null
长乐市,LOCATED_IN,福州市,null
福州市,LOCATED_IN,福建省,null
