Entity1,Relationship,Entity2,Property
美洲牛蛙,HAS_ALIAS,Lithobates catesbeiana,type=学名
美洲牛蛙,BELONGS_TO,蛙科,rank=科
美洲牛蛙,BELONGS_TO,牛蛙属,rank=属
美洲牛蛙,BELONGS_TO,无尾目,rank=目
美洲牛蛙,BELONGS_TO,新蛙亚目,rank=亚目
美洲牛蛙,HAS_MORPHOLOGY,体形较大雌蛙体长达20厘米雄蛙18厘米最大个体可达2千克以上,null
美洲牛蛙,HAS_MORPHOLOGY,鸣声很大远闻如牛叫,null
美洲牛蛙,HAS_MORPHOLOGY,头部宽扁,null
美洲牛蛙,HAS_MORPHOLOGY,眼球外突有瞬膜,null
美洲牛蛙,HAS_MORPHOLOGY,背部略粗糙有细微肤棱,null
美洲牛蛙,HAS_MORPHOLOGY,四肢粗壮前肢无蹼后肢有蹼,null
美洲牛蛙,HAS_MORPHOLOGY,肤色多变通常背部及四肢为绿褐色带暗褐色斑纹,null
美洲牛蛙,HAS_MORPHOLOGY,雄性咽喉金黄色雌性白色或灰色,null
美洲牛蛙,HAS_MORPHOLOGY,两性异形雄性比雌性略小拇指垫颜色深,null
美洲牛蛙,HAS_MORPHOLOGY,眼睛突出有棕色虹膜和水平杏仁形瞳孔,null
美洲牛蛙,HAS_MORPHOLOGY,鼓膜巨大成年雄性鼓膜是眼睛直径两倍,null
美洲牛蛙,HAS_MORPHOLOGY,皮肤光滑无背侧褶吻部宽圆,null
美洲牛蛙,HAS_MORPHOLOGY,前腿短而结实后腿长,null
美洲牛蛙,HAS_MORPHOLOGY,后脚趾有蹼第四趾甚长蹼不能完全达趾端,null
美洲牛蛙,HAS_MORPHOLOGY,背部变化从绿色至棕色均有杂有棕色斑点,null
美洲牛蛙,HAS_MORPHOLOGY,腹侧表面灰白色带有黄色或灰色斑点,null
美洲牛蛙,HAS_MORPHOLOGY,四肢有斑点或带灰色条纹,null
美洲牛蛙,HAS_MORPHOLOGY,成体喉部常有黄色条纹,null
美洲牛蛙,HAS_HABIT,主要在夜间活动,null
美洲牛蛙,HAS_HABIT,吃藻类水生植物材料和一些无脊椎动物,null
美洲牛蛙,HAS_HABIT,蝌蚪主要是食草动物,null
美洲牛蛙,HAS_HABIT,机会主义捕食者捕食任何比它们小的动物,null
美洲牛蛙,HAS_HABIT,采用静坐等待的方式进食,null
美洲牛蛙,HAS_HABIT,自相残杀在饮食中很普遍,null
美洲牛蛙,HAS_HABIT,具有领地意识采用一雄多雌制交配,null
美洲牛蛙,HAS_HABIT,在水体底部或陆地上僻静的地方冬眠,null
美洲牛蛙,NATIVE_TO,加拿大,type=原产地
加拿大,LOCATED_IN,北美洲,null
美洲牛蛙,NATIVE_TO,美国,type=原产地
美国,LOCATED_IN,北美洲,null
美洲牛蛙,NATIVE_TO,墨西哥,type=原产地
墨西哥,LOCATED_IN,北美洲,null
美洲牛蛙,REPORTED_IN,北京市,year=1959;status=驯养
北京市,LOCATED_IN,北京市,null
美洲牛蛙,REPORTED_IN,上海市,year=1959;status=驯养
上海市,LOCATED_IN,上海市,null
美洲牛蛙,REPORTED_IN,天津市,year=1959;status=驯养
天津市,LOCATED_IN,天津市,null
美洲牛蛙,REPORTED_IN,甘肃省,year=1959;status=驯养
美洲牛蛙,REPORTED_IN,四川省,year=1959;status=驯养
美洲牛蛙,REPORTED_IN,云南省,year=1959;status=驯养
美洲牛蛙,REPORTED_IN,南京市,year=1959;status=驯养
南京市,LOCATED_IN,江苏省,null
美洲牛蛙,REPORTED_IN,杭州市,year=1959;status=驯养
杭州市,LOCATED_IN,浙江省,null
美洲牛蛙,REPORTED_IN,福州市,year=1959;status=驯养
福州市,LOCATED_IN,福建省,null
美洲牛蛙,REPORTED_IN,广州市,year=1959;status=驯养
广州市,LOCATED_IN,广东省,null
美洲牛蛙,REPORTED_IN,厦门市,year=1959;status=驯养
厦门市,LOCATED_IN,福建省,null
美洲牛蛙,REPORTED_IN,宁波市,year=1959;status=驯养
宁波市,LOCATED_IN,浙江省,null
美洲牛蛙,REPORTED_IN,中山市,year=1959;status=驯养
中山市,LOCATED_IN,广东省,null
美洲牛蛙,REPORTED_IN,湛江市,year=1959;status=驯养
湛江市,LOCATED_IN,广东省,null
美洲牛蛙,THRIVES_IN,湖泊,null
美洲牛蛙,THRIVES_IN,池塘,null
美洲牛蛙,THRIVES_IN,沼泽,null
美洲牛蛙,THRIVES_IN,水库,null
美洲牛蛙,THRIVES_IN,咸水池塘,null
美洲牛蛙,THRIVES_IN,溪流,null
美洲牛蛙,THRIVES_IN,沟渠,null
