Entity1,Relationship,Entity2,Property
豹纹翼甲鲶,HAS_ALIAS,清道夫,type=俗名
豹纹翼甲鲶,HAS_ALIAS,琵琶鱼,type=俗名
豹纹翼甲鲶,HAS_ALIAS,Pterygoplichthys pardalis,type=学名
豹纹翼甲鲶,BELONGS_TO,骨甲鲶科,rank=科
豹纹翼甲鲶,BELONGS_TO,翼甲鲶属,rank=属
豹纹翼甲鲶,NATIVE_TO,亚马逊河流域,null
亚马逊河流域,LOCATED_IN,南美洲,null
豹纹翼甲鲶,INTRODUCED_VIA,作为观赏鱼引入,type=引入途径
豹纹翼甲鲶,INTRODUCED_VIA,逃逸和弃养,type=引入途径
豹纹翼甲鲶,REPORTED_IN,广东省,year=1990;status=引入
豹纹翼甲鲶,HAS_MORPHOLOGY,体长可达51.5厘米,null
豹纹翼甲鲶,HAS_MORPHOLOGY,体表具黑白色花纹,null
豹纹翼甲鲶,HAS_MORPHOLOGY,头部扁平,null
豹纹翼甲鲶,HAS_MORPHOLOGY,口唇呈吸盘状,null
豹纹翼甲鲶,HAS_MORPHOLOGY,尾柄细长,null
豹纹翼甲鲶,HAS_MORPHOLOGY,背鳍高耸,null
豹纹翼甲鲶,HAS_HABIT,杂食性,null
豹纹翼甲鲶,PREYS_ON,鱼卵,severity=日食3000-5000粒
豹纹翼甲鲶,PREYS_ON,藻类,severity=吞食
豹纹翼甲鲶,PREYS_ON,鱼类粘液,severity=吞食
豹纹翼甲鲶,PREYS_ON,鱼苗,severity=吞食
豹纹翼甲鲶,CAUSES,破坏河岸结构导致水土流失,type=生态危害
豹纹翼甲鲶,CAUSES,影响水生生物食物链,type=生态危害
豹纹翼甲鲶,CAUSES,影响渔业生产,type=经济危害
豹纹翼甲鲶,SUPPRESSED_BY,水下鱼卵智能识别专利技术,method=物理
豹纹翼甲鲶,HAS_ALIAS,豹纹脂身鲶,type=俗名
豹纹翼甲鲶,HAS_ALIAS,清道夫鱼,type=俗名
豹纹翼甲鲶,HAS_ALIAS,吸盘鱼,type=俗名
豹纹翼甲鲶,HAS_ALIAS,垃圾鱼,type=俗名
豹纹翼甲鲶,HAS_ALIAS,Hypostomus punctatus,type=学名
豹纹翼甲鲶,NATIVE_TO,南美洲,null
豹纹翼甲鲶,INTRODUCED_VIA,作为景观鱼或幼鱼用于清除藻类而被引进,null
豹纹翼甲鲶,INTRODUCED_VIA,人为放生,null
豹纹翼甲鲶,HAS_HABIT,性成熟早,null
豹纹翼甲鲶,HAS_HABIT,繁殖力高,null
豹纹翼甲鲶,HAS_HABIT,没有天敌,null
豹纹翼甲鲶,HAS_HABIT,繁殖快,null
豹纹翼甲鲶,HAS_HABIT,极少被食用,null
豹纹翼甲鲶,HAS_MORPHOLOGY,吸盘,null
豹纹翼甲鲶,THRIVES_IN,河流,null
豹纹翼甲鲶,THRIVES_IN,水库,null
豹纹翼甲鲶,THRIVES_IN,水族箱,null
豹纹翼甲鲶,THRIVES_IN,养殖水体,null
豹纹翼甲鲶,REPORTED_IN,流溪河,year=2015-2016;status=入侵
流溪河,LOCATED_IN,广州市,null
广州市,LOCATED_IN,广东省,null
豹纹翼甲鲶,REPORTED_IN,西江干流,year=2022-2023;status=入侵
豹纹翼甲鲶,REPORTED_IN,增江中下游,year=2024;status=入侵
豹纹翼甲鲶,REPORTED_IN,惠州西湖,year=2023;status=入侵较为严重
惠州西湖,LOCATED_IN,惠州市,null
惠州市,LOCATED_IN,广东省,null
豹纹翼甲鲶,REPORTED_IN,九龙江西溪,year=2023;status=危害程度为重
豹纹翼甲鲶,REPORTED_IN,漳江,year=2023;status=危害程度为重
豹纹翼甲鲶,REPORTED_IN,汀江,year=2023;status=危害程度为重
豹纹翼甲鲶,CAUSES,破坏生态平衡,type=生态危害
豹纹翼甲鲶,CAUSES,造成经济损失,type=经济危害
豹纹翼甲鲶,COMPETES_WITH,本土物种,severity=排挤
豹纹翼甲鲶,PREYS_ON,藻类,severity=啃食
豹纹翼甲鲶,SUPPRESSED_BY,防控措施,method=管理
豹纹翼甲鲶,HAS_ALIAS,琵琶鼠,type=俗名
豹纹翼甲鲶,BELONGS_TO,鲇形目,rank=目
豹纹翼甲鲶,BELONGS_TO,甲鲇科,rank=科
豹纹翼甲鲶,BELONGS_TO,翼甲鲇属,rank=属
豹纹翼甲鲶,NATIVE_TO,亚马逊河中游流域,null
亚马逊河中游流域,LOCATED_IN,南美洲,null
豹纹翼甲鲶,HAS_MORPHOLOGY,体长可达49公分,null
豹纹翼甲鲶,HAS_HABIT,栖息在底层水域,null
豹纹翼甲鲶,INTRODUCED_VIA,作为观赏鱼,null
豹纹翼甲鲶,REPORTED_IN,马利金纳河,year=null;status=null
马利金纳河,LOCATED_IN,菲律宾,null
豹纹翼甲鲶,REPORTED_IN,台湾,year=null;status=null
豹纹翼甲鲶,REPORTED_IN,美国,year=null;status=null
豹纹翼甲鲶,HAS_ALIAS,亚马逊帆鳍鲶,type=俗名
豹纹翼甲鲶,HAS_ALIAS,豹纹清道夫,type=俗名
豹纹翼甲鲶,HAS_ALIAS,白化清道夫,type=俗名
豹纹翼甲鲶,HAS_ALIAS,巧克力清道夫,type=俗名
豹纹翼甲鲶,BELONGS_TO,甲鲶科,rank=科
豹纹翼甲鲶,NATIVE_TO,巴西,null
巴西,LOCATED_IN,南美洲,null
豹纹翼甲鲶,NATIVE_TO,秘鲁,null
秘鲁,LOCATED_IN,南美洲,null
豹纹翼甲鲶,HAS_MORPHOLOGY,最大体长43厘米,null
豹纹翼甲鲶,HAS_MORPHOLOGY,最大体重310克,null
豹纹翼甲鲶,HAS_MORPHOLOGY,背鳍条11-13根,null
豹纹翼甲鲶,HAS_MORPHOLOGY,斑点花纹,null
豹纹翼甲鲶,HAS_MORPHOLOGY,白化体色,null
豹纹翼甲鲶,HAS_HABIT,底栖,null
豹纹翼甲鲶,HAS_HABIT,兼性空气呼吸,null
豹纹翼甲鲶,HAS_HABIT,偏好pH7.0-7.5,null
豹纹翼甲鲶,THRIVES_IN,淡水,null
豹纹翼甲鲶,THRIVES_IN,热带水域,null
豹纹翼甲鲶,INTRODUCED_VIA,水族贸易引入,null
豹纹翼甲鲶,REPORTED_IN,马里基纳河,year=null;status=入侵
