Entity1,Relationship,Entity2,Property
非洲大蜗牛,HAS_ALIAS,褐云光滑玛瑙螺,type=学名
非洲大蜗牛,HAS_ALIAS,褐云玛瑙螺,type=俗名
非洲大蜗牛,HAS_ALIAS,菜螺,type=俗名
非洲大蜗牛,HAS_ALIAS,露螺,type=俗名
非洲大蜗牛,HAS_ALIAS,Lissachatina fulica,type=学名
非洲大蜗牛,BELONGS_TO,柄眼目,rank=目
非洲大蜗牛,BELONGS_TO,玛瑙螺科,rank=科
非洲大蜗牛,BELONGS_TO,光滑玛瑙螺属,rank=属
非洲大蜗牛,NATIVE_TO,非洲东部,null
非洲大蜗牛,NATIVE_TO,桑给巴尔,null
桑给巴尔,LOCATED_IN,非洲东部,null
非洲大蜗牛,NATIVE_TO,毛里求斯,null
毛里求斯,LOCATED_IN,非洲东部,null
非洲大蜗牛,NATIVE_TO,马达加斯加,null
马达加斯加,LOCATED_IN,非洲东部,null
非洲大蜗牛,NATIVE_TO,塞舌尔,null
塞舌尔,LOCATED_IN,非洲东部,null
非洲大蜗牛,NATIVE_TO,印度,null
非洲大蜗牛,NATIVE_TO,斯里兰卡,null
非洲大蜗牛,NATIVE_TO,越南,null
非洲大蜗牛,NATIVE_TO,柬埔寨,null
非洲大蜗牛,NATIVE_TO,老挝,null
非洲大蜗牛,NATIVE_TO,新加坡,null
非洲大蜗牛,NATIVE_TO,马来西亚,null
非洲大蜗牛,NATIVE_TO,泰国,null
非洲大蜗牛,NATIVE_TO,菲律宾,null
非洲大蜗牛,NATIVE_TO,印度尼西亚,null
非洲大蜗牛,NATIVE_TO,台湾,null
非洲大蜗牛,NATIVE_TO,澳门,null
非洲大蜗牛,NATIVE_TO,香港,null
非洲大蜗牛,NATIVE_TO,日本,null
非洲大蜗牛,REPORTED_IN,福建省,year=null;status=分布
福建省,LOCATED_IN,中国大陆,null
非洲大蜗牛,REPORTED_IN,广东省,year=null;status=分布
广东省,LOCATED_IN,中国大陆,null
非洲大蜗牛,REPORTED_IN,广西壮族自治区,year=null;status=分布
广西壮族自治区,LOCATED_IN,中国大陆,null
