Entity1,Relationship,Entity2,Property
齐氏罗非鱼,HAS_ALIAS,Coptodon zillii,type=学名
齐氏罗非鱼,HAS_ALIAS,福寿鱼,type=俗名
齐氏罗非鱼,HAS_ALIAS,非洲鲫,type=俗名
齐氏罗非鱼,HAS_ALIAS,红腹罗非鱼,type=俗名
齐氏罗非鱼,HAS_ALIAS,齐氏切非鲫,type=俗名
齐氏罗非鱼,BELONGS_TO,鲈形目,rank=目
齐氏罗非鱼,BELONGS_TO,丽鱼科,rank=科
齐氏罗非鱼,BELONGS_TO,切非鲫属,rank=属
齐氏罗非鱼,NATIVE_TO,非洲,null
齐氏罗非鱼,NATIVE_TO,中东,null
齐氏罗非鱼,HAS_MORPHOLOGY,体长约5厘米,null
齐氏罗非鱼,HAS_MORPHOLOGY,斑马状条纹,null
齐氏罗非鱼,HAS_MORPHOLOGY,腹部朱红色或血红色,null
齐氏罗非鱼,HAS_HABIT,环境适应性强,null
齐氏罗非鱼,HAS_HABIT,耐污染和低氧,null
齐氏罗非鱼,HAS_HABIT,有一定耐寒性,null
齐氏罗非鱼,HAS_HABIT,繁殖能力极强,null
齐氏罗非鱼,HAS_HABIT,生性凶猛好斗,null
齐氏罗非鱼,HAS_HABIT,领域性强,null
齐氏罗非鱼,HAS_HABIT,杂食性,null
齐氏罗非鱼,HAS_HABIT,大量取食水草,null
齐氏罗非鱼,HAS_HABIT,喜光照充足中上层水域,null
齐氏罗非鱼,INTRODUCED_VIA,养殖逃逸,null
齐氏罗非鱼,INTRODUCED_VIA,人为遗弃或放生,null
齐氏罗非鱼,INTRODUCED_VIA,从泰国引进作为经济养殖种,year=1978
齐氏罗非鱼,REPORTED_IN,广东省,year=1978;status=引进
齐氏罗非鱼,REPORTED_IN,广东省,year=null;status=广泛入侵
齐氏罗非鱼,REPORTED_IN,广西壮族自治区,year=null;status=广泛入侵
齐氏罗非鱼,REPORTED_IN,云南省,year=null;status=广泛入侵
齐氏罗非鱼,REPORTED_IN,江西省,year=null;status=已扩散
齐氏罗非鱼,REPORTED_IN,浙江省,year=null;status=已扩散
齐氏罗非鱼,REPORTED_IN,湖北省,year=null;status=已扩散
齐氏罗非鱼,REPORTED_IN,四川省,year=null;status=已扩散
